,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
66,vsMUN,CM,12,7.58,0.17,0.83,0.0,0.42,1.08,0.67,0.33,0.0,0.08,2.0,1.83,0.5,0.17,1.0,0.0,0.0,0.0,1.33,0.25,0.17,2.33,0.0,0.0,6.83,-1.0,0.33,1.0,21.65
74,vsNEW,RM,4,7.41,0.0,0.82,0.24,0.24,1.12,0.18,0.18,0.0,0.24,0.59,0.59,1.88,0.0,1.0,0.0,0.0,0.0,2.12,0.0,0.24,2.65,0.0,0.0,6.44,-0.44,0.24,1.0,27.79
18,vsBOU,LM,6,7.38,0.17,1.55,0.0,0.52,1.24,1.72,0.17,0.0,0.17,0.14,0.83,0.86,0.31,0.52,0.0,0.0,0.0,0.79,0.34,0.17,1.52,0.0,0.17,7.21,-1.55,0.52,1.0,16.18
56,vsLUT,CM,11,7.36,0.0,1.16,0.08,0.39,1.04,0.29,0.33,0.0,0.1,1.08,1.04,0.59,0.35,2.16,0.0,0.0,0.0,0.92,0.37,0.08,2.8,0.1,0.0,7.33,-0.81,0.75,1.0,23.61
86,vsTOT,CM,11,7.23,0.09,0.82,0.18,0.45,0.82,0.82,0.09,0.0,0.36,0.73,1.55,0.36,0.45,0.55,0.0,0.09,0.0,1.64,0.18,0.18,1.18,0.0,0.0,5.73,-0.59,0.55,1.0,19.29
43,vsEVE,LM,6,7.2,0.0,0.81,0.3,0.11,0.85,1.0,0.0,0.0,0.48,1.04,0.22,0.93,0.0,0.81,0.0,0.0,0.0,0.41,0.37,0.19,0.59,0.22,0.0,5.56,-0.5,0.37,1.0,20.93
36,vsCRY,CM,11,7.18,0.0,1.06,0.09,0.26,1.49,1.28,0.19,0.0,0.09,1.17,1.09,0.53,0.47,1.6,0.0,0.0,0.0,1.02,0.38,0.09,1.7,0.0,0.0,7.48,-1.25,0.53,1.0,17.56
88,vsTOT,LM,3,7.17,0.0,0.67,0.33,0.0,1.0,2.33,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.33,1.0,0.67,0.0,6.33,-1.17,0.67,1.0,19.33
33,vsCHE,LM,4,6.88,0.25,1.25,0.0,0.25,1.0,1.0,0.25,0.0,0.0,0.75,1.5,0.5,0.0,0.75,0.0,0.0,0.0,2.25,0.0,0.25,2.25,0.25,0.0,5.62,-1.0,0.5,1.0,23.0
16,vsBOU,CM,9,6.72,0.12,0.72,0.08,0.65,1.8,0.85,0.22,0.12,0.12,0.7,0.57,0.4,0.3,0.75,0.0,0.0,0.0,0.68,0.45,0.2,2.58,0.0,0.0,6.45,-1.75,0.65,1.0,21.14
93,vsWHU,LM,5,6.68,0.0,1.05,0.14,0.41,1.68,1.41,0.0,0.0,0.32,0.18,0.64,1.18,0.0,0.23,0.0,0.0,0.0,1.18,0.18,0.14,1.09,0.23,0.0,6.39,-0.7,0.59,1.0,15.05
49,vsFUL,RM,4,6.64,0.0,0.76,0.0,0.48,1.48,0.95,0.0,0.0,0.0,0.76,0.24,1.81,0.0,0.24,0.0,0.0,0.0,0.52,0.48,0.0,1.19,0.29,0.0,6.64,-0.48,0.52,1.0,25.75
96,vsWOL,CM,13,6.62,0.05,0.78,0.0,0.3,1.95,0.87,0.08,0.0,0.22,1.12,0.63,0.6,0.08,0.95,0.0,0.0,0.0,0.98,0.17,0.05,1.42,0.08,0.05,6.61,-0.6,0.68,1.0,20.93
37,vsCRY,DM,6,6.61,0.18,0.54,0.0,0.18,2.11,2.0,0.36,0.0,0.18,0.93,0.79,1.54,0.14,0.5,0.0,0.0,0.0,0.86,0.14,0.18,2.43,0.0,0.18,6.57,-1.71,0.71,1.0,16.32
72,vsNEW,DM,10,6.55,0.0,0.9,0.2,0.2,0.8,0.6,0.1,0.0,0.1,0.7,1.3,1.2,0.1,0.7,0.0,0.0,0.0,1.8,0.4,0.1,1.7,0.0,0.0,5.45,-0.5,0.6,1.0,25.17
68,vsMUN,LM,5,6.5,0.0,1.2,0.0,0.2,1.0,1.0,0.2,0.0,0.2,1.4,1.6,1.2,0.2,0.8,0.0,0.0,0.0,1.0,0.2,0.0,1.6,0.8,0.0,7.2,-0.9,0.6,1.0,17.38
42,vsEVE,DM,5,6.43,0.22,0.96,0.0,0.22,0.61,0.57,0.39,0.0,0.17,0.87,0.96,0.39,0.61,0.22,0.0,0.0,0.0,1.0,0.43,0.22,2.35,0.0,0.22,5.11,-1.07,0.78,1.0,17.92
87,vsTOT,DM,9,6.19,0.0,0.64,0.08,0.51,1.69,0.41,0.0,0.0,0.13,0.9,0.49,0.0,0.46,0.59,0.0,0.08,0.0,1.72,0.0,0.0,1.54,0.33,0.0,5.94,-0.21,0.33,1.0,15.24
11,vsBHA,CM,13,6.12,0.16,0.53,0.0,0.39,1.05,1.17,0.12,0.0,0.08,1.45,0.67,0.55,0.34,0.47,0.0,0.0,0.0,2.36,0.0,0.16,1.78,0.0,0.0,5.55,-0.84,0.41,1.0,23.68
26,vsBUR,CM,9,6.0,0.0,1.45,0.0,0.0,1.45,0.91,0.18,0.0,0.27,0.36,0.45,0.73,0.36,0.36,0.0,0.0,0.0,0.64,0.55,0.0,1.45,0.0,0.0,6.27,-0.82,0.36,1.0,30.1
13,vsBHA,LM,5,5.85,0.0,1.22,0.22,0.0,1.0,0.78,0.0,0.22,0.0,0.22,0.61,2.61,0.0,0.39,0.0,0.0,0.0,2.09,0.0,0.22,2.43,0.22,0.0,6.46,-1.91,0.57,1.0,26.33
71,vsNEW,CM,11,5.84,0.08,0.92,0.0,0.27,1.49,0.73,0.1,0.0,0.1,0.78,0.49,0.25,0.39,0.57,0.0,0.0,0.0,2.53,0.0,0.08,1.31,0.0,0.0,5.7,-0.56,0.35,1.0,16.45
52,vsLIV,DM,10,5.7,0.0,0.5,0.0,0.2,2.0,0.5,0.3,0.0,0.1,1.3,1.5,0.6,0.7,0.9,0.0,0.0,0.0,2.1,0.0,0.0,2.3,0.0,0.0,6.55,-0.85,0.6,1.0,16.0
53,vsLIV,LM,3,5.68,0.0,1.07,0.0,0.71,1.29,0.93,0.29,0.0,0.0,0.36,1.93,1.36,0.0,0.29,0.0,0.0,0.0,2.0,0.0,0.0,3.21,0.0,0.0,6.71,-1.04,0.36,1.0,20.5
12,vsBHA,DM,10,5.67,0.19,0.5,0.0,0.19,1.73,0.67,0.31,0.0,0.0,0.94,1.08,0.4,0.31,0.69,0.0,0.0,0.0,1.52,0.0,0.19,2.06,0.0,0.0,5.15,-1.17,0.52,1.0,22.05
46,vsFUL,CM,13,5.67,0.0,0.85,0.0,0.23,1.91,0.63,0.15,0.0,0.08,0.78,1.03,0.45,0.38,0.77,0.0,0.0,0.0,1.23,0.15,0.0,1.91,0.0,0.0,6.14,-0.62,0.38,1.0,15.23
41,vsEVE,CM,12,5.66,0.0,0.86,0.0,0.25,1.63,0.76,0.22,0.0,0.17,0.95,0.97,0.59,0.08,0.76,0.0,0.0,0.0,0.98,0.44,0.0,1.53,0.0,0.0,6.04,-0.82,0.42,1.0,17.04
5,vsAVL,AM,5,5.6,0.24,0.48,0.0,0.24,0.71,0.95,0.0,0.0,0.0,0.24,0.9,0.29,0.38,1.29,0.0,0.0,0.0,1.43,0.24,0.24,0.52,0.76,0.0,3.69,-0.48,0.24,1.0,26.83
50,vsLIV,AM,9,5.56,0.0,1.34,0.0,0.32,1.0,1.37,0.12,0.0,0.68,0.37,0.8,0.73,0.12,0.39,0.0,0.0,0.0,1.46,0.15,0.0,1.07,0.0,0.0,6.41,-0.93,0.76,1.0,33.24
73,vsNEW,LM,3,5.46,0.0,1.08,0.0,0.0,1.83,0.0,0.33,0.0,0.0,1.58,3.08,1.5,0.0,0.25,0.0,0.0,0.0,2.58,0.0,0.0,1.67,0.33,0.0,7.46,-2.0,0.33,1.0,14.25
76,vsNOT,CM,13,5.28,0.08,0.44,0.0,0.46,1.38,0.59,0.28,0.0,0.08,0.84,0.75,0.36,0.08,1.25,0.0,0.0,0.0,1.03,0.23,0.08,2.16,0.08,0.0,5.16,-0.85,0.49,1.0,20.01
3,vsARS,LM,5,5.26,0.22,0.48,0.13,0.35,1.43,1.3,0.48,0.0,0.0,0.26,0.78,0.52,0.0,0.96,0.0,0.0,0.0,1.04,0.57,0.35,2.57,0.0,0.0,4.61,-2.65,0.13,1.0,14.82
21,vsBRF,CM,7,5.23,0.0,0.9,0.0,0.16,1.0,0.65,0.26,0.0,0.0,0.84,0.52,1.29,0.16,0.97,0.0,0.0,0.0,1.55,0.16,0.0,2.26,0.0,0.0,5.9,-0.84,0.48,1.0,12.96
2,vsARS,DM,10,5.15,0.0,0.7,0.1,0.2,0.9,0.9,0.3,0.0,0.1,0.9,1.2,0.7,0.6,1.2,0.0,0.0,0.0,2.3,0.0,0.1,2.3,0.0,0.0,5.6,-1.05,0.6,1.0,23.44
1,vsARS,CM,10,4.98,0.1,0.62,0.0,0.21,1.48,1.06,0.38,0.0,0.1,0.77,1.12,0.4,0.62,0.44,0.0,0.0,0.0,1.96,0.06,0.1,2.48,0.12,0.0,5.26,-1.28,0.38,1.0,21.53
