Player,Team,Position,GW,FPTS,Ghost Points,Overperformance,HeatStreak,Negative Fpts,Ros Rank,LiveRkOv,LiveRkOvByPos,Ros RankByPos,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,ROS %,MIN
Lucas Digne,AVL,D,8,7.0,7.0,8,17.75,-2.0,102,43,10,18,1,1,0,2,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,1,0,90%,90
Jesurun Rak-Sakyi,CRY,M,8,7.0,6.0,-40,6.5,-0.5,200,309,91,51,0,1,0,0,0,0,1,1,0,0,0,2,1,3,0,1,0,0,0,0,1,1%,63
Chiedozie Ogbene,LUT,F,8,7.0,7.0,-3,20.0,-1.0,200,207,45,42,1,1,0,1,0,0,2,2,0,0,0,0,0,4,0,0,0,0,0,1,0,2%,90
Amadou Onana,EVE,M,8,7.0,6.0,22,24.5,0.0,200,101,29,51,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,29%,90
Joao Palhinha,FUL,M,8,7.0,7.0,-11,13.0,-2.0,200,184,62,51,1,1,0,0,0,0,4,0,1,0,0,3,1,0,1,2,0,0,0,1,0,46%,90
Issa Diop,FUL,D,8,7.0,7.0,-23,19.0,-2.5,200,209,52,29,1,1,0,0,0,1,3,1,0,0,0,2,2,0,0,2,0,0,0,1,0,19%,70
Emerson,WHU,D,8,6.75,-0.25,2,21.25,-6.5,140,114,25,27,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,2,0,50%,90
Antonee Robinson,FUL,D,8,6.75,6.75,-5,35.75,-7.0,200,151,34,29,1,1,0,1,0,0,1,0,0,0,1,2,3,3,0,4,0,0,1,1,0,71%,90
Reece Burke,LUT,D,8,6.75,6.75,-11,14.0,-2.5,200,160,40,29,1,1,0,2,0,0,1,1,0,0,0,1,5,0,1,1,0,0,0,1,0,1%,90
Illia Zabarnyi,BOU,D,8,6.5,6.5,-22,3.75,-6.0,200,202,51,29,1,1,0,0,0,1,1,0,0,0,0,1,10,0,0,6,0,0,0,3,0,7%,90
Luis Sinisterra,BOU,F,8,6.5,6.5,-27,12.5,0.0,115,289,61,34,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,6%,32
Jonny Evans,MUN,D,8,6.5,6.5,-26,25.0,-2.0,200,222,55,29,1,1,0,1,0,0,1,0,0,0,0,1,2,0,1,3,0,0,0,1,0,10%,90
Timothy Castagne,FUL,D,8,6.5,6.5,-17,18.5,-2.0,200,185,46,29,1,1,0,1,0,0,0,0,0,0,1,2,2,1,0,2,0,0,0,1,0,50%,90
Luca Koleosho,BUR,F,8,6.5,6.5,10,13.0,-0.5,200,112,32,42,0,1,0,1,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,2,0,10%,28
Marcus Rashford,MUN,F,8,6.5,6.5,-5,18.0,0.0,24,45,14,9,1,1,0,0,0,1,0,0,0,0,0,0,1,4,0,1,0,0,0,1,0,100%,62
Moises Caicedo,CHE,M,8,6.5,6.5,-15,17.5,-2.0,200,205,66,51,1,1,0,2,0,0,1,0,1,0,0,0,0,1,2,1,0,0,0,1,0,69%,90
Andrew Robertson,LIV,D,8,6.25,6.25,-2,26.5,-4.0,42,36,7,5,1,1,0,2,0,0,4,0,0,0,1,1,1,0,0,0,0,0,0,2,0,100%,90
Kaoru Mitoma,BHA,M,8,6.0,6.0,-3,33.0,-1.0,12,17,7,4,1,1,0,0,0,0,0,2,0,0,0,2,0,5,0,0,0,0,0,2,0,100%,90
Casemiro,MUN,M,8,6.0,6.0,-1,18.0,0.0,74,75,26,25,1,1,0,1,0,0,0,0,0,0,2,1,1,0,0,2,0,0,0,1,0,97%,45
Richarlison,TOT,F,8,6.0,6.0,-9,25.5,-1.5,57,93,28,19,1,1,0,0,0,1,2,3,0,0,1,1,0,0,0,3,0,0,0,0,0,96%,45
Rico Lewis,MCI,D,8,6.0,0.0,-51,5.5,0.0,200,332,80,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29%,67
Vitaly Janelt,BRF,M,8,6.0,5.0,11,22.0,-2.0,200,128,40,51,1,1,0,2,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,1,10%,69
Tom Cairney,FUL,M,8,6.0,0.0,-36,11.0,0.0,200,288,87,51,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0%,18
Josh Brownhill,BUR,M,8,6.0,6.0,8,19.5,-0.5,132,121,38,46,1,1,0,1,0,0,2,1,0,0,0,2,3,0,0,1,0,0,0,4,0,46%,90
Dominic Calvert-Lewin,EVE,F,8,6.0,6.0,-12,33.0,-0.5,73,149,37,25,1,1,0,0,0,0,0,1,0,0,0,1,0,2,0,7,0,0,0,0,1,83%,82
Son Heung-Min,TOT,F,8,5.5,5.5,-3,46.0,-0.5,7,11,6,3,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,100%,75
Erling Haaland,MCI,F,8,5.5,5.5,-1,22.0,-0.5,2,5,2,1,1,1,0,2,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,1,0,100%,90
Sofyan Amrabat,MUN,M,8,5.5,5.5,-41,9.0,-0.5,200,317,92,51,1,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,34%,86
Jayden Bogle,SHU,D,8,5.5,-1.5,-28,2.25,-7.0,200,228,57,29,1,1,0,0,1,0,0,2,0,0,0,3,2,1,0,1,0,0,0,3,0,5%,90
