Player,Team,Position,GS:GP,FPTS,FPts/90,Ghost Points,Ghosts/90,GPR,Negative Fpts,Ros Rank,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,MIN,FPTS/GS,Attacking Stats,Defensive Stats,Duel Stats,Liability Stats
Simon Adingra,BHA,F,0.55,75.5,11.97,54.0,8.56,0.72,-2.5,69,6,10,2,5,1,5,9,5,0,0,3,8,3,12,0,4,0,0,0,13,0,568,12.58,18,20,16,18
Tyrick Mitchell,CRY,D,1.00,74.75,6.94,60.75,5.64,0.81,-33.0,200,11,11,1,6,1,1,12,6,2,0,6,8,31,5,5,3,0,0,0,13,5,969,6.8,15,61,8,21
Kyle Walker,MCI,D,1.00,74.5,6.79,63.0,5.74,0.85,-19.5,200,11,11,0,11,1,1,7,3,1,0,5,6,12,7,1,10,0,0,0,8,4,988,6.77,18,30,17,12
Trent Alexander-Arnold,LIV,D,0.73,74.25,9.73,70.75,9.27,0.95,-21.5,16,8,9,0,17,1,2,9,3,3,0,4,8,15,8,0,0,0,0,0,7,3,687,9.28,24,35,8,13
Matty Cash,AVL,D,1.00,73.75,7.11,69.75,6.73,0.95,-41.0,80,11,11,2,5,1,8,15,4,3,0,3,8,19,5,5,3,0,0,1,14,3,933,6.7,21,50,8,22
Vitalii Mykolenko,EVE,D,0.64,73.25,10.51,65.25,9.36,0.89,-14.0,112,7,7,1,4,0,3,18,4,0,0,3,12,21,5,3,5,0,0,0,6,2,627,10.46,11,56,10,10
Taiwo Awoniyi,NOT,F,0.64,72.5,11.12,40.0,6.13,0.55,-6.5,62,7,9,3,9,2,3,3,9,1,0,0,0,6,6,0,14,0,0,0,9,2,587,10.36,23,11,20,19
Michail Antonio,WHU,F,1.00,72.5,8.16,53.5,6.02,0.74,-11.0,200,11,11,2,6,2,4,4,14,2,0,1,1,1,17,3,15,0,0,0,13,4,800,6.59,17,13,32,29
Andreas Pereira,FUL,M,0.82,72.0,9.21,58.0,7.42,0.81,-11.0,102,9,11,1,20,2,3,0,14,2,0,1,1,4,5,1,8,0,0,0,11,4,704,8.0,27,10,13,27
Leon Bailey,AVL,F,0.18,71.5,20.91,38.0,11.11,0.53,-5.5,200,2,9,3,7,2,3,0,7,1,0,4,3,1,9,0,4,0,0,0,6,1,308,35.75,25,5,13,14
Diogo Dalot,MUN,D,0.82,71.25,7.69,84.75,9.15,1.19,-35.5,51,9,10,1,11,0,2,9,3,2,0,12,9,27,10,2,10,0,0,0,15,2,833,7.92,26,49,20,20
Gustavo Hamer,SHU,M,0.91,71.0,7.88,60.0,6.66,0.85,-8.0,111,10,10,2,13,0,5,8,8,2,0,4,6,8,4,1,2,0,0,0,20,1,811,7.1,26,24,6,30
Joao Pedro,BHA,F,0.36,70.5,11.99,58.5,9.95,0.83,-12.0,53,4,11,2,13,1,3,5,20,1,0,1,3,7,11,0,9,0,1,0,11,1,529,17.62,22,16,20,32
Joao Palhinha,FUL,M,0.73,70.0,8.6,63.5,7.8,0.91,-13.5,127,8,9,2,2,0,4,24,11,4,0,0,16,15,3,2,13,0,0,0,10,2,733,8.75,10,59,16,25
Marc Guehi,CRY,D,0.91,68.25,6.84,60.75,6.09,0.89,-22.5,139,10,10,0,2,0,0,9,1,1,0,0,8,47,4,12,12,0,0,0,10,5,898,6.82,2,81,16,12
Enzo Fernandez,CHE,M,0.91,67.5,7.31,73.5,7.95,1.09,-16.0,137,10,10,0,14,1,6,9,12,3,0,3,4,6,7,5,7,1,1,0,9,4,832,6.75,24,28,14,25
Willian,FUL,F,0.73,67.5,8.8,60.5,7.89,0.9,-8.0,72,8,10,1,13,1,7,1,12,1,0,2,4,3,11,0,5,0,0,0,8,3,690,8.44,24,11,16,21
Richarlison,TOT,F,0.64,65.5,11.08,52.5,8.88,0.8,-14.0,64,7,10,1,7,3,7,4,20,2,0,1,5,6,6,3,11,0,0,0,4,3,532,9.36,19,21,17,26
Oliver Norwood,SHU,M,0.82,65.5,7.47,64.0,7.3,0.98,-7.5,200,9,10,1,9,0,4,16,3,3,0,2,11,21,0,4,10,0,0,0,24,0,789,7.28,16,52,10,30
Dominic Calvert-Lewin,EVE,F,0.55,65.5,11.93,42.0,7.65,0.64,-3.5,61,6,8,3,3,0,5,1,7,0,0,0,1,6,5,1,36,0,0,0,6,3,494,10.92,17,12,41,13
Dwight McNeil,EVE,M,0.64,65.0,9.94,64.5,9.86,0.99,-7.5,24,7,8,0,14,1,3,6,15,0,0,6,5,7,9,2,5,0,0,0,5,2,589,9.29,24,22,14,20
Boubacar Kamara,AVL,M,1.00,64.5,6.32,72.0,7.05,1.12,-10.5,200,11,11,0,14,0,0,19,5,4,0,0,10,8,7,3,10,0,0,0,15,3,919,5.86,14,43,17,24
Cheick Doucoure,CRY,M,0.91,64.5,6.71,69.5,7.23,1.08,-8.0,200,10,10,0,8,0,2,17,8,2,0,0,19,9,9,2,5,0,0,0,12,3,865,6.45,10,50,14,22
Ryan Christie,BOU,M,0.91,63.5,7.32,62.5,7.2,0.98,-6.0,200,10,11,0,10,1,5,7,12,0,0,4,9,7,10,1,3,0,0,0,22,1,781,6.35,20,25,13,34
Scott McTominay,MUN,M,0.45,63.0,13.4,36.5,7.77,0.58,-2.5,132,5,8,3,1,0,6,7,5,0,0,0,6,9,4,4,3,0,0,0,7,2,423,12.6,16,28,7,12
Lyle Foster,BUR,F,0.64,63.0,9.38,36.5,5.43,0.58,-12.5,120,7,7,3,6,2,5,1,11,0,1,0,1,11,4,1,15,0,0,0,19,1,605,9.0,22,15,19,31
Pervis Estupinan,BHA,D,0.55,62.75,11.41,61.75,11.23,0.98,-30.0,30,6,6,1,13,3,4,3,2,2,0,6,8,7,2,1,6,0,0,1,10,0,495,10.46,27,19,8,15
Josh Brownhill,BUR,M,0.64,62.0,8.04,57.0,7.39,0.92,-4.0,141,7,10,1,11,0,2,14,4,1,0,0,10,11,1,2,8,0,0,0,17,0,694,8.86,14,37,9,22
Micky van de Ven,TOT,D,1.00,62.0,5.92,51.0,4.87,0.82,-23.0,200,11,11,1,0,0,1,12,2,1,0,0,4,32,6,5,14,0,0,0,10,4,943,5.64,2,57,20,13
Sean Longstaff,NEW,M,0.64,62.0,7.82,41.5,5.23,0.67,-14.5,200,7,11,2,6,2,4,8,13,4,0,3,3,8,2,4,3,0,0,0,8,5,714,8.86,19,28,5,25
William Saliba,ARS,D,1.00,61.25,5.57,43.25,3.93,0.71,-19.0,123,11,11,0,2,1,0,3,2,0,0,0,9,21,2,6,14,0,0,0,9,5,990,5.57,3,44,16,11
Iyenoma Destiny Udogie,TOT,D,0.91,61.0,7.02,64.0,7.36,1.05,-35.0,47,10,10,0,7,2,1,15,8,3,1,0,11,24,7,2,7,0,0,0,9,3,782,6.1,10,55,14,21
Luca Koleosho,BUR,F,0.82,61.0,7.83,61.5,7.89,1.01,-6.5,200,9,11,0,10,1,3,4,13,0,0,2,1,0,28,0,1,0,0,0,20,1,701,6.78,16,6,29,33
Jarrad Branthwaite,EVE,D,0.82,60.75,6.75,76.75,8.53,1.26,-28.0,148,9,9,0,2,0,1,10,0,4,0,1,16,43,1,8,24,0,0,0,10,2,810,6.75,4,79,25,14
Amadou Onana,EVE,M,0.91,60.5,6.22,59.5,6.12,0.98,-1.0,200,10,10,0,7,0,3,16,2,0,0,0,5,10,4,0,29,0,0,0,13,2,875,6.05,10,33,33,15
Joelinton,NEW,M,0.64,60.5,9.97,58.0,9.56,0.96,-5.5,79,7,8,0,10,1,4,11,7,1,0,0,8,6,7,2,4,0,0,0,6,2,546,8.64,15,29,11,14
Jeffrey Schlupp,CRY,M,0.91,60.0,7.8,52.5,6.83,0.88,-5.5,200,10,10,1,10,0,4,9,11,0,0,0,2,7,7,1,11,0,0,0,7,4,692,6.0,15,23,18,18
Casemiro,MUN,M,0.73,60.0,8.33,55.5,7.71,0.92,-6.5,91,8,8,1,7,0,4,12,9,1,0,2,5,16,3,5,13,0,0,0,11,2,648,7.5,14,40,16,21
Josko Gvardiol,MCI,D,0.64,60.0,8.46,54.5,7.69,0.91,-12.5,147,7,8,0,6,0,3,6,5,1,0,1,11,10,5,3,8,0,0,0,4,3,638,8.57,10,33,13,10
Harry Toffolo,NOT,D,0.27,59.5,17.92,32.5,9.79,0.55,-6.0,200,3,5,0,5,3,2,2,0,0,0,3,6,10,0,4,1,0,0,0,3,2,299,19.83,13,24,1,3
Thiago Silva,CHE,D,1.00,59.0,5.36,69.0,6.27,1.17,-28.0,146,11,11,0,4,0,1,5,0,2,0,0,9,44,1,9,24,0,0,0,12,3,990,5.36,5,70,25,14
Mario Lemina,WOL,M,0.91,58.0,5.93,66.0,6.75,1.14,-18.0,200,10,10,1,3,0,4,16,6,4,1,1,18,16,8,2,14,0,0,0,16,1,880,5.8,9,53,22,27
Vitaly Janelt,BRF,M,1.00,58.0,5.92,53.5,5.46,0.92,-5.5,200,11,11,0,12,1,3,8,3,2,0,2,6,13,1,1,11,0,0,0,9,4,881,5.27,18,32,12,14
Axel Disasi,CHE,D,0.91,57.0,5.86,53.0,5.45,0.93,-24.0,200,10,10,1,2,0,2,1,4,2,0,0,4,24,3,7,24,0,0,0,9,3,876,5.7,5,39,27,15
Chiedozie Ogbene,LUT,F,0.64,57.0,7.67,51.0,6.86,0.89,-3.0,200,7,11,1,8,0,2,7,6,0,0,1,1,8,17,1,8,0,0,0,13,1,669,8.14,12,18,25,19
Miguel Almiron,NEW,M,0.82,56.5,7.13,41.5,5.24,0.73,-6.0,77,9,11,2,5,0,5,8,8,1,0,0,6,4,7,0,1,0,0,0,8,3,713,6.28,14,21,8,17
Yves Bissouma,TOT,M,0.91,56.5,6.28,78.0,8.68,1.38,-24.5,87,10,10,0,5,0,3,20,19,4,1,0,17,15,20,3,4,0,0,0,12,3,809,5.65,8,58,24,36
Max Kilman,WOL,D,1.00,56.25,5.11,94.75,8.61,1.68,-44.5,200,11,11,0,6,0,2,9,5,2,0,1,15,51,3,9,29,0,0,0,19,1,990,5.11,9,85,32,26
Billy Gilmour,BHA,M,0.55,55.5,9.25,42.0,7.0,0.76,-5.5,200,6,10,0,11,3,2,8,3,2,0,2,1,4,2,2,2,0,0,0,12,1,540,9.25,18,16,4,17
Zeki Amdouni,BUR,F,0.91,55.0,7.49,52.0,7.08,0.95,-6.0,200,10,10,1,4,0,7,7,8,1,0,0,3,4,14,3,6,0,0,0,15,1,661,5.5,12,18,20,24
Sven Botman,NEW,D,0.45,54.75,11.04,33.75,6.8,0.62,-8.0,129,5,5,1,2,1,1,5,0,1,0,0,4,15,0,3,12,0,0,0,3,2,446,10.95,5,29,12,4
Kurt Zouma,WHU,D,0.91,54.75,5.48,74.75,7.48,1.37,-36.0,200,10,10,1,1,0,3,5,0,1,0,0,13,59,0,7,27,0,0,0,17,1,900,5.48,5,85,27,18
Marcus Tavernier,BOU,M,0.64,54.5,9.33,53.0,9.08,0.97,-5.5,81,7,8,0,6,1,4,7,11,0,0,2,2,3,20,1,2,0,0,0,15,1,526,7.79,13,14,22,26
Oleksandr Zinchenko,ARS,D,0.64,53.75,8.48,43.75,6.9,0.81,-14.0,134,7,10,0,9,0,1,10,4,1,0,0,7,3,2,1,3,0,0,0,5,4,571,7.68,10,25,5,10
Mykhailo Mudryk,CHE,M,0.36,53.5,14.42,32.5,8.76,0.61,-6.0,97,4,9,2,6,1,2,5,4,2,0,2,1,2,8,0,1,0,0,0,2,3,334,13.38,15,11,9,8
Serge Aurier,NOT,D,0.82,53.0,6.57,66.5,8.24,1.25,-33.5,200,9,10,0,4,2,1,10,7,2,0,4,7,26,2,2,25,0,0,0,13,1,726,5.89,11,46,27,22
