,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
3,vs AVL,CB,27,1.64,0.0,0.44,0.04,0.04,0.52,0.04,0.15,0.0,0.04,1.33,3.41,0.22,0.78,1.3,0.0,0.0,0.04,2.37,0.15,0.04,0.85,0.26,0.0,5.92,-5.24,0.52,1,11.81
7,vs BHA,CB,25,1.31,0.0,0.32,0.04,0.12,1.12,0.16,0.4,0.04,0.0,1.24,3.0,0.24,0.92,1.12,0.0,0.0,0.0,2.04,0.0,0.04,3.04,0.0,0.0,6.27,-5.24,0.36,1,11.12
53,vs NEW,CB,26,1.19,0.0,0.15,0.0,0.04,0.88,0.15,0.23,0.0,0.0,1.08,3.38,0.27,0.58,1.38,0.0,0.0,0.0,2.31,0.15,0.0,1.35,0.0,0.0,5.42,-5.15,0.5,1,11.51
52,vs MUN,WB,6,1.08,0.0,0.83,0.0,0.0,1.33,0.83,0.67,0.0,0.5,0.83,2.5,0.83,0.0,0.83,0.0,0.0,0.0,2.0,0.0,0.0,3.33,0.0,0.0,6.5,-5.42,0.0,1,10.1
9,vs BHA,RB,10,1.08,0.0,0.3,0.1,0.0,1.8,0.2,0.0,0.0,0.2,0.7,1.9,0.6,0.3,0.3,0.0,0.0,0.1,2.0,0.0,0.1,0.7,0.1,0.0,4.97,-4.6,0.5,1,13.17
45,vs MCI,CB,28,0.68,0.07,0.04,0.0,0.14,0.61,0.18,0.11,0.0,0.0,1.11,3.64,0.04,1.04,0.86,0.0,0.0,0.0,2.54,0.07,0.07,1.07,0.07,0.0,4.91,-5.38,0.61,1,9.99
48,vs MCI,WB,2,-1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,3.0,0.5,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,2.0,0.0,0.0,3.25,-4.25,1.0,1,2.25
46,vs MCI,LB,9,-1.11,0.0,0.56,0.0,0.0,1.0,0.11,0.33,0.0,0.0,1.0,1.44,0.22,0.44,0.22,0.0,0.0,0.0,2.89,0.11,0.0,1.78,0.22,0.0,4.28,-6.06,0.56,1,8.57
2,vs ARS,RB,10,-1.25,0.0,0.1,0.0,0.0,1.4,0.6,0.3,0.0,0.0,0.7,2.6,0.4,0.1,0.6,0.0,0.0,0.0,2.2,0.0,0.0,2.1,0.1,0.0,4.05,-5.3,0.4,1,8.94
6,vs AVL,WB,1,-5.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,3.0,-8.5,0.0,1,0.75
