Player,Team,Position,GS:GP,FPTS,FPts/90,Ghost Points,Ghosts/90,GPR,Negative Fpts,Ros Rank,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,MIN,FPTS/GS,90s,Attacking Stats,Defensive Stats,Duel Stats,Liability Stats,deadball agg,position
David Brooks,BOU,M,0.10,45.0,16.79,32.5,12.13,0.72,-2.5,200,2,12,1,7,1,5,4,1,1,0,1,2,2,1,0,1,0,0,0,4,0,241,22.5,2.68,15,8,2,6,0.0,
Jacob Murphy,NEW,M,0.05,44.5,34.5,18.0,13.95,0.4,-1.5,200,1,5,1,4,3,2,2,3,0,0,1,0,3,3,0,0,0,0,0,1,1,116,44.5,1.29,11,6,3,4,0.0,
Reece Burke,LUT,D,0.35,44.5,6.75,65.0,9.86,1.46,-27.5,200,7,8,0,6,1,1,7,3,1,0,1,7,24,1,6,23,0,0,0,12,0,593,6.36,6.59,9,44,24,16,14.0,CB
Wataru Endo,LIV,M,0.40,44.0,5.74,46.5,6.06,1.06,-15.5,200,8,15,1,6,0,2,11,11,5,0,2,9,15,1,0,15,0,0,0,4,4,690,5.5,7.67,11,39,16,20,0.0,
Arnaut Danjuma Groeneveld,EVE,F,0.15,44.0,9.32,38.5,8.16,0.88,-3.5,200,3,12,1,5,0,8,2,7,0,0,0,2,0,7,0,3,0,0,0,10,0,425,14.67,4.72,14,4,10,17,0.0,
Amari'i Bell,LUT,D,0.70,43.75,3.35,93.25,7.14,2.13,-55.5,200,14,14,0,7,0,2,21,3,0,0,1,17,41,5,8,13,0,0,0,27,1,1175,3.12,13.06,10,88,18,30,32.0,CB
Facundo Buonanotte,BHA,M,0.30,43.5,7.89,42.5,7.71,0.98,-15.0,200,6,12,1,9,1,3,7,14,4,0,0,2,2,7,1,3,0,0,0,6,1,496,7.25,5.51,14,13,10,24,0.0,
Ibrahim Sangare,NOT,M,0.55,43.0,4.73,52.0,5.71,1.21,-13.0,200,11,11,0,6,0,0,16,6,5,0,0,10,17,4,6,8,0,0,0,13,4,819,3.91,9.1,6,53,12,24,0.0,
Milos Kerkez,BOU,D,0.65,42.5,3.3,82.5,6.41,1.94,-65.0,200,13,15,0,5,1,0,18,8,2,0,7,10,34,8,6,15,0,0,1,26,3,1158,3.27,12.87,13,71,23,37,105.0,LB
Gabriel Osho,LUT,D,0.45,42.5,4.93,64.5,7.48,1.52,-38.0,200,9,9,1,0,0,1,9,4,1,0,0,16,46,2,12,12,0,0,0,17,1,776,4.72,8.62,2,84,14,22,0.0,
Tim Ream,FUL,D,0.65,42.25,3.33,70.75,5.57,1.67,-56.5,200,13,13,1,0,0,1,9,3,2,1,0,20,39,4,7,19,0,0,0,22,3,1143,3.25,12.7,2,78,23,28,32.0,CB
Ola Aina,NOT,D,0.60,41.25,3.77,69.25,6.34,1.68,-57.0,200,12,14,1,5,1,1,15,6,3,0,2,8,29,11,3,11,0,0,0,24,2,984,3.44,10.93,10,57,22,33,54.0,LM
Fabio Vieira,ARS,M,0.10,41.0,15.95,22.0,8.56,0.54,-9.0,200,2,8,1,3,3,2,2,4,0,1,2,2,1,2,0,0,0,2,0,2,1,231,20.5,2.57,11,6,2,7,0.0,
Lewis Dunk,BHA,D,0.80,40.75,2.59,102.25,6.5,2.51,-71.5,200,16,16,1,5,0,4,7,1,5,1,1,14,37,3,21,29,0,0,0,27,0,1416,2.55,15.73,11,79,32,34,81.0,CB
Kenny Tete,FUL,D,0.35,40.75,6.1,52.25,7.82,1.28,-33.5,200,7,8,1,2,0,1,11,3,2,0,5,13,25,7,1,3,0,0,0,14,2,601,5.82,6.68,9,52,10,19,54.0,RB
Ben Chilwell,CHE,D,0.20,40.75,11.07,45.75,12.43,1.12,-18.0,126,4,6,0,9,1,2,4,4,3,0,5,3,3,4,0,7,0,0,0,5,1,331,10.19,3.68,17,11,11,12,0.0,
Ansu Fati,BHA,F,0.10,40.5,12.98,26.5,8.49,0.65,-4.0,99,2,9,2,4,0,7,1,4,1,0,0,1,2,2,0,1,0,0,0,6,1,281,20.25,3.12,15,5,3,11,0.0,
Mateo Kovacic,MCI,M,0.40,40.0,4.78,46.5,5.56,1.16,-10.5,200,8,14,0,8,0,2,15,9,3,0,0,2,7,8,0,3,0,0,0,8,4,753,5.0,8.37,10,28,11,20,18.0,CM
Pierre-Emile Hojbjerg,TOT,M,0.20,39.5,4.94,46.0,5.76,1.16,-7.5,200,4,19,0,3,0,3,9,3,3,0,0,9,16,8,6,4,0,0,0,18,1,719,9.88,7.99,6,41,12,24,13.0,DM
Matt Doherty,WOL,D,0.05,39.5,8.78,48.5,10.78,1.23,-19.0,200,1,14,1,6,0,2,4,2,1,0,1,3,14,3,1,17,0,0,0,8,0,405,39.5,4.5,10,22,20,11,0.0,
Anthony Martial,MUN,F,0.25,39.0,8.14,29.0,6.05,0.74,-5.0,200,5,13,1,6,1,4,1,10,0,0,0,0,3,2,0,8,0,1,0,6,1,431,7.8,4.79,12,5,10,16,0.0,
Sandro Tonali,NEW,M,0.25,38.5,8.02,33.5,6.98,0.87,-5.0,200,5,8,1,7,0,2,7,2,2,0,3,2,4,3,0,1,0,0,0,5,1,432,7.7,4.8,13,14,4,9,0.0,
Reece James,CHE,D,0.25,38.25,8.96,62.75,14.7,1.64,-31.5,41,5,8,0,11,1,1,8,5,0,1,6,3,7,9,4,7,0,0,0,11,0,384,7.65,4.27,19,22,16,17,29.0,WB
Mads Roerslev,BRF,D,0.40,38.0,4.74,59.5,7.43,1.57,-34.5,200,8,15,0,7,1,0,12,5,0,0,10,8,26,5,1,3,0,0,0,16,1,721,4.75,8.01,18,48,8,21,0.0,
Curtis Jones,LIV,M,0.35,37.5,5.96,38.5,6.12,1.03,-17.0,200,7,12,1,4,1,4,8,16,1,1,0,3,5,9,0,5,0,0,0,6,1,566,5.36,6.29,10,17,14,24,0.0,
Josh Cullen,BUR,M,0.50,37.0,3.95,43.5,4.64,1.18,-12.5,200,10,11,0,6,1,0,11,5,5,0,2,7,11,1,7,7,0,0,0,24,0,843,3.7,9.37,9,36,8,34,24.0,CM
Marc Cucurella,CHE,D,0.40,36.75,4.71,69.25,8.87,1.88,-38.5,200,8,9,0,6,0,3,17,1,5,0,0,12,17,2,5,11,0,0,0,14,1,703,4.59,7.81,9,52,13,20,67.0,RB
Carlos Vinicius,FUL,F,0.10,36.5,11.13,26.0,7.93,0.71,-7.5,200,2,13,2,5,0,5,2,7,2,0,0,0,1,2,0,4,0,0,0,5,0,295,18.25,3.28,14,3,6,14,0.0,
Anel Ahmedhodzic,SHU,D,0.65,36.25,2.69,103.75,7.69,2.86,-83.5,200,13,14,1,1,0,2,21,7,5,0,0,16,55,6,13,28,0,0,0,35,1,1215,2.79,13.5,4,106,34,47,25.0,CB
Ryan Giles,LUT,M,0.25,36.0,6.57,36.5,6.66,1.01,-0.5,200,5,11,0,5,0,2,6,1,0,0,7,4,20,4,0,3,0,0,0,14,0,493,7.2,5.48,14,30,7,15,47.0,WB
Emerson Royal,TOT,D,0.35,36.0,4.2,75.5,8.8,2.1,-49.5,200,7,15,1,2,0,2,17,7,3,0,1,14,38,7,6,13,0,0,0,20,0,772,5.14,8.58,6,75,20,30,21.0,LB
George Baldock,SHU,D,0.50,35.75,3.87,70.25,7.6,1.97,-48.5,200,10,11,0,6,2,0,9,9,4,0,4,9,25,5,8,15,0,1,0,18,0,832,3.58,9.24,12,51,20,31,40.0,RM
Rico Lewis,MCI,D,0.20,35.75,9.01,21.25,5.35,0.59,-13.5,200,4,9,1,5,0,2,1,7,1,0,0,3,1,2,1,0,0,0,0,4,3,357,8.94,3.97,8,9,2,12,0.0,
Carlos Baleba,BHA,M,0.35,35.5,5.86,46.0,7.59,1.3,-10.5,200,7,12,0,5,0,2,10,9,3,0,0,8,14,3,4,14,0,0,0,14,0,545,5.07,6.06,7,36,17,26,0.0,
Scott McKenna,NOT,D,0.25,35.25,7.63,41.25,8.93,1.17,-12.0,200,5,5,0,3,0,0,0,0,0,0,0,5,25,0,4,20,0,0,0,6,1,416,7.05,4.62,3,35,20,6,18.0,CB
Mads Andersen,LUT,D,0.20,35.25,8.05,39.25,8.96,1.11,-14.0,200,4,8,1,0,0,1,5,0,1,0,0,8,29,0,6,11,0,0,0,6,0,394,8.81,4.38,2,48,11,7,0.0,
Jhon Duran,AVL,F,0.00,35.0,22.88,21.0,13.73,0.6,-10.0,200,0,13,2,2,1,3,3,4,4,0,1,0,6,1,0,8,0,1,0,1,0,138,inf,1.53,11,9,9,9,0.0,
Kevin Schade,BRF,M,0.15,35.0,12.46,20.5,7.3,0.59,-1.5,200,3,5,1,3,1,2,1,3,0,0,2,1,3,1,0,11,0,0,0,2,1,253,11.67,2.81,9,6,12,5,0.0,
Valentino Livramento,NEW,D,0.30,34.75,4.52,58.25,7.58,1.68,-35.5,200,6,14,0,5,0,0,8,11,1,0,3,13,17,9,5,6,0,0,0,14,2,691,5.79,7.68,8,45,15,26,28.0,LB
Rico Henry,BRF,D,0.25,34.75,7.79,37.25,8.35,1.07,-15.5,200,5,5,0,5,1,0,5,7,1,0,2,5,5,7,3,4,0,0,0,5,1,401,6.95,4.46,8,19,11,13,0.0,
Joel Veltman,BHA,D,0.45,34.0,3.39,70.5,7.04,2.07,-43.5,200,9,16,0,2,1,2,22,3,1,0,0,12,30,1,6,14,0,0,0,20,0,902,3.78,10.02,5,70,15,24,61.0,RB
Calvin Bassey,FUL,D,0.60,34.0,2.75,78.5,6.35,2.31,-56.5,200,12,15,0,1,0,1,12,3,2,1,0,21,34,7,8,18,0,0,0,22,2,1113,2.83,12.37,2,77,25,28,18.0,CB
Sasa Kalajdzic,WOL,F,0.05,33.5,20.06,20.0,11.98,0.6,-4.5,200,1,11,2,4,0,2,2,5,1,0,0,1,6,1,0,8,0,0,0,2,1,150,33.5,1.67,10,10,9,8,0.0,
Matheus Nunes,MCI,M,0.25,33.0,6.38,37.5,7.25,1.14,-11.5,200,5,10,0,4,1,1,3,9,0,1,2,6,6,14,1,3,0,0,0,10,1,465,6.6,5.17,8,17,17,20,0.0,
Sergio Reguilon,MUN,D,0.20,32.75,7.26,41.25,9.15,1.26,-20.5,200,4,9,0,8,0,0,8,1,3,0,3,5,5,3,0,5,0,0,0,7,2,406,8.19,4.51,11,20,8,11,49.0,LB
Tahith Chong,LUT,M,0.30,32.5,4.08,36.0,4.52,1.11,-12.5,200,6,15,1,2,0,3,8,13,3,0,6,3,2,5,2,4,0,0,0,18,0,716,5.42,7.96,12,15,9,34,0.0,
Michael Keane,EVE,D,0.20,32.0,7.16,41.5,9.28,1.3,-25.5,200,4,7,1,0,0,4,3,3,1,0,0,5,18,1,4,16,0,0,0,11,1,402,8.0,4.47,5,31,17,15,0.0,
Armando Broja,CHE,F,0.25,32.0,7.64,21.0,5.01,0.66,-4.0,200,5,12,1,2,1,2,0,8,0,0,0,0,2,9,1,2,0,1,0,5,2,377,6.4,4.19,6,5,11,13,0.0,
Ehor Yarmolyuk,BRF,M,0.20,31.5,8.36,34.5,9.15,1.1,-5.0,200,4,11,0,2,0,3,8,6,1,0,0,2,3,11,1,5,0,0,0,5,2,339,7.88,3.77,5,16,16,12,0.0,
Diego Carlos,AVL,D,0.50,31.25,3.13,54.75,5.48,1.75,-35.5,200,10,14,0,2,0,1,11,3,2,0,0,6,43,2,6,13,0,0,0,15,2,899,3.12,9.99,3,68,15,20,16.0,CB
Shandon Baptiste,BRF,M,0.10,29.5,14.32,20.5,9.95,0.69,0.0,200,2,5,1,2,0,1,4,0,0,0,0,3,4,5,1,3,0,0,0,5,0,185,14.75,2.06,4,12,8,5,0.0,
Benoit Badiashile,CHE,D,0.25,29.25,5.76,39.75,7.82,1.36,-23.5,200,5,6,0,3,1,1,9,3,1,0,0,4,19,0,2,12,0,0,0,10,1,457,5.85,5.08,5,35,12,14,0.0,
Jarell Quansah,LIV,D,0.15,29.25,10.16,25.25,8.77,0.86,-2.0,200,3,6,0,0,0,0,3,0,0,0,0,4,9,2,0,14,0,0,0,1,1,259,9.75,2.88,0,17,16,1,0.0,
Issa Diop,FUL,D,0.45,28.75,3.23,48.25,5.43,1.68,-37.5,200,9,10,0,0,0,1,7,3,2,0,0,7,45,0,7,14,0,0,0,16,3,800,3.19,8.89,1,69,14,21,13.0,CB
Adam Lallana,BHA,M,0.40,28.5,5.22,29.0,5.31,1.02,-7.5,200,8,14,0,9,1,2,1,11,1,0,1,2,1,2,0,2,0,0,0,8,1,491,3.56,5.46,13,5,4,20,0.0,
Jacob Ramsey,AVL,M,0.20,28.0,5.32,29.0,5.51,1.04,-10.0,200,4,10,1,5,0,3,6,12,2,0,0,2,3,2,1,4,0,0,0,7,0,473,7.0,5.26,9,12,6,21,0.0,
Nicolo Zaniolo,AVL,M,0.35,28.0,5.13,38.5,7.05,1.38,-20.5,200,7,13,1,6,0,5,4,25,4,0,0,1,7,9,0,5,0,0,0,7,1,491,4.0,5.46,12,13,14,36,0.0,
Pablo Fornals,WHU,M,0.15,28.0,7.87,30.0,8.43,1.07,-3.0,200,3,14,0,4,0,3,5,6,0,0,1,4,3,5,1,0,0,0,0,7,1,320,9.33,3.56,8,14,5,13,0.0,
Mike Tresor,BUR,F,0.15,27.5,6.5,30.5,7.21,1.11,-3.0,200,3,13,0,7,0,0,5,6,0,0,1,0,1,10,0,1,0,0,0,8,0,381,9.17,4.23,8,6,11,14,22.0,LW
Mahmoud Dahoud,BHA,M,0.30,27.5,5.54,31.0,6.25,1.13,-11.5,200,6,9,0,10,1,1,4,5,1,1,1,1,4,2,1,0,0,0,0,5,2,446,4.58,4.96,13,12,2,12,0.0,
Mason Mount,MUN,M,0.20,27.0,6.16,31.0,7.08,1.15,-5.0,93,4,8,0,5,0,0,10,6,1,0,1,3,1,4,1,4,0,0,0,6,1,394,6.75,4.38,6,16,8,13,0.0,
Danilo,NOT,M,0.35,27.0,3.74,31.0,4.3,1.15,-4.0,200,7,13,0,2,0,1,3,4,1,0,0,13,10,4,1,8,0,0,0,16,0,649,3.86,7.21,3,27,12,21,0.0,
Lloyd Kelly,BOU,D,0.40,26.75,3.54,45.75,6.05,1.71,-31.0,200,8,9,0,5,0,0,8,2,1,0,1,6,19,2,7,7,0,0,0,14,2,680,3.34,7.56,6,42,9,17,31.0,CB
Leander Dendoncker,AVL,M,0.05,26.5,20.54,12.0,9.3,0.45,-0.5,200,1,8,1,0,1,1,4,1,0,0,0,2,3,0,2,4,0,0,0,3,0,116,26.5,1.29,3,11,4,4,0.0,
Angelo Ogbonna,WHU,D,0.15,26.5,7.55,18.5,5.27,0.7,-4.0,200,3,6,0,0,0,0,1,0,0,0,0,2,18,1,8,2,0,0,0,2,2,316,8.83,3.51,0,31,3,2,0.0,
Thomas Partey,ARS,M,0.15,26.5,9.57,27.0,9.75,1.02,-1.5,200,3,4,0,3,0,1,5,3,0,0,2,4,2,6,1,2,0,0,0,2,1,249,8.83,2.77,6,13,8,5,17.0,RB
Kobbie Mainoo,MUN,M,0.30,26.5,5.34,27.5,5.54,1.04,-3.0,200,6,6,0,1,0,1,6,2,1,0,0,5,15,2,5,11,0,0,0,5,2,446,4.42,4.96,2,33,13,8,0.0,
Gonzalo Montiel,NOT,D,0.15,26.25,7.72,23.25,6.84,0.89,-10.0,200,3,6,0,4,1,0,7,0,3,0,0,2,13,0,1,2,0,0,0,2,1,306,8.75,3.4,5,24,2,5,0.0,
Chris Richards,CRY,D,0.40,25.75,3.14,58.75,7.16,2.28,-33.0,200,8,11,0,2,0,0,12,2,2,0,0,11,31,0,6,18,0,0,0,14,0,738,3.22,8.2,2,60,18,18,0.0,
Sofyan Amrabat,MUN,M,0.35,25.5,3.77,34.0,5.03,1.33,-9.5,200,7,10,0,4,0,0,13,7,3,0,0,4,11,4,3,4,0,0,0,8,1,608,3.64,6.76,4,32,8,18,17.0,LB
Auston Trusty,SHU,D,0.65,25.5,1.95,88.0,6.71,3.45,-68.5,200,13,15,0,1,0,0,18,1,3,0,1,13,68,1,11,25,0,0,0,31,1,1180,1.96,13.11,2,111,26,35,32.0,CB
Albert Sambi Lokonga,LUT,M,0.25,25.0,5.58,18.5,4.13,0.74,-0.5,200,5,6,0,2,1,1,4,1,0,0,0,1,3,1,4,5,0,0,0,7,1,403,5.0,4.48,4,13,6,8,14.0,CM
Pelly Ruddock,LUT,M,0.40,24.5,3.07,29.5,3.7,1.2,-6.0,200,8,16,0,4,0,0,1,12,0,0,2,6,13,4,4,9,0,0,0,14,1,717,3.06,7.97,6,25,13,26,0.0,
Ivan Perisic,TOT,M,0.00,24.5,23.79,22.5,21.84,0.92,-4.0,200,0,5,0,5,1,0,2,0,2,0,2,2,1,4,0,5,0,0,0,1,0,93,inf,1.03,8,5,9,3,0.0,
Harvey Barnes,NEW,M,0.10,24.5,12.31,12.5,6.28,0.51,-4.0,200,2,6,1,2,1,2,0,4,1,0,0,1,0,3,0,1,0,0,0,2,1,179,12.25,1.99,6,2,4,7,0.0,
Hugo Bueno,WOL,D,0.20,24.25,5.76,39.25,9.32,1.62,-27.0,200,4,12,0,4,0,0,9,12,1,0,5,2,9,6,1,6,0,0,1,7,2,379,6.06,4.21,9,23,12,21,0.0,
Lewis Dobbin,EVE,F,0.05,24.0,13.11,17.5,9.56,0.73,-2.5,200,1,6,1,1,0,2,4,5,0,0,0,1,0,5,1,1,0,0,0,2,1,165,24.0,1.83,4,7,6,7,0.0,
Facundo Pellistri,MUN,M,0.05,23.0,13.29,19.0,10.98,0.83,-2.0,200,1,9,0,1,1,2,3,4,0,0,0,1,5,5,1,6,0,0,0,2,0,156,23.0,1.73,4,10,11,6,0.0,
Oscar Bobb,MCI,M,0.00,23.0,19.83,12.5,10.78,0.54,-1.5,200,0,6,0,3,2,0,0,3,0,0,1,1,1,4,0,1,0,0,0,2,0,104,inf,1.16,6,2,5,5,0.0,
Emile Smith Rowe,ARS,M,0.05,23.0,18.25,17.5,13.89,0.76,-1.5,200,1,6,0,1,1,5,0,3,0,0,0,1,0,2,1,3,0,0,0,0,1,113,23.0,1.26,7,3,5,3,0.0,
Igor Julio dos Santos de Paulo,BHA,D,0.40,22.75,2.92,53.75,6.91,2.36,-31.0,200,8,11,0,4,0,0,7,2,3,0,0,6,19,7,5,16,0,0,0,12,0,700,2.84,7.78,4,37,23,17,30.0,CB
Alex Moreno,AVL,D,0.10,22.75,7.84,28.25,9.74,1.24,-15.5,121,2,7,1,4,0,3,1,3,0,0,2,3,9,3,1,2,0,0,0,7,0,261,11.38,2.9,10,14,5,10,0.0,
Mikkel Damsgaard,BRF,M,0.05,22.0,8.7,22.5,8.89,1.02,-1.5,200,1,7,0,3,0,2,3,3,0,0,1,3,2,4,1,1,0,0,0,1,1,228,22.0,2.53,6,10,5,4,0.0,
Julio Enciso,BHA,F,0.05,22.0,29.73,12.0,16.22,0.55,-2.0,136,1,2,0,2,2,1,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,67,22.0,0.74,5,0,6,2,0.0,
Boubacar Traore,WOL,M,0.15,21.5,5.21,27.0,6.54,1.26,-5.5,200,3,12,0,3,0,0,10,7,1,0,2,3,4,3,1,4,0,0,0,11,0,372,7.17,4.13,5,18,7,19,0.0,
Jack Robinson,SHU,D,0.90,21.5,1.17,120.0,6.51,5.58,-111.5,200,18,19,0,6,1,0,15,1,6,0,0,18,76,3,17,36,0,0,1,47,1,1658,1.19,18.42,7,127,39,55,92.0,CB
Joe Rothwell,BOU,M,0.15,21.0,5.05,22.0,5.29,1.05,-1.0,200,3,11,0,4,0,0,2,2,0,0,0,3,2,7,2,0,0,0,0,12,0,374,7.0,4.16,4,9,7,14,39.0,DM
Max Aarons,BOU,D,0.55,20.75,1.88,58.75,5.33,2.83,-57.0,200,11,13,0,6,1,0,16,6,1,0,3,5,15,10,5,4,0,0,0,26,2,993,1.89,11.03,10,43,14,33,97.0,RB
Tommy Doyle,WOL,M,0.15,20.5,4.67,24.0,5.47,1.17,-5.5,200,3,12,0,3,0,1,4,3,2,0,2,4,8,1,5,0,0,0,0,6,2,395,6.83,4.39,6,23,1,11,0.0,
Vitinho,BUR,D,0.65,20.5,1.63,60.0,4.77,2.93,-51.5,200,13,14,0,4,0,0,14,11,0,0,2,6,20,11,1,13,0,0,0,23,2,1132,1.58,12.58,6,43,24,34,78.0,LB
Andre Brooks,SHU,M,0.30,20.0,4.5,21.0,4.73,1.05,-2.0,200,6,8,0,0,0,0,5,4,0,0,0,6,6,7,1,4,0,0,0,6,1,400,3.33,4.44,0,19,11,10,0.0,
Sasa Lukic,FUL,M,0.20,20.0,4.76,23.0,5.48,1.15,-4.0,200,4,11,0,3,0,1,5,4,1,0,0,4,7,3,2,2,0,0,0,9,1,378,5.0,4.2,4,19,5,14,0.0,
Hannibal Mejbri,MUN,M,0.05,19.0,13.38,13.0,9.15,0.68,-4.0,200,1,5,1,2,0,1,3,4,1,0,0,0,0,2,1,2,0,0,0,1,1,128,19.0,1.42,4,5,4,6,0.0,
Adam Webster,BHA,D,0.35,18.75,2.75,45.75,6.72,2.44,-33.0,200,7,7,0,1,0,1,10,0,1,0,0,6,27,0,3,16,0,0,1,13,1,613,2.68,6.81,2,47,16,15,0.0,
Joe Worrall,NOT,D,0.25,18.75,3.87,35.75,7.39,1.91,-23.0,200,5,7,0,2,0,0,5,0,0,1,0,3,31,0,4,12,0,0,0,8,1,436,3.75,4.84,2,44,12,9,0.0,
Christopher Nkunku,CHE,F,0.05,18.5,13.12,9.5,6.74,0.51,0.0,68,1,3,1,1,0,3,0,0,0,0,0,0,1,0,0,3,0,0,0,4,0,127,18.5,1.41,5,1,3,4,0.0,
Kieffer Moore,BOU,F,0.00,18.5,19.27,10.0,10.42,0.54,-0.5,200,0,7,1,1,0,2,0,1,0,0,0,0,0,1,0,6,0,0,0,1,0,86,inf,0.96,4,0,7,2,0.0,
Emil Krafth,NEW,D,0.00,18.5,20.79,15.0,16.85,0.81,-2.5,200,0,4,0,4,0,0,2,1,0,0,4,0,0,1,0,0,0,0,0,1,1,80,inf,0.89,8,3,1,2,0.0,
Rodrigo Muniz,FUL,F,0.15,17.5,5.1,25.0,7.29,1.43,-7.5,200,3,8,0,5,0,2,0,11,1,0,0,1,4,1,1,16,0,0,0,8,1,309,5.83,3.43,7,7,17,20,0.0,
Benie Traore,SHU,F,0.15,17.5,4.15,21.0,4.98,1.2,-3.5,200,3,8,0,4,0,1,2,7,0,0,1,1,1,5,1,2,0,0,0,13,0,380,5.83,4.22,6,5,7,20,0.0,
Andre Gomes,EVE,M,0.05,17.5,10.17,12.0,6.98,0.69,-4.5,200,1,3,1,3,0,1,1,1,2,0,2,0,0,1,0,0,0,0,0,2,1,155,17.5,1.72,7,2,1,5,0.0,
John Stones,MCI,D,0.25,17.0,3.75,16.5,3.64,0.97,-11.5,125,5,8,0,3,0,0,1,3,1,0,0,3,10,0,3,1,0,0,0,4,2,408,3.4,4.53,3,19,1,8,0.0,
Cauley Woodrow,LUT,F,0.00,17.0,22.37,19.0,25.0,1.12,-2.0,200,0,8,0,4,0,1,4,4,0,0,1,0,1,2,0,4,0,0,0,2,0,68,inf,0.76,6,5,6,6,0.0,
Fabio Silva,WOL,F,0.15,17.0,6.03,23.0,8.16,1.35,-6.0,200,3,8,0,4,0,3,4,4,2,0,0,2,0,2,0,2,0,0,0,8,1,254,5.67,2.82,7,7,4,14,0.0,
Moussa Niakhate,NOT,D,0.50,16.5,1.52,64.0,5.91,3.88,-53.5,200,10,14,0,3,0,0,19,1,2,1,1,9,36,2,8,10,0,0,0,21,1,974,1.65,10.82,4,73,12,25,31.0,CB
William Osula,SHU,F,0.30,15.5,2.72,26.5,4.65,1.71,-11.0,200,6,11,0,1,0,5,1,6,4,0,1,1,3,2,1,17,0,0,0,10,0,513,2.58,5.7,7,6,19,20,0.0,
Lesley Ugochukwu,CHE,F,0.15,15.5,5.27,21.0,7.14,1.35,-5.5,200,3,10,0,1,0,0,9,3,2,0,0,1,3,3,2,8,0,0,0,6,1,265,5.17,2.94,1,16,11,11,0.0,
Chris Basham,SHU,D,0.15,15.25,4.41,30.25,8.74,1.98,-15.0,200,3,8,0,2,0,0,2,2,1,0,0,5,17,3,4,8,0,0,0,6,0,311,5.08,3.46,2,28,11,9,0.0,
Jesurun Rak-Sakyi,CRY,M,0.00,15.0,10.56,15.5,10.92,1.03,-1.5,200,0,6,0,2,0,1,1,3,0,0,0,3,1,4,0,3,0,0,0,3,1,128,inf,1.42,3,6,7,6,0.0,
Nathaniel Clyne,CRY,D,0.30,15.0,2.12,27.0,3.82,1.8,-18.0,200,6,9,0,0,0,0,8,0,0,0,1,4,16,4,1,5,0,0,0,9,1,636,2.5,7.07,1,30,9,9,21.0,RB
Bryan Gil,TOT,F,0.10,15.0,7.98,17.0,9.04,1.13,-2.0,200,2,8,0,3,0,1,0,4,0,0,2,1,3,6,0,0,0,0,0,10,0,169,7.5,1.88,6,4,6,14,0.0,
Aaron Ramsey,BUR,M,0.10,15.0,4.87,18.5,6.01,1.23,-3.5,200,2,10,0,1,0,1,9,7,0,0,0,0,4,3,1,3,0,0,0,9,0,277,7.5,3.08,2,14,6,16,0.0,
Oliver Skipp,TOT,M,0.10,14.5,3.08,21.0,4.46,1.45,-6.5,200,2,14,0,4,0,1,7,5,2,0,1,0,3,1,1,2,0,0,0,11,0,424,7.25,4.71,6,11,3,18,0.0,
Seamus Coleman,EVE,D,0.05,13.0,12.75,7.0,6.86,0.54,0.0,200,1,2,0,0,0,0,2,0,0,0,0,1,4,3,0,0,0,0,0,0,1,92,13.0,1.02,0,8,3,0,0.0,
Anis Ben Slimane,SHU,M,0.15,12.5,3.67,24.0,7.04,1.92,-12.5,200,3,10,0,3,0,3,3,7,2,0,0,3,6,2,1,6,0,0,1,10,1,307,4.17,3.41,6,14,8,20,0.0,
Cheikhou Kouyate,NOT,M,0.10,12.5,5.73,18.0,8.26,1.44,-5.5,200,2,10,0,1,0,1,5,3,2,0,0,2,9,1,1,10,0,0,0,6,0,196,6.25,2.18,2,17,11,11,0.0,
Jorginho,ARS,M,0.20,12.5,2.98,15.0,3.57,1.2,-3.5,200,4,11,0,3,0,0,3,3,1,0,1,2,2,1,1,2,0,0,0,6,1,378,3.12,4.2,4,9,3,10,0.0,
Joe Willock,NEW,M,0.05,12.5,8.5,13.0,8.84,1.04,-0.5,200,1,3,0,2,0,1,2,1,0,0,1,0,1,4,0,0,0,0,0,2,0,132,12.5,1.47,4,3,4,3,0.0,
Tariq Lamptey,BHA,D,0.10,12.5,6.65,15.0,7.98,1.2,-16.5,200,2,5,0,2,2,0,3,1,2,0,1,2,0,5,0,0,0,0,0,6,0,169,6.25,1.88,5,5,5,9,0.0,
Sergio Gomez,MCI,D,0.00,12.0,75.0,5.0,31.25,0.42,0.0,200,0,2,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,14,inf,0.16,2,1,2,0,0.0,
Nathan Redmond,BUR,M,0.00,11.5,8.46,14.5,10.66,1.26,-3.0,200,0,12,0,4,0,0,1,2,1,0,1,0,3,4,0,1,0,0,0,5,0,122,inf,1.36,5,4,5,8,0.0,
Ben Johnson,WHU,D,0.05,11.0,10.89,7.5,7.43,0.68,-2.5,200,1,2,0,0,0,0,3,1,1,0,0,2,2,1,0,1,0,0,0,0,1,91,11.0,1.01,0,8,2,2,0.0,
Ben Godfrey,EVE,D,0.05,10.75,10.64,4.75,4.7,0.44,0.0,200,1,2,0,0,0,0,1,0,0,0,0,2,3,0,0,1,0,0,0,0,1,91,10.75,1.01,0,7,1,0,0.0,
