,team,position,player,fpts,g,kp,at,sot,tkw,dis,yc,rc,acnc,int,clr,cos,bs,aer,pkm,pkd,og,gao,cs,pts,dpt,off,pkg,ghost points,negative fpts,home,gp
68,SHU,AM,4,5.2,0.2,0.8,0.0,0.4,0.0,1.0,0.2,0.0,0.2,0.8,0.6,0.8,0.0,0.2,0.0,0.0,0.0,3.2,0,0.2,1.6,0.2,0.0,3.4,-0.9,2,5
69,SHU,CM,7,4.31,0.03,0.58,0.0,0.35,1.1,0.68,0.23,0.0,0.16,0.65,1.16,0.35,0.29,0.87,0.0,0.0,0.0,1.87,2,0.03,1.45,0.0,0.0,3.96,-0.98,14,31
70,SHU,LM,1,8.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,2.0,0.0,0.0,8.0,-2.0,1,1
71,SHU,RM,2,0.25,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0,0.0,1.0,0.0,0.0,0.25,-1.75,2,2
72,TOT,AM,3,14.05,0.2,2.6,0.5,1.3,0.4,1.2,0.3,0.0,0.3,0.3,0.2,1.3,0.0,0.1,0.0,0.0,0.0,0.7,3,0.7,1.6,0.0,0.0,8.95,-1.2,4,10
73,TOT,CM,1,-0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.5,-0.5,0,1
74,TOT,DM,4,5.08,0.04,0.58,0.04,0.46,1.25,0.79,0.38,0.04,0.0,0.79,0.92,1.04,0.33,0.46,0.0,0.0,0.0,0.67,4,0.08,2.42,0.0,0.0,4.29,-1.44,9,24
75,TOT,LM,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
76,WHU,AM,7,10.64,0.36,1.45,0.09,0.64,1.27,1.27,0.09,0.0,0.36,0.82,0.73,0.27,0.27,0.55,0.0,0.0,0.0,1.0,2,0.45,1.09,0.09,0.09,6.64,-0.82,5,11
77,WHU,CM,4,7.88,0.25,0.5,0.0,0.75,0.75,0.25,0.25,0.0,0.0,2.5,1.25,0.0,0.25,0.5,0.0,0.0,0.0,0.5,0,0.25,1.75,0.25,0.0,5.62,-0.62,0,4
78,WHU,DM,5,7.79,0.06,0.76,0.24,0.29,1.47,0.47,0.35,0.0,0.06,0.71,3.12,0.47,0.71,2.24,0.0,0.0,0.0,1.18,2,0.29,2.35,0.06,0.0,5.74,-0.94,9,17
79,WHU,LM,1,17.5,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,11.5,-0.5,0,1
80,WHU,RM,2,13.25,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0,1.0,0.0,0.0,0.0,5.75,-0.25,1,2
81,WOL,AM,1,0.0,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0,0.0,4.0,0.0,0.0,0.0,-3.75,1,2
82,WOL,CM,4,2.88,0.0,0.29,0.0,0.12,1.29,0.82,0.35,0.06,0.12,1.0,1.18,0.59,0.18,0.59,0.0,0.0,0.0,1.29,2,0.0,3.0,0.0,0.0,2.76,-1.53,8,17
83,WOL,DM,4,4.5,0.0,0.4,0.2,0.0,1.8,0.4,0.2,0.0,0.0,0.8,0.8,0.2,0.0,0.6,0.0,0.0,0.0,1.8,0,0.0,2.0,0.0,0.0,3.3,-0.6,4,5
84,WOL,LM,6,5.93,0.09,0.73,0.18,0.27,0.27,0.91,0.09,0.09,0.45,0.82,0.55,1.45,0.27,0.36,0.0,0.0,0.0,0.91,0,0.27,1.64,0.36,0.0,4.02,-1.64,7,11
85,WOL,RM,4,10.62,0.25,1.62,0.12,0.62,0.5,1.0,0.25,0.0,1.12,0.62,0.88,1.75,0.12,0.38,0.0,0.0,0.0,1.38,1,0.38,1.75,0.25,0.0,7.62,-1.5,3,8
