Player,Team,Position,FPts_Total_gw1,FPts_Total_gw2,FPts_Total_gw3,FPts_Total_gw4,FPts_Total_gw5,FPts_Total_gw6,FPts_Total_gw7,FPts_Total_gw8,FPts_Total_gw9,FPts_Total_gw10,FPts_Total_gw11,FPts_Total_gw12,FPts_Total_gw13
Diego Carlos,AVL,D,1.25,5.75,9.75,8.0,8.0,8.0,8.0,7.25,7.25,5.5,5.5,5.5,7.5
Bruno Guimaraes,NEW,M,1.0,0.0,6.5,11.0,17.0,49.0,69.5,67.0,74.5,81.5,88.0,88.0,93.0
Bernardo Silva,MCI,M,1.0,1.0,13.0,11.0,37.5,37.5,37.5,39.0,42.5,61.0,91.0,103.5,113.5
Willian,FUL,F,1.0,1.0,1.0,1.5,17.0,22.5,26.0,52.0,58.5,63.0,67.5,72.5,98.0
Curtis Jones,LIV,M,1.0,1.0,1.0,1.5,3.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5
Josh Cullen,BUR,M,1.0,1.0,4.0,12.5,16.5,24.5,27.5,27.5,29.0,28.0,28.0,28.0,29.0
Victor Lindelof,MUN,D,1.0,1.0,8.5,6.5,7.5,15.0,13.0,14.75,23.0,22.25,22.25,47.0,63.0
Danny Ings,WHU,F,1.0,1.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,-0.5,-0.5,0.0
Mads Roerslev,BRF,D,1.0,2.0,2.0,2.0,8.75,10.5,15.5,17.75,19.75,28.25,29.75,26.5,26.5
Philippe Coutinho,AVL,M,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Lesley Ugochukwu,CHE,F,1.0,1.0,1.0,1.0,6.0,9.5,9.5,9.5,9.5,11.0,10.0,10.0,11.5
Lewis Dobbin,EVE,F,1.0,6.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.0
Thilo Kehrer,WHU,D,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Jacob Bruun Larsen,BUR,F,1.0,1.0,1.0,5.0,5.0,9.0,9.5,11.0,11.5,14.5,14.5,14.5,14.5
Cheikhou Kouyate,NOT,M,1.0,2.5,3.0,5.5,5.5,5.5,6.0,7.5,8.0,8.0,8.0,8.0,8.0
Serge Aurier,NOT,D,0.75,24.0,25.5,34.5,34.5,30.25,31.5,36.75,42.75,49.25,53.0,54.5,54.5
Alfie Doughty,LUT,M,0.5,0.5,2.5,9.5,9.5,25.5,47.5,56.5,64.0,68.0,75.5,82.0,89.5
Kevin Schade,BRF,M,0.5,1.5,17.5,35.5,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
Justin Kluivert,BOU,M,0.5,6.0,9.0,11.5,15.5,18.0,19.0,19.0,19.0,19.0,19.0,25.0,48.5
Ian Maatsen,CHE,D,0.5,0.5,-2.0,1.5,1.5,1.5,4.25,4.25,4.25,5.75,5.75,5.75,5.75
George Baldock,SHU,D,0.5,0.5,-0.25,8.25,8.25,8.25,8.25,8.25,8.25,4.25,10.75,11.25,28.5
Orel Mangala,NOT,M,0.5,4.0,4.0,6.5,8.5,8.5,14.5,19.5,25.0,24.0,39.0,41.5,46.5
Davinson Sanchez,TOT,D,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Kieffer Moore,BOU,F,0.5,0.5,1.0,1.0,1.0,1.0,1.0,5.5,5.5,5.5,5.5,5.5,5.5
Tom Cairney,FUL,M,0.5,0.5,1.5,1.5,2.0,2.0,6.5,12.5,15.5,15.5,16.5,17.5,30.0
James Hill,BOU,D,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Gabriel Magalhaes,ARS,D,0.25,3.5,3.5,9.75,21.25,24.5,33.0,44.0,44.25,44.25,48.75,53.5,68.25
Jurrien Timber,ARS,D,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Tyrone Mings,AVL,D,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Gabriel Jesus,ARS,F,0.0,0.0,2.5,16.5,16.5,22.5,38.0,41.5,44.5,44.5,44.5,44.5,49.0
Jack Grealish,MCI,M,0.0,4.0,24.5,24.5,24.5,22.0,23.0,23.0,26.5,35.5,35.5,36.0,36.0
Pedro Porro,TOT,D,0.0,12.75,23.5,34.0,42.0,41.5,63.75,76.75,89.75,92.0,96.75,110.5,127.5
Ruben Dias,MCI,D,0.0,7.5,9.5,13.75,20.25,29.0,27.75,27.0,27.25,39.0,39.0,36.0,38.5
Oleksandr Zinchenko,ARS,D,0.0,0.0,3.0,4.0,13.5,13.75,31.25,41.25,39.25,48.75,53.75,79.0,94.25
Michael Olise,CRY,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,28.0
Rasmus Hojlund,MUN,F,0.0,0.0,0.0,0.0,3.5,5.0,12.5,14.0,18.0,24.0,28.5,30.5,30.5
James Ward-Prowse,WHU,M,0.0,18.0,34.5,47.5,67.0,78.5,102.0,107.0,118.0,124.5,129.5,155.0,162.5
Christopher Nkunku,CHE,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diogo Dalot,MUN,D,0.0,-1.0,1.75,1.75,5.25,17.75,24.25,41.0,58.25,57.0,71.25,81.5,109.0
Jeremy Doku,MCI,F,0.0,0.0,0.0,6.0,30.5,36.5,52.0,56.0,74.0,76.0,128.0,133.0,156.0
John Stones,MCI,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,10.5,18.0,18.0,18.0
Dwight McNeil,EVE,M,0.0,0.0,0.0,-0.5,-1.5,11.5,21.0,39.5,46.0,61.0,65.0,70.5,76.0
Dominic Calvert-Lewin,EVE,F,0.0,0.5,0.5,0.5,4.5,16.0,31.5,37.5,45.0,61.5,65.5,68.5,75.5
Ansu Fati,BHA,F,0.0,0.0,0.0,0.0,4.0,4.5,15.5,15.5,28.5,30.5,31.0,37.5,40.5
Moises Caicedo,CHE,M,0.0,3.0,9.5,10.5,10.5,15.0,21.5,28.0,31.5,34.5,37.5,41.5,41.0
Mohammed Kudus,WHU,M,0.0,0.0,0.0,1.0,4.0,6.0,11.0,24.5,26.0,24.5,48.0,51.5,76.5
Christian Eriksen,MUN,M,0.0,3.0,19.0,32.5,35.0,35.0,39.0,43.0,44.0,47.0,52.5,52.5,52.5
Jacob Ramsey,AVL,M,0.0,0.0,0.0,0.0,0.0,3.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5
Manor Solomon,TOT,F,0.0,1.0,1.0,29.0,41.5,43.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
Alex Moreno,AVL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Mee,BRF,D,0.0,0.0,0.0,1.75,4.0,4.0,4.0,4.0,4.0,4.0,4.5,5.5,15.5
Ivan Toney,BRF,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Brownhill,BUR,M,0.0,0.0,0.0,11.5,15.5,24.0,29.0,35.0,36.0,42.0,53.0,67.0,70.0
Gustavo Hamer,SHU,M,0.0,13.5,18.0,28.0,46.5,49.0,58.0,63.0,64.5,70.0,71.0,79.0,81.0
Malo Gusto,CHE,D,0.0,2.5,30.0,32.0,42.5,38.5,38.5,38.5,37.0,37.0,35.25,34.5,34.5
Marcus Tavernier,BOU,M,0.0,0.0,0.0,8.0,17.5,27.0,30.5,39.5,45.0,54.5,54.5,65.0,102.5
Joao Palhinha,FUL,M,0.0,-1.0,13.5,13.5,18.0,22.5,24.0,31.0,41.5,65.0,70.0,70.0,70.0
Julio Enciso,BHA,F,0.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
Cole Palmer,CHE,M,0.0,0.0,0.0,4.0,9.0,11.0,22.0,41.5,55.0,65.0,91.0,105.5,111.0
Callum Hudson-Odoi,NOT,F,0.0,0.0,0.0,0.0,22.0,23.0,26.0,29.0,29.0,29.0,29.0,29.0,40.0
Timothy Castagne,FUL,D,0.0,0.0,0.0,-2.0,12.0,26.5,24.0,30.5,34.75,34.75,37.5,39.5,49.0
Sean Longstaff,NEW,M,0.0,1.0,8.0,18.0,24.0,42.5,51.5,48.5,59.0,60.5,62.0,64.0,64.0
Fabio Vieira,ARS,M,0.0,0.0,18.5,26.5,32.5,32.5,35.5,35.5,35.5,48.5,48.0,41.0,41.0
Beto,EVE,F,0.0,0.0,0.0,9.0,11.0,19.5,23.0,24.5,30.5,30.5,30.5,33.0,33.0
Nicolo Zaniolo,AVL,M,0.0,0.0,2.0,6.5,10.0,16.0,17.5,17.0,19.5,21.0,22.0,22.0,22.0
Sofyan Amrabat,MUN,M,0.0,0.0,0.0,0.0,0.0,0.0,3.5,9.0,14.0,14.0,14.0,14.0,14.0
Ryan Gravenberch,LIV,M,0.0,0.0,0.0,0.0,2.0,3.0,2.5,7.0,15.0,18.0,28.5,28.5,31.5
Sergio Reguilon,MUN,D,0.0,0.0,0.0,0.0,0.25,5.25,5.25,5.25,5.25,3.25,3.25,17.25,17.25
Joseph Gomez,LIV,D,0.0,1.25,7.75,20.0,24.25,32.5,34.5,36.5,38.5,38.5,51.25,51.25,51.25
Jack Harrison,EVE,M,0.0,0.0,0.0,0.0,0.0,0.0,7.0,30.5,32.0,43.5,43.5,55.5,61.5
Noni Madueke,CHE,F,0.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.5,6.5,6.5,6.5,7.5
Elliot Anderson,NEW,M,0.0,6.0,6.5,8.0,15.0,34.0,42.0,46.5,46.0,46.0,46.0,46.0,46.0
Marc Cucurella,CHE,D,0.0,0.0,0.0,0.0,0.0,0.0,8.5,13.75,13.75,21.25,30.25,27.75,25.25
Dango Ouattara,BOU,F,0.0,0.0,0.0,0.0,6.0,10.0,12.0,15.5,19.5,18.5,18.5,22.5,22.5
Joe Willock,NEW,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.5,12.5,12.5
Hamed Traore,BOU,M,0.0,7.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Emiliano Buendia,AVL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel Matip,LIV,D,0.0,0.0,1.5,14.0,18.75,24.5,25.0,28.5,35.0,35.0,35.0,47.75,49.5
Oliver McBurnie,SHU,F,0.0,0.0,3.0,20.0,22.0,22.0,25.0,30.5,49.0,49.0,49.0,49.0,66.0
Rodrigo Bentancur,TOT,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.5
Joao Cancelo,MCI,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felipe,NOT,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lewis Hall,NEW,D,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,9.0
Matt Doherty,WOL,D,0.0,0.0,0.0,0.0,-0.5,-0.25,2.0,2.25,17.5,17.5,17.5,16.5,17.25
Aaron Ramsey,BUR,M,0.0,0.0,0.0,0.0,0.0,9.0,8.0,9.5,9.5,9.5,9.5,9.5,9.5
Edson Alvarez,WHU,M,0.0,1.5,4.5,12.0,9.0,14.0,16.5,20.0,30.5,31.0,31.0,32.5,36.5
Pierre-Emile Hojbjerg,TOT,M,0.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,5.5,7.0,11.0,15.0,19.5
Tariq Lamptey,BHA,D,0.0,0.0,0.0,-2.0,14.0,14.0,13.5,13.5,13.5,13.5,13.5,13.5,12.5
Jarrad Branthwaite,EVE,D,0.0,0.0,5.5,11.5,17.25,21.25,24.75,37.5,44.5,59.0,60.75,64.75,68.75
Anthony Martial,MUN,F,0.0,2.0,4.0,8.5,10.5,10.5,15.0,16.5,15.5,15.5,15.5,15.5,35.5
Demarai Gray,EVE,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Archer,SHU,F,0.0,-2.0,-2.0,13.5,14.0,16.5,20.5,25.5,33.0,33.0,46.5,51.5,54.5
Vitalii Mykolenko,EVE,D,0.0,0.0,0.0,0.0,4.75,11.75,21.25,33.0,39.0,55.5,73.25,93.5,88.5
Benson Manuel,BUR,F,0.0,0.0,2.5,2.5,2.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
Hannibal Mejbri,MUN,M,0.0,0.0,0.0,0.0,11.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
Benoit Badiashile,CHE,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
Ibrahim Sangare,NOT,M,0.0,0.0,0.0,0.0,8.5,7.5,12.0,16.5,17.5,24.5,28.5,36.0,36.0
Carlos Vinicius,FUL,F,0.0,0.0,0.0,0.0,10.5,10.5,15.0,23.0,24.5,24.5,26.5,24.5,22.0
Facundo Buonanotte,BHA,M,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,4.5,5.5,12.0,10.0
Emile Smith Rowe,ARS,M,0.0,0.0,0.0,0.0,0.0,2.0,5.5,5.5,6.0,19.0,19.0,19.0,19.0
Aaron Cresswell,WHU,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5
Ben Davies,TOT,D,0.0,9.75,9.75,9.75,9.75,9.75,10.75,12.0,12.0,14.5,14.5,21.25,27.5
Jean-Philippe Mateta,CRY,F,0.0,0.0,0.0,15.5,22.5,25.5,27.0,29.0,30.5,33.0,33.0,33.0,42.5
Armando Broja,CHE,F,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.5,13.5,13.5,13.5,21.5,21.5
Romeo Lavia,CHE,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross Barkley,LUT,M,0.0,0.0,1.5,13.5,13.5,13.5,13.5,13.5,14.0,24.5,34.5,41.0,40.5
Jamaal Lascelles,NEW,D,0.0,0.0,0.0,0.25,0.25,0.25,12.5,15.25,30.75,30.0,43.5,47.0,58.25
James Mcatee,SHU,M,0.0,0.0,0.0,0.0,6.5,11.5,10.0,12.0,30.5,33.0,44.5,49.0,48.5
Jayden Bogle,SHU,D,0.0,0.0,12.0,12.0,21.25,20.25,18.0,23.5,27.0,20.75,22.25,33.0,30.25
Chiedozie Ogbene,LUT,F,0.0,0.0,0.0,2.5,3.5,13.0,16.5,23.5,41.5,44.5,52.5,60.5,73.5
Tyler Adams,BOU,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Sinisterra,BOU,F,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.5,12.5,12.5,24.5,33.0,36.0
Giovani Lo Celso,TOT,M,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,6.0,26.0
Johann Gudmundsson,BUR,M,0.0,0.0,14.5,17.0,19.0,19.0,19.0,19.0,19.0,24.5,39.0,45.5,61.0
Adam Webster,BHA,D,0.0,3.5,3.25,3.25,3.25,6.5,1.0,1.0,1.0,8.75,8.75,8.5,8.5
Jean-Ricner Bellegarde,WOL,M,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,14.0,20.5,34.5
Jhon Duran,AVL,F,0.0,15.5,15.5,15.0,27.5,27.0,25.5,25.5,25.5,25.5,25.5,25.5,26.0
Jonny Evans,MUN,D,0.0,0.0,0.0,-2.5,-2.5,18.5,18.5,25.0,27.25,22.25,34.5,34.5,34.5
Wataru Endo,LIV,M,0.0,2.0,2.5,2.5,2.5,3.0,2.5,2.5,2.5,2.5,2.5,4.5,2.5
Valentino Livramento,NEW,D,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.5,1.5,3.5,4.25,10.75
Adama Traore,FUL,F,0.0,0.5,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5.0,5.0
Matheus Franca,CRY,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,8.0,8.0,8.0
Thiago Alcantara,LIV,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Maguire,MUN,D,0.0,0.0,0.0,-3.0,-3.0,-3.0,-1.0,11.0,19.5,17.5,35.75,50.5,65.5
Reiss Nelson,ARS,F,0.0,0.0,0.0,1.0,1.0,3.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
Tahith Chong,LUT,M,0.0,0.0,3.5,3.5,3.5,3.5,3.5,8.5,11.5,12.5,24.5,25.0,26.0
Charlie Taylor,BUR,D,0.0,0.0,0.0,0.0,2.75,7.25,4.0,0.0,-2.25,5.25,7.5,12.0,14.25
Divock Origi,NOT,F,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,-0.5,-0.5,-0.5,-0.5,1.5,1.5
Jorginho,ARS,M,0.0,1.0,2.0,2.5,2.5,3.5,3.5,3.0,6.5,6.5,8.5,12.5,12.5
Reece Burke,LUT,D,0.0,0.0,-2.75,2.0,9.25,11.0,16.5,23.25,32.25,32.25,32.25,32.25,32.25
Wesley Fofana,CHE,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuno Tavares,NOT,D,0.0,0.0,0.0,0.5,1.75,-3.25,-3.25,-3.25,-3.25,-3.25,-3.25,-3.25,-3.25
Gonzalo Montiel,NOT,D,0.0,0.0,0.0,0.25,-1.5,3.5,3.5,5.25,5.25,5.25,5.25,5.25,5.25
Nicolas Dominguez,NOT,M,0.0,0.0,0.0,0.0,0.0,4.0,20.5,25.0,30.5,31.0,38.0,40.5,47.0
Vinicius de Souza Costa,SHU,M,0.0,9.5,12.0,14.5,22.5,26.0,31.5,35.5,37.5,44.5,48.0,51.0,53.0
Carlos Baleba,BHA,M,0.0,0.0,0.0,0.0,0.0,1.5,1.5,7.0,14.0,17.5,17.5,16.5,17.0
Konstantinos Tsimikas,LIV,D,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.25,22.75,25.75,56.5,58.25
Romelu Lukaku,CHE,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lewis Cook,BOU,M,0.0,0.0,5.0,5.5,21.0,27.0,32.5,38.0,35.0,35.0,35.0,46.5,57.5
Folarin Balogun,ARS,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will Hughes,CRY,M,0.0,0.0,0.0,1.5,8.0,18.0,20.0,21.0,27.0,35.0,37.5,39.5,40.0
Jakub Kiwior,ARS,D,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,9.75,9.75,9.75,9.75
Kalvin Phillips,MCI,M,0.0,0.0,0.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0
Mike Tresor,BUR,F,0.0,0.0,0.0,0.0,2.0,4.5,4.5,6.0,10.0,10.0,10.0,10.0,10.0
Kieran Tierney,ARS,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Dier,TOT,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.25,-4.0,-4.0
Keane Lewis-Potter,BRF,F,0.0,2.0,2.0,3.0,7.0,7.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
Andrey Santos,NOT,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Podence,WOL,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason Greenwood,MUN,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Wood,NOT,F,0.0,11.0,16.0,16.0,15.5,17.5,17.5,20.0,52.0,52.0,52.0,54.0,61.0
Jarell Quansah,LIV,D,0.0,0.0,0.0,1.25,7.5,7.5,7.5,7.5,7.5,7.5,7.5,9.75,9.75
Calvin Bassey,FUL,D,0.0,-1.5,-9.0,-9.0,-9.0,-9.0,-9.0,-7.0,-7.5,-3.0,5.0,6.75,8.75
Konstantinos Mavropanos,WHU,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.75,-4.75,-4.75
Alex Scott,BOU,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,8.0,10.0,10.0,10.0
Dele Alli,EVE,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clement Lenglet,AVL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kobbie Mainoo,MUN,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
Amad Diallo,MUN,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefan Bajcetic,LIV,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Divin Mubama,WHU,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jack Hinshelwood,BHA,M,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,9.5
Sergio Gomez,MCI,D,0.0,0.0,0.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Matt Targett,NEW,D,0.0,0.0,-2.0,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
Luke Thomas,SHU,D,0.0,0.0,0.0,3.25,2.25,-7.0,-1.5,-1.75,-4.0,-10.5,-7.0,-5.0,-7.0
Ben Doak,LIV,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyrell Malacia,MUN,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanguy Ndombele,TOT,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tosin Adarabioyo,FUL,D,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
Nathan Redmond,BUR,M,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,5.5,5.5,8.0,8.0,8.0
Albert Sambi Lokonga,LUT,M,0.0,0.0,0.0,0.0,1.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Adam Lallana,BHA,M,0.0,2.0,4.0,2.0,6.5,6.5,6.5,6.5,6.5,11.0,11.5,13.0,12.0
Moussa Niakhate,NOT,D,0.0,1.0,2.0,2.0,2.0,0.25,-2.25,-2.25,-2.25,-8.0,7.0,3.75,-1.0
Fred,MUN,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevoh Chalobah,CHE,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Clark,LUT,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
Maxwel Cornet,WHU,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Murillo,NOT,M,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.5,20.5,28.5,32.0,33.5,41.0
Ryan Sessegnon,TOT,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lloyd Kelly,BOU,D,0.0,0.0,-1.75,-1.75,12.25,16.25,16.25,16.25,15.25,19.5,10.75,18.75,26.75
Maximo Perrone,MCI,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Igor Julio dos Santos de Paulo,BHA,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,-0.75,2.5,2.5,6.75,6.75
Rhian Brewster,SHU,F,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.5,5.5,5.5,5.5,5.5
Alejo Veliz,TOT,F,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.5,-2.5,-2.5,-2.5,-2.5
Conor Bradley,LIV,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay Rodriguez,BUR,F,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,9.5,13.5,30.5
Hakim Ziyech,CHE,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hannes Delcroix,BUR,D,0.0,0.0,4.75,3.0,3.0,3.0,3.0,-0.25,-1.0,-1.0,-1.0,-1.0,-1.0
Tommy Doyle,WOL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,5.0,7.0,7.0
Marquinhos,ARS,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Naouirou Ahamada,CRY,M,0.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.5
Oscar Bobb,MCI,M,0.0,0.0,0.0,2.0,2.0,2.0,10.5,10.5,10.5,10.5,21.5,21.5,21.5
Rob Holding,CRY,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djed Spence,TOT,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Dasilva,BRF,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Dennis,NOT,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toti,WOL,D,0.0,2.25,2.25,2.25,2.25,2.5,3.75,4.25,4.25,16.25,21.0,27.5,25.75
Shola Shoretire,MUN,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Harris,FUL,M,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Boubacar Traore,WOL,M,0.0,0.0,0.0,0.5,0.5,1.5,2.5,4.5,8.5,9.0,12.5,12.5,12.5
Auston Trusty,SHU,D,0.0,0.0,0.0,0.0,-0.75,-0.75,0.5,5.25,8.0,1.75,5.5,9.75,12.0
Yasin Ayari,BHA,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Patino,ARS,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolas Pepe,ARS,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
