id,player_id,player_name,season,shotZone,goals,shots,xG,assists,key_passes,xA,npg,npxG,npxG+xA,key_passes+shots,goal_conversion_rate,assist_to_key_pass_ratio
2333,8286,Jack Robinson,2023,shotPenaltyArea,0.0,4.0,0.16708151996135712,1.0,3.0,0.2572241351008415,0.0,0.16708151996135712,0.42,7.0,0.0,0.3333333333333333
4965,6088,Orel Mangala,2023,shotPenaltyArea,0.0,3.0,0.1551572848111391,0.0,1.0,0.1651497185230255,0.0,0.1551572848111391,0.32,4.0,0.0,0.0
236,1663,Johann Berg Gudmundsson,2023,shotPenaltyArea,0.0,3.0,0.15200720075517893,1.0,8.0,0.5173168303444982,0.0,0.15200720075517893,0.67,11.0,0.0,0.125
561,10041,Yasser Larouci,2023,shotPenaltyArea,0.0,3.0,0.1500147096812725,0.0,0.0,0.0,0.0,0.1500147096812725,0.15,3.0,0.0,
811,11699,Ameen Al Dakhil,2023,shotPenaltyArea,0.0,3.0,0.14919864386320114,0.0,0.0,0.0,0.0,0.14919864386320114,0.15,3.0,0.0,
219,11926,Edson Alvarez,2023,shotPenaltyArea,0.0,3.0,0.14770299289375544,0.0,0.0,0.0,0.0,0.14770299289375544,0.15,3.0,0.0,
3852,10805,Levi Colwill,2023,shotPenaltyArea,0.0,3.0,0.14752167090773582,1.0,4.0,0.7066418901085854,0.0,0.14752167090773582,0.85,7.0,0.0,0.25
4838,11716,Pelly Ruddock Mpanzu,2023,shotPenaltyArea,0.0,2.0,0.14374680817127228,0.0,4.0,0.4923279006034136,0.0,0.14374680817127228,0.64,6.0,0.0,0.0
1311,5712,Diego Carlos,2023,shotPenaltyArea,0.0,2.0,0.1422494277358055,0.0,0.0,0.0,0.0,0.1422494277358055,0.14,2.0,0.0,
504,3203,Issa Diop,2023,shotPenaltyArea,0.0,2.0,0.13929198868572712,0.0,0.0,0.0,0.0,0.13929198868572712,0.14,2.0,0.0,
915,10140,Hugo Bueno,2023,shotPenaltyArea,0.0,2.0,0.1392747201025486,0.0,0.0,0.0,0.0,0.1392747201025486,0.14,2.0,0.0,
4863,7988,Billy Gilmour,2023,shotPenaltyArea,0.0,2.0,0.13644279539585114,0.0,5.0,1.076446197926998,0.0,0.13644279539585114,1.21,7.0,0.0,0.0
5417,12073,Teden Mengi,2023,shotPenaltyArea,0.0,1.0,0.13478615880012512,0.0,0.0,0.0,0.0,0.13478615880012512,0.13,1.0,0.0,
4498,9677,Kristoffer Ajer,2023,shotPenaltyArea,0.0,2.0,0.13046492636203766,0.0,4.0,1.120139017701149,0.0,0.13046492636203766,1.25,6.0,0.0,0.0
1704,448,Ivan Perisic,2023,shotPenaltyArea,0.0,2.0,0.13002459704875946,0.0,4.0,0.8222255632281303,0.0,0.13002459704875946,0.95,6.0,0.0,0.0
3842,9556,William Osula,2023,shotPenaltyArea,0.0,1.0,0.1259336769580841,0.0,0.0,0.0,0.0,0.1259336769580841,0.13,1.0,0.0,
4557,510,Joel Ward,2023,shotPenaltyArea,0.0,2.0,0.1256755217909813,0.0,0.0,0.0,0.0,0.1256755217909813,0.13,2.0,0.0,
4161,12033,Deivid Washington,2023,shotPenaltyArea,0.0,1.0,0.1251875013113022,0.0,0.0,0.0,0.0,0.1251875013113022,0.13,1.0,0.0,
5477,8831,Iyenoma Destiny Udogie,2023,shotPenaltyArea,0.0,1.0,0.1246885061264038,0.0,2.0,0.5099746137857437,0.0,0.1246885061264038,0.63,3.0,0.0,0.0
356,986,Danny Ings,2023,shotPenaltyArea,0.0,1.0,0.12314949184656145,0.0,0.0,0.0,0.0,0.12314949184656145,0.12,1.0,0.0,
883,8720,Jack Harrison,2023,shotPenaltyArea,0.0,2.0,0.12301909923553468,1.0,1.0,0.09566712379455566,0.0,0.12301909923553468,0.22,3.0,0.0,1.0
4753,3635,Bernardo Silva,2023,shotPenaltyArea,1.0,1.0,0.122467540204525,1.0,4.0,0.5194692946970463,1.0,0.122467540204525,0.64,5.0,1.0,0.25
2163,1823,Lucas Digne,2023,shotPenaltyArea,0.0,3.0,0.12196550890803336,1.0,17.0,1.1478166095912457,0.0,0.12196550890803336,1.27,20.0,0.0,0.058823529411764705
2127,5355,Jacob Bruun Larsen,2023,shotPenaltyArea,0.0,1.0,0.12102971971035004,0.0,2.0,0.08922180160880089,0.0,0.12102971971035004,0.21,3.0,0.0,0.0
4247,766,Jamaal Lascelles,2023,shotPenaltyArea,0.0,3.0,0.1200757445767522,0.0,0.0,0.0,0.0,0.1200757445767522,0.12,3.0,0.0,
5414,12094,Mike Tresor,2023,shotPenaltyArea,0.0,2.0,0.11973462998867036,0.0,2.0,0.06478798948228359,0.0,0.11973462998867036,0.18,4.0,0.0,0.0
4371,2182,Jefferson Lerma,2023,shotPenaltyArea,0.0,3.0,0.11771200224757196,0.0,3.0,0.6027504615485668,0.0,0.11771200224757196,0.72,6.0,0.0,0.0
2678,8090,Lloyd Kelly,2023,shotPenaltyArea,0.0,1.0,0.11604900658130646,0.0,1.0,0.02645193226635456,0.0,0.11604900658130646,0.14,2.0,0.0,0.0
1259,6986,Hamed Junior Traore,2023,shotPenaltyArea,0.0,1.0,0.11495941877365112,0.0,0.0,0.0,0.0,0.11495941877365112,0.11,1.0,0.0,
96,7714,Ben Osborn,2023,shotPenaltyArea,0.0,1.0,0.11254903674125671,0.0,2.0,0.0879497081041336,0.0,0.11254903674125671,0.2,3.0,0.0,0.0
60,2498,Aymeric Laporte,2023,shotPenaltyArea,0.0,1.0,0.11228246241807938,0.0,0.0,0.0,0.0,0.11228246241807938,0.11,1.0,0.0,
3173,6249,Davinson Sanchez,2023,shotPenaltyArea,0.0,1.0,0.11006297916173936,0.0,0.0,0.0,0.0,0.11006297916173936,0.11,1.0,0.0,
808,488,Philippe Coutinho,2023,shotPenaltyArea,0.0,1.0,0.10713136941194534,0.0,0.0,0.0,0.0,0.10713136941194534,0.11,1.0,0.0,
1748,11000,Matheus Nunes,2023,shotPenaltyArea,0.0,1.0,0.10589331388473512,1.0,2.0,0.3823447208851576,0.0,0.10589331388473512,0.49,3.0,0.0,0.5
2670,8476,Jarrad Branthwaite,2023,shotPenaltyArea,0.0,2.0,0.1050027646124363,0.0,1.0,0.06103420630097389,0.0,0.1050027646124363,0.17,3.0,0.0,0.0
1874,1791,Trent Alexander-Arnold,2023,shotPenaltyArea,0.0,2.0,0.10338314436376096,0.0,13.0,1.3298255000263453,0.0,0.10338314436376096,1.43,15.0,0.0,0.0
5244,3600,Serge Aurier,2023,shotPenaltyArea,0.0,2.0,0.1018422730267048,2.0,3.0,0.6003383882343769,0.0,0.1018422730267048,0.7,5.0,0.0,0.6666666666666666
5306,6063,Jacob Murphy,2023,shotPenaltyArea,1.0,2.0,0.0998159795999527,2.0,2.0,0.9062857329845428,1.0,0.0998159795999527,1.01,4.0,0.5,1.0
1508,6557,Louis Beyer,2023,shotPenaltyArea,0.0,1.0,0.09926188737154008,0.0,0.0,0.0,0.0,0.09926188737154008,0.1,1.0,0.0,
3655,7546,Harvey Elliott,2023,shotPenaltyArea,0.0,1.0,0.09836385399103165,1.0,3.0,0.17735913768410683,0.0,0.09836385399103165,0.28,4.0,0.0,0.3333333333333333
