id,player_id,player_name,season,situation,goals,shots,xG,assists,key_passes,xA,npg,npxG,time,npxG+xA,key_passes+shots,90s,goals_per_90,assists_per_90,xA_per_90,npxG_per_90,npxG+xA_per_90,shots_per_90,key_passes_per_90,key_passes+shots_per_90,goal_conversion_rate,assist_to_key_pass_ratio
136,6108,Rodrigo Bentancur,2023,OpenPlay,0.0,1.0,0.023269250988960263,0.0,0.0,0.0,0.0,0.023269250988960263,1.0,0.02,1.0,0.01,0.0,0.0,0.0,2.33,2.0,100.0,0.0,100.0,0.0,
5493,7688,Max Aarons,2023,OpenPlay,0.0,1.0,0.02234959602355957,0.0,4.0,0.4186268858611584,0.0,0.02234959602355957,708.0,0.44,5.0,7.87,0.0,0.0,0.05,0.0,0.06,0.13,0.51,0.64,0.0,0.0
2511,7298,Ben White,2023,OpenPlay,0.0,1.0,0.021869495511054993,0.0,8.0,0.8756176419556141,0.0,0.021869495511054993,810.0,0.9,9.0,9.0,0.0,0.0,0.1,0.0,0.1,0.11,0.89,1.0,0.0,0.0
892,12073,Teden Mengi,2023,OpenPlay,0.0,1.0,0.01999759115278721,0.0,0.0,0.0,0.0,0.01999759115278721,235.0,0.02,1.0,2.61,0.0,0.0,0.0,0.01,0.01,0.38,0.0,0.38,0.0,
2693,7931,Takehiro Tomiyasu,2023,OpenPlay,0.0,1.0,0.01956124976277351,0.0,0.0,0.0,0.0,0.01956124976277351,192.0,0.02,1.0,2.13,0.0,0.0,0.0,0.01,0.01,0.47,0.0,0.47,0.0,
3969,447,Kevin De Bruyne,2023,OpenPlay,0.0,1.0,0.01889444887638092,0.0,1.0,0.13024680316448212,0.0,0.01889444887638092,22.0,0.15,2.0,0.24,0.0,0.0,0.54,0.08,0.62,4.17,4.17,8.33,0.0,0.0
5524,9685,Mads Roerslev,2023,OpenPlay,0.0,1.0,0.017501061782240868,0.0,5.0,0.262430801987648,0.0,0.017501061782240868,231.0,0.28,6.0,2.57,0.0,0.0,0.1,0.01,0.11,0.39,1.95,2.33,0.0,0.0
5070,8226,Tariq Lamptey,2023,OpenPlay,0.0,1.0,0.01694534160196781,2.0,2.0,0.22285596281290057,0.0,0.01694534160196781,131.0,0.24,3.0,1.46,0.0,1.37,0.15,0.01,0.16,0.68,1.37,2.05,0.0,1.0
1091,9558,Hannibal Mejbri,2023,OpenPlay,1.0,1.0,0.01660188101232052,0.0,2.0,0.2175336331129074,1.0,0.01660188101232052,113.0,0.23,3.0,1.26,0.79,0.0,0.17,0.01,0.18,0.79,1.59,2.38,1.0,0.0
588,5789,Boubacar Kamara,2023,OpenPlay,0.0,1.0,0.015626098960638046,0.0,9.0,0.5799354109913111,0.0,0.015626098960638046,779.0,0.6,10.0,8.66,0.0,0.0,0.07,0.0,0.07,0.12,1.04,1.15,0.0,0.0
5060,10050,Micky van de Ven,2023,OpenPlay,0.0,1.0,0.01540125161409378,0.0,0.0,0.0,0.0,0.01540125161409378,900.0,0.02,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,
3306,5569,Rhian Brewster,2023,OpenPlay,0.0,1.0,0.015292750671505928,0.0,1.0,0.04808845743536949,0.0,0.015292750671505928,41.0,0.06,2.0,0.46,0.0,0.0,0.1,0.03,0.13,2.17,2.17,4.35,0.0,0.0
1123,76,Fabian Schar,2023,OpenPlay,0.0,1.0,0.01249760389328003,0.0,1.0,0.09784157574176788,0.0,0.01249760389328003,810.0,0.11,2.0,9.0,0.0,0.0,0.01,0.0,0.01,0.11,0.11,0.22,0.0,0.0
731,9679,Rico Henry,2023,OpenPlay,0.0,1.0,0.0124276177957654,1.0,4.0,0.790493443608284,0.0,0.0124276177957654,401.0,0.8,5.0,4.46,0.0,0.22,0.18,0.0,0.18,0.22,0.9,1.12,0.0,0.25
37,8119,Boubacar Traore,2023,OpenPlay,0.0,1.0,0.01239711046218872,0.0,1.0,0.014712133444845676,0.0,0.01239711046218872,164.0,0.03,2.0,1.82,0.0,0.0,0.01,0.01,0.02,0.55,0.55,1.1,0.0,0.0
1256,10805,Levi Colwill,2023,OpenPlay,0.0,1.0,0.011979552917182446,1.0,4.0,0.7066418901085854,0.0,0.011979552917182446,801.0,0.72,5.0,8.9,0.0,0.11,0.08,0.0,0.08,0.11,0.45,0.56,0.0,0.25
2118,6048,Lewis Dunk,2023,OpenPlay,0.0,1.0,0.008100122213363647,0.0,1.0,0.06734378635883331,0.0,0.008100122213363647,810.0,0.08,2.0,9.0,0.0,0.0,0.01,0.0,0.01,0.11,0.11,0.22,0.0,0.0
376,6888,William Saliba,2023,OpenPlay,0.0,0.0,0.0,1.0,2.0,0.08044789731502533,0.0,0.0,810.0,0.08,2.0,9.0,0.0,0.11,0.01,0.0,0.01,0.0,0.22,0.22,,0.5
3027,910,Harrison Reed,2023,OpenPlay,0.0,0.0,0.0,0.0,6.0,0.36839972995221615,0.0,0.0,503.0,0.37,6.0,5.59,0.0,0.0,0.07,0.0,0.07,0.0,1.07,1.07,,0.0
1740,884,Matt Targett,2023,OpenPlay,0.0,0.0,0.0,0.0,1.0,0.06273338198661804,0.0,0.0,78.0,0.06,1.0,0.87,0.0,0.0,0.07,0.0,0.07,0.0,1.15,1.15,,0.0
1816,5973,Kenny Tete,2023,OpenPlay,0.0,0.0,0.0,0.0,1.0,0.06621070206165314,0.0,0.0,438.0,0.07,1.0,4.87,0.0,0.0,0.01,0.0,0.01,0.0,0.21,0.21,,0.0
