minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2
87,Aleksandar Mitrovic,Fulham,0.06,0.14,Saved,10.0,Right Foot,,Aleksandar Mitrović,Take-On,Kenny Tete,Pass (Live)
88,Aleksandar Mitrovic,Fulham,0.1,,Blocked,12.0,Left Foot,,,,,
90,Idrissa Gana Gueye,Everton,0.04,,Blocked,21.0,Left Foot,Volley,Ashley Young,Pass (Live),Abdoulaye Doucouré,Pass (Live)
90,James Tarkowski,Everton,0.04,,Off Target,10.0,Head,,Alex Iwobi,Pass (Live),Idrissa Gana Gueye,Shot
90+5,Abdoulaye Doucoure,Everton,0.03,,Off Target,12.0,Head,,Amadou Onana,Fouled,Ashley Young,Pass (Dead)
90+7,Michael Keane,Everton,0.01,0.07,Saved,17.0,Head,,Jordan Pickford,Pass (Dead),Lewis Dobbin,Fouled
6,Bruno Guimaraes,Newcastle Utd,0.07,0.25,Saved,26.0,Right Foot,,Kieran Trippier,Pass (Live),Kieran Trippier,Take-On
6,Sandro Tonali,Newcastle Utd,0.22,0.9,Goal,7.0,Right Foot,Volley,Anthony Gordon,Pass (Live),Joelinton,Pass (Live)
8,Sandro Tonali,Newcastle Utd,0.42,0.68,Saved,12.0,Left Foot,,Anthony Gordon,Pass (Live),Alexander Isak,Pass (Live)
9,Moussa Diaby,Aston Villa,0.02,0.17,Saved,17.0,Left Foot,,Tyrone Mings,Pass (Live),Tyrone Mings,Interception
11,Moussa Diaby,Aston Villa,0.13,0.13,Goal,14.0,Right Foot,Volley,Ollie Watkins,Pass (Live),Douglas Luiz,Pass (Live)
16,Alexander Isak,Newcastle Utd,0.44,0.32,Goal,10.0,Right Foot,,Sven Botman,Pass (Live),Sandro Tonali,Pass (Live)
21,Tyrone Mings,Aston Villa,0.01,,Blocked,18.0,Head,,John McGinn,Pass (Dead),Ezri Konsa,Fouled
24,Ollie Watkins,Aston Villa,0.16,,Off Target,12.0,Right Foot,,Moussa Diaby,Pass (Live),Leon Bailey,Pass (Live)
35,Douglas Luiz,Aston Villa,0.11,,Off Target,8.0,Head,,Lucas Digne,Pass (Dead),Moussa Diaby,Pass (Live)
42,Moussa Diaby,Aston Villa,0.12,,Off Target,10.0,Right Foot,,Douglas Luiz,Pass (Live),Moussa Diaby,Pass (Live)
45+7,Douglas Luiz,Aston Villa,0.02,,Blocked,23.0,Right Foot,,Matty Cash,Pass (Live),,
45+10,Dan Burn,Newcastle Utd,0.16,,Off Target,5.0,Head,,Kieran Trippier,Pass (Dead),Miguel Almirón,Fouled
48,Bruno Guimaraes,Newcastle Utd,0.03,,Blocked,18.0,Right Foot,,Miguel Almirón,Pass (Live),Kieran Trippier,Pass (Live)
51,Anthony Gordon,Newcastle Utd,0.07,,Blocked,14.0,Right Foot,Volley,Sandro Tonali,Pass (Live),Miguel Almirón,Pass (Live)
52,Sven Botman,Newcastle Utd,0.07,,Off Target,10.0,Head,,Kieran Trippier,Pass (Dead),Anthony Gordon,Shot
55,Boubacar Kamara,Aston Villa,0.03,,Off Target,7.0,Head,,Lucas Digne,Pass (Dead),Douglas Luiz,Pass (Live)
58,Alexander Isak,Newcastle Utd,0.08,0.54,Goal,10.0,Right Foot,,Bruno Guimarães,Pass (Live),Bruno Guimarães,Take-On
60,Douglas Luiz,Aston Villa,0.02,,Blocked,32.0,Right Foot,,Boubacar Kamara,Pass (Live),Douglas Luiz,Pass (Live)
60,Alexander Isak,Newcastle Utd,0.25,0.3,Saved,14.0,Right Foot,,Miguel Almirón,Pass (Live),Joelinton,Pass (Live)
62,Miguel Almiron,Newcastle Utd,0.05,0.02,Saved,21.0,Left Foot,,,,,
64,Ollie Watkins,Aston Villa,0.16,0.39,Saved,14.0,Right Foot,,Ollie Watkins,Take-On,Moussa Diaby,Pass (Live)
64,Matty Cash,Aston Villa,0.7,,Off Target,9.0,Right Foot,,Ollie Watkins,Shot,,
74,Matty Cash,Aston Villa,0.02,0.57,Saved,22.0,Right Foot,,Pau Torres,Pass (Live),Boubacar Kamara,Pass (Live)
75,Diego Carlos,Aston Villa,0.06,,Off Target,10.0,Head,,Lucas Digne,Pass (Dead),Matty Cash,Shot
77,Callum Wilson,Newcastle Utd,0.47,0.78,Goal,10.0,Right Foot,,Harvey Barnes,Pass (Live),Sandro Tonali,Pass (Live)
80,Callum Wilson,Newcastle Utd,0.02,0.04,Saved,11.0,Right Foot,,Dan Burn,Pass (Live),Joelinton,Pass (Live)
81,Callum Wilson,Newcastle Utd,0.39,0.81,Saved,9.0,Right Foot,,Harvey Barnes,Pass (Live),Joelinton,Pass (Live)
82,Joelinton,Newcastle Utd,0.12,,Blocked,4.0,Head,Deflected,Kieran Trippier,Pass (Dead),Callum Wilson,Shot
90,Philippe Coutinho,Aston Villa,0.08,,Off Target,11.0,Right Foot,,Youri Tielemans,Pass (Live),Lucas Digne,Pass (Live)
90+1,Harvey Barnes,Newcastle Utd,0.53,0.95,Goal,10.0,Right Foot,,Jacob Murphy,Pass (Live),Jacob Murphy,Take-On
