minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2
60,Jordan Ayew,Crystal Palace,0.01,,Blocked,28.0,Right Foot,,Jefferson Lerma,Pass (Live),Jefferson Lerma,Pass (Live)
63,Jefferson Lerma,Crystal Palace,0.07,,Off Target,17.0,Right Foot,Volley,Chris Richards,Pass (Live),Michael Olise,Pass (Dead)
73,Odsonne Edouard,Crystal Palace,0.03,,Blocked,15.0,Right Foot,,Odsonne Édouard,Take-On,Jefferson Lerma,Pass (Live)
84,Jefferson Lerma,Crystal Palace,0.05,,Off Target,11.0,Head,,Michael Olise,Pass (Dead),,Fouled
89,Dango Ouattara,Bournemouth,0.01,,Blocked,10.0,Head,,Marcus Tavernier,Pass (Dead),Neto,Pass (Dead)
89,Marcos Senesi,Bournemouth,0.02,,Off Target,23.0,Left Foot,,Ryan Christie,Tackle,,
90+1,Jordan Ayew,Crystal Palace,0.03,,Blocked,24.0,Right Foot,,Odsonne Édouard,Pass (Live),Will Hughes,Pass (Live)
90+1,Kieffer Moore,Bournemouth,0.58,0.84,Goal,5.0,Head,,Philip Billing,Pass (Live),Marcus Tavernier,Pass (Live)
90+4,Naouirou Ahamada,Crystal Palace,0.14,,Off Target,20.0,Right Foot,,Odsonne Édouard,Pass (Live),Michael Olise,Pass (Live)
90+6,Odsonne Edouard,Crystal Palace,0.03,,Off Target,21.0,Left Foot,,Naouirou Ahamada,Pass (Live),Michael Olise,Pass (Live)
9,Raul Jimenez,Fulham,0.02,,Blocked,15.0,Right Foot,,Andreas Pereira,Pass (Live),Alex Iwobi,Pass (Live)
14,Andreas Pereira,Fulham,0.02,,Blocked,26.0,Right Foot,,Alex Iwobi,Pass (Live),João Palhinha,Pass (Live)
17,Divock Origi,Nott'ham Forest,0.03,,Off Target,28.0,Right Foot,,Nicolás Domínguez,Pass (Live),Murillo,Pass (Live)
21,Raul Jimenez,Fulham,0.02,0.02,Saved,14.0,Right Foot,,Tom Cairney,Pass (Live),Tom Cairney,Pass (Live)
26,Andreas Pereira,Fulham,0.07,,Woodwork,29.0,Right Foot,Free kick,Andreas Pereira,Fouled,Raúl Jiménez,Pass (Live)
30,Alex Iwobi,Fulham,0.41,0.88,Goal,6.0,Right Foot,Volley,Willian,Pass (Live),Tom Cairney,Pass (Live)
33,Murillo,Nott'ham Forest,0.04,,Off Target,14.0,Left Foot,,,,,
34,Raul Jimenez,Fulham,0.46,0.94,Goal,11.0,Right Foot,,Andreas Pereira,Pass (Live),Alex Iwobi,Pass (Live)
40,Raul Jimenez,Fulham,0.07,,Blocked,9.0,Left Foot,Volley,Andreas Pereira,Pass (Dead),Willian,Pass (Live)
45+3,Alex Iwobi,Fulham,0.06,,Off Target,22.0,Right Foot,,Raúl Jiménez,Pass (Live),Alex Iwobi,Pass (Live)
54,Raul Jimenez,Fulham,0.04,,Off Target,17.0,Right Foot,,Willian,Pass (Live),Tom Cairney,Pass (Live)
54,Raul Jimenez,Fulham,0.84,0.8,Goal,8.0,Right Foot,,Raúl Jiménez,Take-On,Andreas Pereira,Pass (Live)
68,Chris Wood,Nott'ham Forest,0.12,,Off Target,5.0,Right Foot,,Ola Aina,Pass (Live),Orel Mangala,Pass (Live)
74,Alex Iwobi,Fulham,0.14,0.31,Goal,13.0,Right Foot,Volley,Harry Wilson,Pass (Live),Tom Cairney,Pass (Live)
81,Anthony Elanga,Nott'ham Forest,0.07,0.04,Saved,13.0,Left Foot,,,,,
86,Tom Cairney,Fulham,0.27,0.45,Goal,15.0,Left Foot,,Andreas Pereira,Pass (Live),Tom Cairney,Pass (Live)
90+5,Harry Wilson,Fulham,0.07,,Blocked,26.0,Left Foot,,Tom Cairney,Pass (Live),Bobby Reid,Pass (Live)
90+5,Sasa Lukic,Fulham,0.02,,Off Target,31.0,Left Foot,,Harry Wilson,Shot,,
3.0,Bruno Fernandes,Manchester Utd,0.05,,Off Target,26.0,Right Foot,,Diogo Dalot,Pass (Live),Diogo Dalot,Take-On
3.0,Rasmus Hojlund,Manchester Utd,0.04,0.06,Saved,15.0,Left Foot,,Luke Shaw,Pass (Live),Bruno Fernandes,Pass (Live)
4.0,Victor Lindelof,Manchester Utd,0.02,,Off Target,7.0,Head,,Luke Shaw,Pass (Dead),Rasmus Højlund,Shot
9.0,Bruno Fernandes (pen),Manchester Utd,0.79,0.96,Saved,13.0,Right Foot,,Antony,Fouled,Rasmus Højlund,Pass (Live)
9.0,Alejandro Garnacho,Manchester Utd,0.08,,Off Target,14.0,Left Foot,,Bruno Fernandes,Shot,,
12.0,Mykhailo Mudryk,Chelsea,0.18,,Woodwork,6.0,Left Foot,,Nicolas Jackson,Pass (Live),Cole Palmer,Interception
13.0,Alejandro Garnacho,Manchester Utd,0.18,0.21,Saved,13.0,Left Foot,,Bruno Fernandes,Pass (Live),Rasmus Højlund,Pass (Live)
15.0,Antony,Manchester Utd,0.08,0.18,Saved,21.0,Left Foot,,Sofyan Amrabat,Pass (Live),,
18.0,Enzo Fernandez,Chelsea,0.03,0.02,Saved,30.0,Left Foot,,Cole Palmer,Pass (Live),Marc Cucurella,Pass (Live)
18.0,Alejandro Garnacho,Manchester Utd,0.1,,Off Target,6.0,Right Foot,Volley,Bruno Fernandes,Pass (Live),Diogo Dalot,Pass (Live)
18.0,Antony,Manchester Utd,0.18,,Blocked,5.0,Left Foot,,Alejandro Garnacho,Shot,,
19.0,Harry Maguire,Manchester Utd,0.29,,Blocked,12.0,Right Foot,,Alejandro Garnacho,Pass (Live),Bruno Fernandes,Pass (Live)
19.0,Scott McTominay,Manchester Utd,0.1,0.2,Goal,12.0,Left Foot,,Harry Maguire,Shot,,
28.0,Alejandro Garnacho,Manchester Utd,0.05,,Off Target,12.0,Left Foot,,Diogo Dalot,Pass (Live),Scott McTominay,Pass (Live)
31.0,Scott McTominay,Manchester Utd,0.06,,Blocked,23.0,Right Foot,,Antony,Pass (Live),,
32.0,Scott McTominay,Manchester Utd,0.32,0.16,Saved,9.0,Head,,Bruno Fernandes,Pass (Live),Sofyan Amrabat,Pass (Live)
32.0,Scott McTominay,Manchester Utd,0.86,0.96,Saved,4.0,Right Foot,,Scott McTominay,Shot,,
33.0,Nicolas Jackson,Chelsea,0.12,0.14,Saved,12.0,Right Foot,,Raheem Sterling,Pass (Live),Axel Disasi,Pass (Live)
36.0,Mykhailo Mudryk,Chelsea,0.06,,Off Target,16.0,Right Foot,,Nicolas Jackson,Pass (Live),Marc Cucurella,Pass (Dead)
37.0,Alejandro Garnacho,Manchester Utd,0.03,,Blocked,22.0,Right Foot,,Rasmus Højlund,Pass (Live),Rasmus Højlund,Take-On
42.0,Bruno Fernandes,Manchester Utd,0.04,,Blocked,32.0,Right Foot,Free kick,Rasmus Højlund,Fouled,Sofyan Amrabat,Pass (Live)
43.0,Bruno Fernandes,Manchester Utd,0.02,,Off Target,29.0,Right Foot,,Diogo Dalot,Pass (Live),Luke Shaw,Pass (Dead)
45.0,Cole Palmer,Chelsea,0.07,0.48,Goal,17.0,Left Foot,,Mykhailo Mudryk,Pass (Live),Thiago Silva,Pass (Live)
49.0,Levi Colwill,Chelsea,0.02,,Off Target,12.0,Head,,Mykhailo Mudryk,Pass (Dead),Cole Palmer,Pass (Live)
49.0,Nicolas Jackson,Chelsea,0.25,,Off Target,4.0,Head,,Levi Colwill,Shot,,
52.0,Mykhailo Mudryk,Chelsea,0.1,,Blocked,22.0,Right Foot,,Cole Palmer,Pass (Live),,
55.0,Alejandro Garnacho,Manchester Utd,0.04,,Off Target,16.0,Right Foot,,Sergio Reguilón,Pass (Live),Alejandro Garnacho,Pass (Live)
61.0,Antony,Manchester Utd,0.06,,Blocked,22.0,Left Foot,,Bruno Fernandes,Pass (Live),Alejandro Garnacho,Pass (Live)
61.0,Luke Shaw,Manchester Utd,0.03,,Off Target,16.0,Right Foot,,Alejandro Garnacho,Pass (Live),Bruno Fernandes,Pass (Dead)
63.0,Bruno Fernandes,Manchester Utd,0.02,,Blocked,15.0,Left Foot,,Bruno Fernandes,Take-On,Alejandro Garnacho,Pass (Live)
64.0,Scott McTominay,Manchester Utd,0.05,0.1,Saved,10.0,Head,,Luke Shaw,Pass (Dead),Bruno Fernandes,Shot
69.0,Antony,Manchester Utd,0.03,,Off Target,24.0,Left Foot,,Bruno Fernandes,Pass (Live),Antony,Pass (Live)
69.0,Scott McTominay,Manchester Utd,0.41,0.48,Goal,4.0,Head,,Alejandro Garnacho,Pass (Live),Sergio Reguilón,Pass (Live)
72.0,Scott McTominay,Manchester Utd,0.25,,Off Target,14.0,Left Foot,,Antony,Pass (Live),,
74.0,Alejandro Garnacho,Manchester Utd,0.12,,Blocked,10.0,Left Foot,,,,,
80.0,Alejandro Garnacho,Manchester Utd,0.22,,Off Target,9.0,Left Foot,,Sergio Reguilón,Pass (Live),Bruno Fernandes,Pass (Live)
83.0,Enzo Fernandez,Chelsea,0.01,,Blocked,30.0,Right Foot,,Reece James,Pass (Dead),Raheem Sterling,Fouled
85.0,Levi Colwill,Chelsea,0.03,,Blocked,18.0,Left Foot,,Raheem Sterling,Pass (Live),Reece James,Pass (Live)
85.0,Enzo Fernandez,Chelsea,0.58,,Off Target,5.0,Right Foot,,Levi Colwill,Shot,,
89.0,Reece James,Chelsea,0.02,,Off Target,15.0,Right Foot,Volley,Thiago Silva,Pass (Live),Moisés Caicedo,Pass (Live)
90.0,Armando Broja,Chelsea,0.06,,Woodwork,7.0,Head,,Reece James,Pass (Live),Cole Palmer,Pass (Live)
10,Mohamed Salah,Liverpool,0.14,,Off Target,14.0,Left Foot,Volley,Luis Díaz,Pass (Live),Wataru Endo,Pass (Live)
11,Mohamed Salah,Liverpool,0.02,,Blocked,28.0,Left Foot,,,,,
12,James Mcatee,Sheffield Utd,0.38,0.42,Saved,10.0,Left Foot,,Cameron Archer,Tackle,,
18,Cameron Archer,Sheffield Utd,0.07,,Blocked,14.0,Right Foot,,William Osula,Pass (Live),Cameron Archer,Pass (Live)
21,Virgil van Dijk,Liverpool,0.03,0.4,Saved,9.0,Other,,Trent Alexander-Arnold,Pass (Dead),Luis Díaz,Pass (Live)
23,Ibrahima Konate,Liverpool,0.06,0.35,Saved,11.0,Head,,Mohamed Salah,Pass (Live),Trent Alexander-Arnold,Pass (Live)
37,Virgil van Dijk,Liverpool,0.15,0.31,Goal,9.0,Right Foot,Volley,Trent Alexander-Arnold,Pass (Dead),,
40,Virgil van Dijk,Liverpool,0.05,,Off Target,11.0,Head,,Trent Alexander-Arnold,Pass (Dead),Trent Alexander-Arnold,Pass (Live)
42,Trent Alexander-Arnold,Liverpool,0.02,,Off Target,30.0,Right Foot,,Dominik Szoboszlai,Pass (Live),Ibrahima Konaté,Pass (Live)
45,Mohamed Salah,Liverpool,0.08,0.03,Saved,16.0,Left Foot,,Dominik Szoboszlai,Pass (Live),Cody Gakpo,Pass (Live)
45+3,James Mcatee,Sheffield Utd,0.05,,Off Target,30.0,Left Foot,Free kick,Cameron Archer,Fouled,,
45+5,Alexis Mac Allister,Liverpool,0.02,0.11,Saved,25.0,Right Foot,,Trent Alexander-Arnold,Pass (Dead),Mohamed Salah,Pass (Live)
56,Mohamed Salah,Liverpool,0.16,0.17,Saved,10.0,Right Foot,Volley,Trent Alexander-Arnold,Pass (Dead),Mohamed Salah,Pass (Live)
77,Darwin Nunez,Liverpool,0.33,0.84,Saved,14.0,Right Foot,,Trent Alexander-Arnold,Pass (Live),Dominik Szoboszlai,Pass (Live)
77,Joe Gomez,Liverpool,0.05,,Off Target,14.0,Left Foot,,Harvey Elliott,Pass (Live),Darwin Núñez,Shot
82,Harvey Elliott,Liverpool,0.01,,Blocked,32.0,Left Foot,,Trent Alexander-Arnold,Pass (Live),Dominik Szoboszlai,Pass (Live)
83,Curtis Jones,Liverpool,0.09,,Off Target,10.0,Left Foot,,Curtis Jones,Take-On,Harvey Elliott,Pass (Live)
87,Cameron Archer,Sheffield Utd,0.1,,Blocked,13.0,Right Foot,,James Mcatee,Pass (Live),James Mcatee,Take-On
89,Cameron Archer,Sheffield Utd,0.07,,Off Target,13.0,Left Foot,Volley,Gustavo Hamer,Pass (Dead),,
90+5,Dominik Szoboszlai,Liverpool,0.47,0.79,Goal,12.0,Right Foot,,Darwin Núñez,Pass (Live),,
90+7,Cameron Archer,Sheffield Utd,0.33,,Off Target,8.0,Right Foot,Volley,John Fleck,Pass (Live),James Mcatee,Pass (Live)
3,Idrissa Gana Gueye,Everton,0.08,,Blocked,16.0,Left Foot,,Ashley Young,Pass (Live),,
3,Ashley Young,Everton,0.05,,Blocked,20.0,Right Foot,Volley,Idrissa Gana Gueye,Shot,,
6,Idrissa Gana Gueye,Everton,0.05,,Blocked,26.0,Left Foot,,Séamus Coleman,Take-On,Ashley Young,Pass (Live)
7,Ashley Young,Everton,0.07,,Blocked,13.0,Right Foot,,Idrissa Gana Gueye,Shot,,
7,Jarrad Branthwaite,Everton,0.2,,Off Target,6.0,Head,,Dwight McNeil,Pass (Dead),Ashley Young,Shot
8,Jack Harrison,Everton,0.1,,Blocked,7.0,Right Foot,Volley,Dominic Calvert-Lewin,Pass (Live),,
8,James Tarkowski,Everton,0.02,,Off Target,31.0,Right Foot,,Abdoulaye Doucouré,Pass (Live),Idrissa Gana Gueye,Pass (Live)
14,Kieran Trippier,Newcastle Utd,0.06,0.35,Saved,27.0,Right Foot,Free kick,Valentino Livramento,Fouled,Anthony Gordon,Pass (Live)
17,Miguel Almiron,Newcastle Utd,0.18,0.2,Saved,13.0,Left Foot,,Joelinton,Pass (Live),Joelinton,Pass (Live)
18,Dominic Calvert-Lewin,Everton,0.25,,Off Target,8.0,Head,,Jack Harrison,Pass (Live),Ashley Young,Pass (Live)
19,Abdoulaye Doucoure,Everton,0.08,,Off Target,10.0,Head,,Ashley Young,Pass (Live),Abdoulaye Doucouré,Pass (Live)
19,Dominic Calvert-Lewin,Everton,0.19,0.31,Saved,5.0,Head,,Dwight McNeil,Pass (Live),Abdoulaye Doucouré,Shot
20,Dominic Calvert-Lewin,Everton,0.09,0.22,Saved,13.0,Right Foot,,Jack Harrison,Pass (Live),Jack Harrison,Take-On
29,Miguel Almiron,Newcastle Utd,0.02,,Off Target,20.0,Left Foot,Volley,Anthony Gordon,Fouled,Kieran Trippier,Pass (Live)
31,Dwight McNeil,Everton,0.14,,Off Target,14.0,Left Foot,,Jack Harrison,Pass (Live),Dwight McNeil,Interception
31,Bruno Guimaraes,Newcastle Utd,0.08,,Blocked,15.0,Right Foot,,Anthony Gordon,Pass (Live),Lewis Miley,Pass (Live)
36,Alexander Isak,Newcastle Utd,0.2,,Off Target,10.0,Head,,Kieran Trippier,Pass (Live),Joelinton,Pass (Live)
39,Dominic Calvert-Lewin,Everton,0.82,,Off Target,5.0,Left Foot,Volley,Jarrad Branthwaite,Pass (Live),Jordan Pickford,Pass (Dead)
50,Dominic Calvert-Lewin,Everton,0.15,0.05,Saved,6.0,Head,Deflected,Dwight McNeil,Pass (Dead),,
55,Anthony Gordon,Newcastle Utd,0.02,,Off Target,26.0,Right Foot,,Joelinton,Pass (Live),Joelinton,Take-On
58,Lewis Miley,Newcastle Utd,0.03,,Off Target,26.0,Right Foot,,Anthony Gordon,Pass (Live),Bruno Guimarães,Tackle
62,Anthony Gordon,Newcastle Utd,0.23,0.09,Saved,18.0,Right Foot,,Anthony Gordon,Tackle,,
63,Dominic Calvert-Lewin,Everton,0.07,,Off Target,5.0,Head,,Dominic Calvert-Lewin,Pass (Live),Idrissa Gana Gueye,Pass (Live)
65,Anthony Gordon,Newcastle Utd,0.07,,Off Target,29.0,Right Foot,,Alexander Isak,Pass (Live),Alexander Isak,Take-On
67,Idrissa Gana Gueye,Everton,0.07,,Off Target,24.0,Left Foot,,Abdoulaye Doucouré,Pass (Live),Dominic Calvert-Lewin,Pass (Live)
69,Fabian Schar,Newcastle Utd,0.01,,Blocked,33.0,Right Foot,,Kieran Trippier,Pass (Live),Anthony Gordon,Pass (Live)
75,Abdoulaye Doucoure,Everton,0.09,,Blocked,10.0,Head,,Ashley Young,Pass (Live),Idrissa Gana Gueye,Pass (Live)
79,Dwight McNeil,Everton,0.08,0.1,Goal,16.0,Left Foot,Deflected,,,,
82,Lewis Miley,Newcastle Utd,0.09,,Blocked,14.0,Right Foot,Volley,Valentino Livramento,Pass (Live),Bruno Guimarães,Pass (Live)
82,Miguel Almiron,Newcastle Utd,0.34,,Off Target,6.0,Head,,Lewis Miley,Shot,,
85,Jack Harrison,Everton,0.06,,Blocked,21.0,Right Foot,,James Tarkowski,Pass (Live),Jordan Pickford,Pass (Dead)
86,Abdoulaye Doucoure,Everton,0.37,0.57,Goal,14.0,Right Foot,,Jack Harrison,Pass (Live),,
90+1,Alexander Isak,Newcastle Utd,0.26,,Off Target,16.0,Right Foot,,Joelinton,Pass (Live),Joelinton,Take-On
90+6,Beto,Everton,0.33,0.56,Goal,9.0,Right Foot,,Nathan Patterson,Pass (Live),James Tarkowski,Pass (Live)
11,Cristian Romero,Tottenham,0.05,0.55,Goal,11.0,Head,,Pedro Porro,Pass (Dead),,
15,Brennan Johnson,Tottenham,0.19,,Blocked,15.0,Right Foot,,Dejan Kulusevski,Pass (Live),Pedro Porro,Pass (Live)
16,Pedro Porro,Tottenham,0.04,,Blocked,20.0,Left Foot,,Cristian Romero,Pass (Live),Dejan Kulusevski,Pass (Live)
17,Son Heung-min,Tottenham,0.1,0.03,Saved,23.0,Right Foot,,Dejan Kulusevski,Pass (Live),Ben Davies,Pass (Live)
18,Emerson Palmieri,West Ham,0.01,,Blocked,27.0,Left Foot,,Lucas Paquetá,Pass (Live),Emerson Palmieri,Pass (Live)
19,Kurt Zouma,West Ham,0.21,,Off Target,3.0,Head,,Kudus Mohammed,Pass (Live),Kudus Mohammed,Take-On
21,Giovani Lo Celso,Tottenham,0.05,,Off Target,25.0,Left Foot,,Brennan Johnson,Pass (Live),Pierre Højbjerg,Pass (Live)
22,Giovani Lo Celso,Tottenham,0.04,,Blocked,22.0,Left Foot,,Son Heung-min,Pass (Live),,
25,Kudus Mohammed,West Ham,0.02,0.19,Saved,29.0,Right Foot,Deflected,,,,
26,Pedro Porro,Tottenham,0.02,,Off Target,27.0,Right Foot,,Brennan Johnson,Pass (Live),Brennan Johnson,Take-On
35,Giovani Lo Celso,Tottenham,0.09,0.07,Saved,17.0,Left Foot,Volley,Pedro Porro,Pass (Live),Pedro Porro,Pass (Dead)
37,Brennan Johnson,Tottenham,0.13,0.04,Saved,12.0,Left Foot,,Giovani Lo Celso,Pass (Live),Ben Davies,Pass (Live)
40,Dejan Kulusevski,Tottenham,0.05,,Blocked,17.0,Left Foot,,Cristian Romero,Pass (Live),Yves Bissouma,Pass (Live)
40,Yves Bissouma,Tottenham,0.18,,Off Target,18.0,Left Foot,,Dejan Kulusevski,Shot,,
44,Lucas Paqueta,West Ham,0.09,,Off Target,9.0,Head,,Kudus Mohammed,Pass (Live),Vladimír Coufal,Pass (Live)
45+1,Brennan Johnson,Tottenham,0.04,0.03,Saved,17.0,Right Foot,,Pedro Porro,Pass (Live),Pierre Højbjerg,Pass (Live)
45+3,Cristian Romero,Tottenham,0.22,,Off Target,5.0,Head,,Pedro Porro,Pass (Dead),,
48,Pedro Porro,Tottenham,0.02,,Off Target,21.0,Right Foot,,Giovani Lo Celso,Pass (Live),Pedro Porro,Pass (Live)
52,Kudus Mohammed,West Ham,0.02,,Blocked,31.0,Left Foot,,Jarrod Bowen,Pass (Live),Lucas Paquetá,Pass (Live)
52,Jarrod Bowen,West Ham,0.49,0.88,Goal,9.0,Right Foot,,Kudus Mohammed,Shot,,
56,Lucas Paqueta,West Ham,0.05,0.3,Saved,16.0,Left Foot,,James Ward-Prowse,Pass (Live),Jarrod Bowen,Pass (Live)
58,Yves Bissouma,Tottenham,0.04,,Blocked,21.0,Right Foot,,Giovani Lo Celso,Pass (Dead),Pedro Porro,Fouled
61,Nayef Aguerd,West Ham,0.03,,Off Target,10.0,Head,,Emerson Palmieri,Pass (Live),James Ward-Prowse,Pass (Dead)
70,Richarlison,Tottenham,0.25,,Off Target,8.0,Head,,Pedro Porro,Pass (Live),Yves Bissouma,Pass (Live)
73,Pedro Porro,Tottenham,0.04,0.29,Saved,15.0,Right Foot,,Yves Bissouma,Pass (Live),Son Heung-min,Pass (Live)
73,Brennan Johnson,Tottenham,0.03,,Off Target,9.0,Right Foot,,Dejan Kulusevski,Pass (Live),Pedro Porro,Pass (Dead)
74,James Ward-Prowse,West Ham,0.18,,Woodwork,21.0,Left Foot,,,,,
74,James Ward-Prowse,West Ham,0.93,0.87,Goal,8.0,Left Foot,,James Ward-Prowse,Shot,,
77,Brennan Johnson,Tottenham,0.05,,Off Target,12.0,Right Foot,Volley,Ben Davies,Pass (Live),Yves Bissouma,Pass (Live)
87,Nayef Aguerd,West Ham,0.37,0.8,Saved,3.0,Head,,,,,
87,Pape Matar Sarr,Tottenham,0.06,,Off Target,18.0,Right Foot,,Son Heung-min,Pass (Live),Dejan Kulusevski,Pass (Live)
90+1,Pape Matar Sarr,Tottenham,0.04,,Blocked,25.0,Right Foot,,Bryan Gil,Pass (Live),Dejan Kulusevski,Pass (Live)
90+4,Pedro Porro,Tottenham,0.05,,Blocked,24.0,Right Foot,Free kick,Pedro Porro,Fouled,Pape Matar Sarr,Pass (Live)
90+5,Richarlison,Tottenham,0.04,,Off Target,11.0,Head,,Pedro Porro,Pass (Dead),Pedro Porro,Shot
1,Kai Havertz,Arsenal,0.02,,Blocked,15.0,Left Foot,,Kai Havertz,Pass (Live),Gabriel Martinelli,Pass (Live)
5,Ollie Watkins,Aston Villa,0.02,,Blocked,18.0,Right Foot,,John McGinn,Pass (Live),Ollie Watkins,Pass (Live)
6,Bukayo Saka,Arsenal,0.27,,Off Target,9.0,Right Foot,,Gabriel Martinelli,Pass (Live),Bukayo Saka,Pass (Live)
7,John McGinn,Aston Villa,0.14,0.22,Goal,9.0,Left Foot,Deflected,Leon Bailey,Pass (Live),Youri Tielemans,Pass (Live)
16,Bukayo Saka,Arsenal,0.07,,Blocked,13.0,Left Foot,,Kai Havertz,Pass (Live),Kai Havertz,Tackle
23,Lucas Digne,Aston Villa,0.05,,Blocked,29.0,Left Foot,Free kick,Youri Tielemans,Fouled,John McGinn,Pass (Live)
23,Douglas Luiz,Aston Villa,0.01,,Blocked,29.0,Left Foot,Volley,Lucas Digne,Shot,,
32,Bukayo Saka,Arsenal,0.03,0.11,Saved,15.0,Left Foot,,Martin Ødegaard,Pass (Live),Declan Rice,Pass (Live)
32,Ollie Watkins,Aston Villa,0.03,,Saved off Target,25.0,Right Foot,,Emiliano Martínez,Pass (Live),,
33,Martin Odegaard,Arsenal,0.02,,Off Target,21.0,Left Foot,,Bukayo Saka,Pass (Live),Ben White,Pass (Live)
36,Gabriel Martinelli,Arsenal,0.22,,Blocked,18.0,Right Foot,,Gabriel Dos Santos,Pass (Live),William Saliba,Pass (Live)
39,Martin Odegaard,Arsenal,0.18,0.31,Saved,14.0,Left Foot,,Gabriel Jesus,Pass (Live),Kai Havertz,Pass (Live)
42,Gabriel Jesus,Arsenal,0.04,0.35,Saved,14.0,Right Foot,,Oleksandr Zinchenko,Pass (Live),Gabriel Dos Santos,Pass (Dead)
57,William Saliba,Arsenal,0.32,,Blocked,2.0,Right Foot,Volley,Declan Rice,Pass (Live),William Saliba,Pass (Live)
58,Martin Odegaard,Arsenal,0.12,,Off Target,16.0,Left Foot,,Kai Havertz,Pass (Live),Oleksandr Zinchenko,Pass (Live)
61,Lucas Digne,Aston Villa,0.04,0.08,Saved,15.0,Left Foot,,Moussa Diaby,Pass (Live),John McGinn,Pass (Live)
68,Ollie Watkins,Aston Villa,0.15,0.07,Saved,17.0,Right Foot,,Moussa Diaby,Pass (Live),John McGinn,Pass (Live)
71,Declan Rice,Arsenal,0.07,,Blocked,25.0,Right Foot,Free kick,Martin Ødegaard,Fouled,Bukayo Saka,Pass (Live)
76,Matty Cash,Aston Villa,0.02,,Off Target,32.0,Right Foot,,,,,
90+5,John McGinn,Aston Villa,0.08,,Blocked,10.0,Left Foot,,Douglas Luiz,Pass (Live),,
90+5,Leander Dendoncker,Aston Villa,0.03,,Blocked,23.0,Left Foot,,Jacob Ramsey,Tackle,,
90+8,Eddie Nketiah,Arsenal,0.05,,Off Target,16.0,Head,,Declan Rice,Pass (Live),Martin Ødegaard,Pass (Live)
8,Wilson Odobert,Burnley,0.06,,Blocked,14.0,Left Foot,,Zeki Amdouni,Pass (Live),Sander Berge,Pass (Live)
10,Johann Berg Gudmundsson,Burnley,0.04,,Off Target,17.0,Left Foot,,Sander Berge,Pass (Live),Dara O'Shea,Pass (Live)
15,Pascal Gross,Brighton,0.03,,Blocked,28.0,Right Foot,Free kick,Evan Ferguson,Fouled,Evan Ferguson,Tackle
15,Joao Pedro,Brighton,0.01,0.08,Saved,14.0,Head,,Carlos Baleba,Pass (Live),Pascal Groß,Shot
19,Zeki Amdouni,Burnley,0.08,0.02,Saved,17.0,Left Foot,,Jóhann Berg Guðmundsson,Pass (Live),Zeki Amdouni,Pass (Live)
20,Adam Lallana,Brighton,0.04,,Off Target,16.0,Left Foot,,Lewis Dunk,Pass (Live),Mahmoud Dahoud,Pass (Live)
25,Pascal Gross,Brighton,0.12,,Off Target,8.0,Head,,James Milner,Pass (Live),João Pedro,Pass (Live)
28,Pascal Gross,Brighton,0.1,0.35,Saved,12.0,Right Foot,,Simon Adingra,Pass (Live),João Pedro,Pass (Live)
30,Simon Adingra,Brighton,0.11,,Blocked,15.0,Left Foot,,Adam Lallana,Pass (Live),Pascal Groß,Pass (Live)
34,James Milner,Brighton,0.04,0.21,Saved,18.0,Right Foot,,Evan Ferguson,Pass (Live),,
35,Jan Paul van Hecke,Brighton,0.08,,Off Target,11.0,Head,,Simon Adingra,Pass (Live),Pascal Groß,Interception
36,Mahmoud Dahoud,Brighton,0.08,,Off Target,24.0,Right Foot,,Pascal Groß,Pass (Live),Adam Lallana,Pass (Live)
40,Mahmoud Dahoud,Brighton,0.03,,Off Target,29.0,Right Foot,,James Milner,Pass (Live),João Pedro,Pass (Live)
45,Wilson Odobert,Burnley,0.05,0.2,Goal,22.0,Right Foot,Deflected,Jay Rodriguez,Pass (Live),Sander Berge,Pass (Live)
48,Billy Gilmour,Brighton,0.04,,Blocked,26.0,Right Foot,,Kaoru Mitoma,Pass (Live),João Pedro,Pass (Live)
49,Jay Rodriguez,Burnley,0.29,0.88,Saved,3.0,Left Foot,,Wilson Odobert,Take-On,Josh Brownhill,Pass (Live)
49,Jay Rodriguez,Burnley,0.08,,Blocked,5.0,Right Foot,,Jay Rodriguez,Shot,,
56,Joao Pedro,Brighton,0.06,,Blocked,14.0,Right Foot,,James Milner,Pass (Live),Jan Paul van Hecke,Pass (Live)
63,Kaoru Mitoma,Brighton,0.05,,Off Target,18.0,Right Foot,,Simon Adingra,Pass (Live),Simon Adingra,Pass (Live)
64,Evan Ferguson,Brighton,0.1,,Off Target,9.0,Head,,Jan Paul van Hecke,Pass (Live),Billy Gilmour,Pass (Live)
70,Joao Pedro,Brighton,0.25,0.09,Saved,8.0,Head,,Kaoru Mitoma,Pass (Live),João Pedro,Pass (Live)
74,Simon Adingra,Brighton,0.17,0.61,Saved,5.0,Right Foot,Volley,João Pedro,Pass (Live),Pascal Groß,Pass (Live)
74,Joao Pedro,Brighton,0.04,,Off Target,8.0,Head,,Pascal Groß,Pass (Dead),Simon Adingra,Shot
77,Kaoru Mitoma,Brighton,0.04,,Blocked,15.0,Right Foot,,Lewis Dunk,Pass (Live),Jan Paul van Hecke,Pass (Live)
77,Simon Adingra,Brighton,0.34,0.87,Goal,6.0,Head,,Pascal Groß,Pass (Live),Igor,Pass (Live)
