minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1.1,SCA 2,SCA 2.1,game_id,home_team,away_team
67,Diogo Jota,Liverpool,0.1,0.07,Saved,7.0,Left Foot,,Diogo Jota,Take-On,Wataru Endo,Tackle,80bebdbb,Liverpool,Bournemouth
70,Kieffer Moore,Bournemouth,0.23,,Off Target,13.0,Right Foot,,Antoine Semenyo,Pass (Live),Antoine Semenyo,Take-On,80bebdbb,Liverpool,Bournemouth
72,Virgil van Dijk,Liverpool,0.02,0.49,Saved,53.0,Right Foot,Free kick,Luis Diaz,Fouled,Ibrahima Konate,Pass (Live),80bebdbb,Liverpool,Bournemouth
74,Max Aarons,Bournemouth,0.02,,Blocked,24.0,Left Foot,,Dominic Solanke,Pass (Live),Marcos Senesi,Pass (Live),80bebdbb,Liverpool,Bournemouth
80,Dominic Solanke,Bournemouth,0.06,,Off Target,22.0,Right Foot,,Justin Kluivert,Pass (Live),Justin Kluivert,Interception,80bebdbb,Liverpool,Bournemouth
83,Mohamed Salah,Liverpool,0.08,,Off Target,22.0,Left Foot,,Virgil van Dijk,Pass (Live),Luis Diaz,Pass (Live),80bebdbb,Liverpool,Bournemouth
84,Justin Kluivert,Bournemouth,0.22,0.61,Saved,10.0,Right Foot,,David Brooks,Pass (Live),Max Aarons,Pass (Live),80bebdbb,Liverpool,Bournemouth
84,Philip Billing,Bournemouth,0.34,,Off Target,9.0,Right Foot,Volley,Justin Kluivert,Shot,,,80bebdbb,Liverpool,Bournemouth
90,Philip Billing,Bournemouth,0.06,,Off Target,28.0,Left Foot,Free kick,David Brooks,Fouled,,,80bebdbb,Liverpool,Bournemouth
90+2,Hamed Junior Traore,Bournemouth,0.02,0.04,Saved,31.0,Left Foot,,David Brooks,Pass (Live),Philip Billing,Pass (Live),80bebdbb,Liverpool,Bournemouth
90+4,Hamed Junior Traore,Bournemouth,0.13,0.32,Saved,17.0,Left Foot,,Hamed Junior Traore,Take-On,Hamed Junior Traore,Take-On,80bebdbb,Liverpool,Bournemouth
90+4,Dominic Solanke,Bournemouth,0.07,,Off Target,10.0,Head,,David Brooks,Pass (Dead),Hamed Junior Traore,Shot,80bebdbb,Liverpool,Bournemouth
1,Raul Jimenez,Fulham,0.11,,Off Target,9.0,Right Foot,,Andreas Pereira,Pass (Live),Alex Iwobi,Pass (Live),b19cc422,Fulham,Wolves
7,Alex Iwobi,Fulham,0.7,0.82,Goal,8.0,Left Foot,,Antonee Robinson,Pass (Live),Willian,Pass (Live),b19cc422,Fulham,Wolves
9,Tom Cairney,Fulham,0.05,0.01,Saved,21.0,Left Foot,,Willian,Pass (Live),Andreas Pereira,Pass (Dead),b19cc422,Fulham,Wolves
14,Hwang Hee-chan,Wolves,0.13,,Woodwork,22.0,Right Foot,,Mario Lemina,Pass (Live),,,b19cc422,Fulham,Wolves
22,Matheus Cunha,Wolves,0.13,0.67,Goal,8.0,Head,,Jean-Ricner Bellegarde,Pass (Live),Jean-Ricner Bellegarde,Take-On,b19cc422,Fulham,Wolves
29,Alex Iwobi,Fulham,0.09,,Off Target,22.0,Left Foot,,Timothy Castagne,Pass (Live),Calvin Bassey,Pass (Live),b19cc422,Fulham,Wolves
35,Tom Cairney,Fulham,0.05,,Blocked,18.0,Left Foot,,Timothy Castagne,Pass (Live),Calvin Bassey,Pass (Live),b19cc422,Fulham,Wolves
35,Antonee Robinson,Fulham,0.03,,Blocked,28.0,Left Foot,,Harrison Reed,Pass (Live),Tom Cairney,Shot,b19cc422,Fulham,Wolves
46,Matheus Cunha,Wolves,0.08,,Off Target,10.0,Head,,Matt Doherty,Pass (Live),Mario Lemina,Pass (Live),b19cc422,Fulham,Wolves
48,Mario Lemina,Wolves,0.04,,Saved off Target,24.0,Left Foot,,Matheus Cunha,Pass (Live),Hwang Hee-chan,Pass (Live),b19cc422,Fulham,Wolves
54,Max Kilman,Wolves,0.01,0.02,Saved,10.0,Head,,Joao Gomes,Pass (Dead),,,b19cc422,Fulham,Wolves
59,Willian (pen),Fulham,0.79,0.99,Goal,13.0,Right Foot,,Tom Cairney,Fouled,Tom Cairney,Pass (Live),b19cc422,Fulham,Wolves
60,Nelson Semedo,Wolves,0.03,0.1,Saved,17.0,Left Foot,,Jean-Ricner Bellegarde,Pass (Live),Jean-Ricner Bellegarde,Pass (Live),b19cc422,Fulham,Wolves
68,Alex Iwobi,Fulham,0.15,0.15,Saved,18.0,Right Foot,,Timothy Castagne,Pass (Live),Calvin Bassey,Pass (Live),b19cc422,Fulham,Wolves
72,Mario Lemina,Wolves,0.06,0.04,Saved,14.0,Right Foot,,Joao Gomes,Pass (Live),Nelson Semedo,Pass (Live),b19cc422,Fulham,Wolves
75,Hwang Hee-chan (pen),Wolves,0.79,0.93,Goal,13.0,Right Foot,,Hwang Hee-chan,Fouled,,,b19cc422,Fulham,Wolves
77,Tom Cairney,Fulham,0.04,,Off Target,26.0,Left Foot,,Timothy Castagne,Pass (Live),Harry Wilson,Pass (Live),b19cc422,Fulham,Wolves
78,Matt Doherty,Wolves,0.06,0.03,Saved,10.0,Right Foot,,,,,,b19cc422,Fulham,Wolves
79,Alex Iwobi,Fulham,0.06,0.38,Saved,27.0,Right Foot,,Willian,Pass (Live),Tom Cairney,Pass (Dead),b19cc422,Fulham,Wolves
82,Harrison Reed,Fulham,0.05,,Blocked,26.0,Right Foot,,Antonee Robinson,Pass (Live),Tom Cairney,Pass (Live),b19cc422,Fulham,Wolves
90+4,Willian (pen),Fulham,0.79,0.99,Goal,13.0,Right Foot,,Harry Wilson,Fouled,Willian,Pass (Live),b19cc422,Fulham,Wolves
90+11,Hwang Hee-chan,Wolves,0.02,,Off Target,21.0,Right Foot,Volley,Sasa Kalajdzic,Pass (Live),Mario Lemina,Pass (Live),b19cc422,Fulham,Wolves
3,Idrissa Gana Gueye,Everton,0.08,,Blocked,16.0,Left Foot,,Ashley Young,Pass (Live),,,2fe9d766,Everton,Newcastle Utd
3,Ashley Young,Everton,0.05,,Blocked,20.0,Right Foot,Volley,Idrissa Gana Gueye,Shot,,,2fe9d766,Everton,Newcastle Utd
6,Idrissa Gana Gueye,Everton,0.05,,Blocked,26.0,Left Foot,,Seamus Coleman,Take-On,Ashley Young,Pass (Live),2fe9d766,Everton,Newcastle Utd
7,Ashley Young,Everton,0.07,,Blocked,13.0,Right Foot,,Idrissa Gana Gueye,Shot,,,2fe9d766,Everton,Newcastle Utd
7,Jarrad Branthwaite,Everton,0.2,,Off Target,6.0,Head,,Dwight McNeil,Pass (Dead),Ashley Young,Shot,2fe9d766,Everton,Newcastle Utd
8,Jack Harrison,Everton,0.1,,Blocked,7.0,Right Foot,Volley,Dominic Calvert-Lewin,Pass (Live),,,2fe9d766,Everton,Newcastle Utd
8,James Tarkowski,Everton,0.02,,Off Target,31.0,Right Foot,,Abdoulaye Doucoure,Pass (Live),Idrissa Gana Gueye,Pass (Live),2fe9d766,Everton,Newcastle Utd
14,Kieran Trippier,Newcastle Utd,0.06,0.35,Saved,27.0,Right Foot,Free kick,Valentino Livramento,Fouled,Anthony Gordon,Pass (Live),2fe9d766,Everton,Newcastle Utd
17,Miguel Almiron,Newcastle Utd,0.18,0.2,Saved,13.0,Left Foot,,Joelinton,Pass (Live),Joelinton,Pass (Live),2fe9d766,Everton,Newcastle Utd
18,Dominic Calvert-Lewin,Everton,0.25,,Off Target,8.0,Head,,Jack Harrison,Pass (Live),Ashley Young,Pass (Live),2fe9d766,Everton,Newcastle Utd
19,Abdoulaye Doucoure,Everton,0.08,,Off Target,10.0,Head,,Ashley Young,Pass (Live),Abdoulaye Doucoure,Pass (Live),2fe9d766,Everton,Newcastle Utd
19,Dominic Calvert-Lewin,Everton,0.19,0.31,Saved,5.0,Head,,Dwight McNeil,Pass (Live),Abdoulaye Doucoure,Shot,2fe9d766,Everton,Newcastle Utd
20,Dominic Calvert-Lewin,Everton,0.09,0.22,Saved,13.0,Right Foot,,Jack Harrison,Pass (Live),Jack Harrison,Take-On,2fe9d766,Everton,Newcastle Utd
29,Miguel Almiron,Newcastle Utd,0.02,,Off Target,20.0,Left Foot,Volley,Anthony Gordon,Fouled,Kieran Trippier,Pass (Live),2fe9d766,Everton,Newcastle Utd
31,Dwight McNeil,Everton,0.14,,Off Target,14.0,Left Foot,,Jack Harrison,Pass (Live),Dwight McNeil,Interception,2fe9d766,Everton,Newcastle Utd
31,Bruno Guimaraes,Newcastle Utd,0.08,,Blocked,15.0,Right Foot,,Anthony Gordon,Pass (Live),Lewis Miley,Pass (Live),2fe9d766,Everton,Newcastle Utd
36,Alexander Isak,Newcastle Utd,0.2,,Off Target,10.0,Head,,Kieran Trippier,Pass (Live),Joelinton,Pass (Live),2fe9d766,Everton,Newcastle Utd
39,Dominic Calvert-Lewin,Everton,0.82,,Off Target,5.0,Left Foot,Volley,Jarrad Branthwaite,Pass (Live),Jordan Pickford,Pass (Dead),2fe9d766,Everton,Newcastle Utd
50,Dominic Calvert-Lewin,Everton,0.15,0.05,Saved,6.0,Head,Deflected,Dwight McNeil,Pass (Dead),,,2fe9d766,Everton,Newcastle Utd
55,Anthony Gordon,Newcastle Utd,0.02,,Off Target,26.0,Right Foot,,Joelinton,Pass (Live),Joelinton,Take-On,2fe9d766,Everton,Newcastle Utd
58,Lewis Miley,Newcastle Utd,0.03,,Off Target,26.0,Right Foot,,Anthony Gordon,Pass (Live),Bruno Guimaraes,Tackle,2fe9d766,Everton,Newcastle Utd
62,Anthony Gordon,Newcastle Utd,0.23,0.09,Saved,18.0,Right Foot,,Anthony Gordon,Tackle,,,2fe9d766,Everton,Newcastle Utd
63,Dominic Calvert-Lewin,Everton,0.07,,Off Target,5.0,Head,,Dominic Calvert-Lewin,Pass (Live),Idrissa Gana Gueye,Pass (Live),2fe9d766,Everton,Newcastle Utd
65,Anthony Gordon,Newcastle Utd,0.07,,Off Target,29.0,Right Foot,,Alexander Isak,Pass (Live),Alexander Isak,Take-On,2fe9d766,Everton,Newcastle Utd
67,Idrissa Gana Gueye,Everton,0.07,,Off Target,24.0,Left Foot,,Abdoulaye Doucoure,Pass (Live),Dominic Calvert-Lewin,Pass (Live),2fe9d766,Everton,Newcastle Utd
69,Fabian Schar,Newcastle Utd,0.01,,Blocked,33.0,Right Foot,,Kieran Trippier,Pass (Live),Anthony Gordon,Pass (Live),2fe9d766,Everton,Newcastle Utd
