minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2,opponent
27,Marcus Rashford,Manchester Utd,0.2,0.53,Goal,16.0,Right Foot,,Christian Eriksen,Pass (Live),Christian Eriksen,Interception,Arsenal
28,Martin Odegaard,Arsenal,0.17,0.23,Goal,16.0,Left Foot,,Gabriel Martinelli,Pass (Live),Eddie Nketiah,Pass (Live),Manchester Utd
32,Christian Eriksen,Manchester Utd,0.06,,Blocked,23.0,Right Foot,,Bruno Fernandes,Pass (Live),Diogo Dalot,Pass (Live),Arsenal
39,Marcus Rashford,Manchester Utd,0.03,,Off Target,25.0,Right Foot,,,,,,Arsenal
43,Gabriel Martinelli,Arsenal,0.03,,Blocked,14.0,Right Foot,,Bukayo Saka,Pass (Live),Martin Ødegaard,Pass (Live),Manchester Utd
45+2,Bukayo Saka,Arsenal,0.02,,Blocked,21.0,Left Foot,,Eddie Nketiah,Pass (Live),Gabriel Martinelli,Pass (Dead),Manchester Utd
45+4,Kai Havertz,Arsenal,0.09,,Off Target,4.0,Head,,Bukayo Saka,Pass (Dead),Eddie Nketiah,Pass (Live),Manchester Utd
51,Martin Odegaard,Arsenal,0.07,,Blocked,24.0,Right Foot,,Oleksandr Zinchenko,Pass (Live),Eddie Nketiah,Pass (Live),Manchester Utd
53,Eddie Nketiah,Arsenal,0.05,,Blocked,15.0,Right Foot,,Kai Havertz,Pass (Live),Gabriel Martinelli,Pass (Live),Manchester Utd
54,Anthony Martial,Manchester Utd,0.03,0.02,Saved,12.0,Left Foot,,Bruno Fernandes,Pass (Live),Christian Eriksen,Pass (Live),Arsenal
54,Marcus Rashford,Manchester Utd,0.12,,Blocked,11.0,Left Foot,,Anthony Martial,Shot,,,Arsenal
55,Diogo Dalot,Manchester Utd,0.03,,Blocked,16.0,Left Foot,,Bruno Fernandes,Pass (Live),Marcus Rashford,Pass (Live),Arsenal
63,Martin Odegaard,Arsenal,0.04,0.03,Saved,15.0,Left Foot,,Martin Ødegaard,Take-On,Eddie Nketiah,Pass (Live),Manchester Utd
68,Gabriel Martinelli,Arsenal,0.04,,Off Target,25.0,Right Foot,,Bukayo Saka,Pass (Live),Martin Ødegaard,Pass (Live),Manchester Utd
72,Rasmus Hojlund,Manchester Utd,0.33,,Blocked,5.0,Left Foot,,Marcus Rashford,Pass (Live),Marcus Rashford,Take-On,Arsenal
74,Marcus Rashford,Manchester Utd,0.05,,Blocked,12.0,Right Foot,,Bruno Fernandes,Pass (Live),Harry Maguire,Pass (Live),Arsenal
75,Antony,Manchester Utd,0.02,,Blocked,27.0,Left Foot,Deflected,Marcus Rashford,Shot,,,Arsenal
78,Marcus Rashford,Manchester Utd,0.06,,Blocked,17.0,Right Foot,,Marcus Rashford,Take-On,Christian Eriksen,Pass (Live),Arsenal
81,Bukayo Saka,Arsenal,0.41,0.26,Saved,9.0,Left Foot,,Ben White,Pass (Live),Martin Ødegaard,Pass (Live),Manchester Utd
90+6,Martin Odegaard,Arsenal,0.02,,Blocked,24.0,Left Foot,,Gabriel Jesus,Pass (Live),Bukayo Saka,Pass (Live),Manchester Utd
90+6,Declan Rice,Arsenal,0.05,0.12,Goal,14.0,Right Foot,Deflected,Bukayo Saka,Pass (Dead),Martin Ødegaard,Shot,Manchester Utd
90+11,Gabriel Jesus,Arsenal,0.76,0.96,Goal,10.0,Right Foot,,Gabriel Jesus,Take-On,Fabio Vieira,Pass (Live),Manchester Utd
7,Fabio Silva,Wolves,0.03,,Off Target,17.0,Right Foot,Volley,Mario Lemina,Pass (Live),Fábio Silva,Pass (Live),Crystal Palace
10,Joao Gomes,Wolves,0.03,,Off Target,17.0,Right Foot,,Pablo Sarabia,Pass (Live),João Gomes,Pass (Live),Crystal Palace
14,Odsonne Edouard,Crystal Palace,0.06,,Blocked,16.0,Right Foot,,Odsonne Édouard,Pass (Live),Odsonne Édouard,Take-On,Wolves
16,Jordan Ayew,Crystal Palace,0.43,,Blocked,10.0,Right Foot,,Jefferson Lerma,Pass (Live),Jefferson Lerma,Interception,Wolves
16,Odsonne Edouard,Crystal Palace,0.09,,Off Target,15.0,Right Foot,,Jordan Ayew,Shot,,,Wolves
19,Jeffrey Schlupp,Crystal Palace,0.17,0.46,Saved,8.0,Left Foot,,Jordan Ayew,Pass (Live),Odsonne Édouard,Pass (Live),Wolves
25,Odsonne Edouard,Crystal Palace,0.16,,Off Target,9.0,Head,,Jeffrey Schlupp,Pass (Live),Eberechi Eze,Pass (Live),Wolves
29,Matheus Cunha,Wolves,0.29,,Blocked,15.0,Right Foot,,Pedro Neto,Pass (Live),Mario Lemina,Pass (Live),Crystal Palace
30,Fabio Silva,Wolves,0.01,,Off Target,21.0,Right Foot,Volley,Mario Lemina,Pass (Live),Pedro Neto,Pass (Dead),Crystal Palace
34,Pedro Neto,Wolves,0.06,,Blocked,12.0,Left Foot,,Fábio Silva,Pass (Live),Rayan Aït Nouri,Pass (Live),Crystal Palace
36,Nelson Semedo,Wolves,0.02,,Off Target,29.0,Right Foot,,Mario Lemina,Pass (Live),João Gomes,Pass (Live),Crystal Palace
41,Odsonne Edouard,Crystal Palace,0.03,0.23,Saved,13.0,Left Foot,,Jefferson Lerma,Pass (Live),,,Wolves
42,Pedro Neto,Wolves,0.03,0.13,Saved,17.0,Right Foot,,Pablo Sarabia,Pass (Live),Max Kilman,Pass (Live),Crystal Palace
43,Craig Dawson,Wolves,0.19,,Off Target,10.0,Head,,Pedro Neto,Pass (Live),Nélson Semedo,Pass (Live),Crystal Palace
43,Pablo Sarabia,Wolves,0.05,,Off Target,12.0,Right Foot,Volley,Craig Dawson,Shot,,,Crystal Palace
56,Odsonne Edouard,Crystal Palace,0.23,0.94,Goal,4.0,Right Foot,Volley,Tyrick Mitchell,Pass (Live),Cheick Doucouré,Pass (Live),Wolves
65,Hwang Hee-chan,Wolves,0.06,0.18,Goal,8.0,Head,,Pedro Neto,Pass (Dead),Rayan Aït Nouri,Fouled,Crystal Palace
67,Jeffrey Schlupp,Crystal Palace,0.01,0.12,Saved,15.0,Other,,Eberechi Eze,Pass (Live),,,Wolves
72,Jefferson Lerma,Crystal Palace,0.08,0.11,Saved,8.0,Head,,Eberechi Eze,Pass (Dead),,,Wolves
73,Jordan Ayew,Crystal Palace,0.05,0.2,Saved,18.0,Right Foot,Volley,,,,,Wolves
75,Odsonne Edouard,Crystal Palace,0.03,,Off Target,15.0,Left Foot,,Eberechi Eze,Pass (Live),Tyrick Mitchell,Pass (Live),Wolves
78,Eberechi Eze,Crystal Palace,0.05,0.34,Saved,26.0,Right Foot,Free kick,Jordan Ayew,Fouled,Joachim Andersen,Pass (Live),Wolves
78,Eberechi Eze,Crystal Palace,0.5,0.92,Goal,10.0,Right Foot,,Jean-Philippe Mateta,Pass (Live),Joel Ward,Pass (Live),Wolves
84,Odsonne Edouard,Crystal Palace,0.15,0.39,Goal,16.0,Right Foot,,Jean-Philippe Mateta,Pass (Live),Odsonne Édouard,Pass (Live),Wolves
88,Pedro Neto,Wolves,0.01,0.03,Saved,27.0,Left Foot,,Nélson Semedo,Pass (Live),Hwang Hee-chan,Pass (Live),Crystal Palace
90+3,Eberechi Eze,Crystal Palace,0.08,0.18,Saved,12.0,Right Foot,,Will Hughes,Pass (Live),Tyrick Mitchell,Pass (Live),Wolves
90+3,Joel Ward,Crystal Palace,0.01,,Off Target,26.0,Right Foot,Volley,Jean-Philippe Mateta,Pass (Live),Eberechi Eze,Pass (Dead),Wolves
90+6,Matheus Cunha,Wolves,0.39,0.39,Goal,8.0,Head,,Pedro Neto,Pass (Live),Hugo Bueno,Pass (Live),Crystal Palace
3,Dominik Szoboszlai,Liverpool,0.03,0.39,Goal,20.0,Left Foot,Deflected,Trent Alexander-Arnold,Pass (Dead),,,Aston Villa
16,Luis Diaz,Liverpool,0.03,,Blocked,14.0,Right Foot,,Trent Alexander-Arnold,Pass (Live),Mohamed Salah,Pass (Live),Aston Villa
22,Darwin Nunez,Liverpool,0.32,,Woodwork,9.0,Right Foot,,Mohamed Salah,Pass (Live),Trent Alexander-Arnold,Pass (Live),Aston Villa
27,Joel Matip,Liverpool,0.3,,Off Target,10.0,Head,,Trent Alexander-Arnold,Pass (Dead),Luis Díaz,Fouled,Aston Villa
33,John McGinn,Aston Villa,0.11,,Off Target,15.0,Left Foot,,Moussa Diaby,Pass (Live),Leon Bailey,Pass (Live),Liverpool
34,Darwin Nunez,Liverpool,0.1,,Blocked,16.0,Right Foot,,Trent Alexander-Arnold,Pass (Live),Darwin Núñez,Pass (Live),Aston Villa
38,Ollie Watkins,Aston Villa,0.12,,Off Target,10.0,Left Foot,,Lucas Digne,Pass (Live),Douglas Luiz,Pass (Live),Liverpool
39,Darwin Nunez,Liverpool,0.07,,Woodwork,9.0,Right Foot,,Mohamed Salah,Pass (Live),Dominik Szoboszlai,Pass (Live),Aston Villa
42,Trent Alexander-Arnold,Liverpool,0.03,,Off Target,28.0,Right Foot,,Dominik Szoboszlai,Pass (Live),Luis Díaz,Pass (Live),Aston Villa
43,Moussa Diaby,Aston Villa,0.09,,Off Target,15.0,Left Foot,,Ollie Watkins,Pass (Live),Moussa Diaby,Pass (Live),Liverpool
45+3,Mohamed Salah,Liverpool,0.16,0.04,Saved,11.0,Left Foot,,Trent Alexander-Arnold,Pass (Live),Joël Matip,Pass (Live),Aston Villa
47,Mohamed Salah,Liverpool,0.09,,Off Target,23.0,Left Foot,,Dominik Szoboszlai,Pass (Live),Dominik Szoboszlai,Take-On,Aston Villa
48,Matty Cash,Aston Villa,0.06,0.1,Saved,7.0,Head,,Lucas Digne,Pass (Live),Boubacar Kamara,Pass (Live),Liverpool
49,Ollie Watkins,Aston Villa,0.08,,Off Target,9.0,Head,,Lucas Digne,Pass (Dead),Matty Cash,Shot,Liverpool
49,Darwin Nunez,Liverpool,0.61,,Off Target,5.0,Head,,Trent Alexander-Arnold,Pass (Live),Alisson,Pass (Dead),Aston Villa
55,Darwin Nunez,Liverpool,0.03,,Off Target,8.0,Head,,Andrew Robertson,Pass (Dead),Joël Matip,Pass (Live),Aston Villa
55,Mohamed Salah,Liverpool,0.5,0.48,Goal,3.0,Left Foot,,Darwin Núñez,Shot,,,Aston Villa
62,John McGinn,Aston Villa,0.08,0.02,Saved,12.0,Head,,Leon Bailey,Pass (Live),Douglas Luiz,Pass (Live),Liverpool
63,Pau Torres,Aston Villa,0.03,0.09,Saved,9.0,Other,,Lucas Digne,Pass (Dead),,,Liverpool
69,Trent Alexander-Arnold,Liverpool,0.03,,Off Target,29.0,Right Foot,,Joe Gomez,Pass (Live),Dominik Szoboszlai,Pass (Live),Aston Villa
72,Dominik Szoboszlai,Liverpool,0.04,,Off Target,22.0,Left Foot,,Joël Matip,Pass (Live),Andrew Robertson,Pass (Live),Aston Villa
74,Mohamed Salah,Liverpool,0.04,0.04,Saved,11.0,Right Foot,Volley,Joe Gomez,Pass (Live),Andrew Robertson,Pass (Live),Aston Villa
75,Harvey Elliott,Liverpool,0.03,,Blocked,22.0,Left Foot,,Dominik Szoboszlai,Pass (Dead),Mohamed Salah,Shot,Aston Villa
76,Jhon Duran,Aston Villa,0.02,,Off Target,21.0,Left Foot,,Nicolò Zaniolo,Pass (Live),Nicolò Zaniolo,Take-On,Liverpool
77,Jhon Duran,Aston Villa,0.06,,Off Target,15.0,Left Foot,,Boubacar Kamara,Pass (Live),John McGinn,Pass (Live),Liverpool
88,Joe Gomez,Liverpool,0.05,,Off Target,10.0,Head,,Dominik Szoboszlai,Pass (Dead),Mohamed Salah,Pass (Live),Aston Villa
18,Ollie Watkins,Aston Villa,0.16,0.49,Saved,16.0,Right Foot,,,,,,Crystal Palace
19,Lucas Digne,Aston Villa,0.03,,Off Target,17.0,Left Foot,Volley,John McGinn,Pass (Live),Douglas Luiz,Pass (Dead),Crystal Palace
19,Moussa Diaby,Aston Villa,0.06,,Blocked,22.0,Left Foot,,Nicolò Zaniolo,Pass (Live),Lucas Digne,Pass (Live),Crystal Palace
22,Nicolo Zaniolo,Aston Villa,0.03,,Blocked,13.0,Left Foot,,,,,,Crystal Palace
29,Eberechi Eze,Crystal Palace,0.03,,Off Target,14.0,Right Foot,,Jeffrey Schlupp,Pass (Live),Odsonne Édouard,Pass (Live),Aston Villa
37,Matty Cash,Aston Villa,0.45,,Off Target,10.0,Left Foot,,Nicolò Zaniolo,Pass (Live),Nicolò Zaniolo,Take-On,Crystal Palace
38,Matty Cash,Aston Villa,0.23,,Off Target,8.0,Head,,Lucas Digne,Pass (Live),Nicolò Zaniolo,Pass (Live),Crystal Palace
42,Eberechi Eze,Crystal Palace,0.03,,Blocked,24.0,Right Foot,,Odsonne Édouard,Pass (Live),Jean-Philippe Mateta,Pass (Live),Aston Villa
45+5,Moussa Diaby,Aston Villa,0.05,,Blocked,21.0,Right Foot,,Nicolò Zaniolo,Pass (Live),Matty Cash,Pass (Live),Crystal Palace
47,Odsonne Edouard,Crystal Palace,0.31,0.09,Goal,17.0,Left Foot,,Jean-Philippe Mateta,Pass (Live),Cheick Doucouré,Pass (Live),Aston Villa
62,Ollie Watkins,Aston Villa,0.19,,Off Target,7.0,Head,,Moussa Diaby,Pass (Live),Leon Bailey,Pass (Live),Crystal Palace
66,Youri Tielemans,Aston Villa,0.08,,Blocked,22.0,Right Foot,,Ollie Watkins,Pass (Live),Lucas Digne,Pass (Live),Crystal Palace
71,Joel Ward,Crystal Palace,0.45,,Off Target,6.0,Head,,Joachim Andersen,Pass (Live),Eberechi Eze,Pass (Dead),Aston Villa
72,Jhon Duran,Aston Villa,0.05,0.03,Saved,22.0,Left Foot,Volley,Douglas Luiz,Pass (Live),Leon Bailey,Take-On,Crystal Palace
76,Ollie Watkins,Aston Villa,0.19,,Blocked,15.0,Right Foot,,Ollie Watkins,Pass (Live),Lucas Digne,Pass (Live),Crystal Palace
76,Leon Bailey,Aston Villa,0.14,,Blocked,16.0,Left Foot,,Ollie Watkins,Shot,,,Crystal Palace
76,Ollie Watkins,Aston Villa,0.07,,Woodwork,16.0,Right Foot,,Leon Bailey,Shot,,,Crystal Palace
82,Eberechi Eze,Crystal Palace,0.33,0.46,Saved,10.0,Right Foot,,Cheick Doucouré,Pass (Live),Cheick Doucouré,Take-On,Aston Villa
83,Eberechi Eze,Crystal Palace,0.02,0.12,Saved,26.0,Right Foot,,Odsonne Édouard,Pass (Live),,,Aston Villa
87,Jhon Duran,Aston Villa,0.05,0.09,Goal,17.0,Left Foot,Volley,Lucas Digne,Pass (Live),Douglas Luiz,Pass (Live),Crystal Palace
90+8,Douglas Luiz (pen),Aston Villa,0.79,0.95,Goal,13.0,Right Foot,,Ollie Watkins,Fouled,Youri Tielemans,Pass (Live),Crystal Palace
90+11,Leon Bailey,Aston Villa,0.64,0.88,Goal,8.0,Left Foot,,Moussa Diaby,Pass (Live),Youri Tielemans,Pass (Live),Crystal Palace
4,Tahith Chong,Luton Town,0.05,0.2,Saved,15.0,Left Foot,,Albert Sambi Lokonga,Pass (Live),Tom Lockyer,Pass (Live),Fulham
12,Joao Palhinha,Fulham,0.02,,Blocked,27.0,Right Foot,,Willian,Pass (Live),Timothy Castagne,Pass (Live),Luton Town
18,Raul Jimenez,Fulham,0.07,,Off Target,17.0,Right Foot,Volley,Willian,Pass (Live),Kenny Tete,Pass (Live),Luton Town
19,Kenny Tete,Fulham,0.19,,Off Target,4.0,Head,,Andreas Pereira,Pass (Dead),Issa Diop,Pass (Live),Luton Town
22,Harry Wilson,Fulham,0.06,0.02,Saved,29.0,Left Foot,Free kick,Harry Wilson,Fouled,João Palhinha,Pass (Live),Luton Town
26,Carlton Morris,Luton Town,0.1,,Off Target,12.0,Left Foot,Volley,Jacob Brown,Pass (Live),Issa Kaboré,Pass (Live),Fulham
27,Jacob Brown,Luton Town,0.35,,Woodwork,8.0,Head,,Issa Kaboré,Pass (Live),Albert Sambi Lokonga,Pass (Live),Fulham
36,Harry Wilson,Fulham,0.04,,Off Target,31.0,Left Foot,Free kick,Harry Wilson,Fouled,Tim Ream,Pass (Live),Luton Town
48,Amari'i Bell,Luton Town,0.25,0.67,Saved,4.0,Left Foot,Volley,Jacob Brown,Pass (Live),Issa Kaboré,Pass (Live),Fulham
52,Joao Palhinha,Fulham,0.04,,Off Target,10.0,Head,,Timothy Castagne,Pass (Live),,,Luton Town
58,Timothy Castagne,Fulham,0.04,,Blocked,26.0,Right Foot,,Andreas Pereira,Pass (Live),Harrison Reed,Pass (Live),Luton Town
61,Willian,Fulham,0.02,,Blocked,24.0,Right Foot,,Andreas Pereira,Pass (Live),Willian,Pass (Live),Luton Town
65,Carlos Vinicius,Fulham,0.32,0.95,Goal,5.0,Left Foot,,Andreas Pereira,Pass (Live),Alex Iwobi,Pass (Live),Luton Town
68,Alex Iwobi,Fulham,0.06,,Blocked,22.0,Right Foot,,Harry Wilson,Pass (Live),Carlos Vinícius,Pass (Live),Luton Town
68,Willian,Fulham,0.05,,Blocked,14.0,Right Foot,,Andreas Pereira,Pass (Live),Alex Iwobi,Shot,Luton Town
72,Joao Palhinha,Fulham,0.01,,Blocked,29.0,Right Foot,,Willian,Pass (Live),Alex Iwobi,Pass (Live),Luton Town
82,Issa Kabore,Luton Town,0.03,,Blocked,14.0,Right Foot,,Elijah Adebayo,Pass (Live),Chiedozie Ogbene,Pass (Live),Fulham
84,Alex Iwobi,Fulham,0.05,,Off Target,14.0,Right Foot,,Bobby Reid,Pass (Live),João Palhinha,Pass (Live),Luton Town
85,Cauley Woodrow,Luton Town,0.11,,Off Target,9.0,Head,,Issa Kaboré,Pass (Live),Chiedozie Ogbene,Pass (Live),Fulham
90+3,Tom Lockyer,Luton Town,0.21,,Off Target,8.0,Head,,Issa Kaboré,Pass (Live),Elijah Adebayo,Pass (Live),Fulham
6,Marcus Rashford,Manchester Utd,0.13,0.19,Saved,8.0,Right Foot,,Marcus Rashford,Take-On,Marcus Rashford,Take-On,Brighton
7,Rasmus Hojlund,Manchester Utd,0.03,,Off Target,15.0,Head,,Bruno Fernandes,Pass (Live),Christian Eriksen,Pass (Dead),Brighton
8,Bruno Fernandes,Manchester Utd,0.05,,Blocked,26.0,Right Foot,,,,,,Brighton
10,Tariq Lamptey,Brighton,0.01,,Off Target,25.0,Right Foot,,Adam Lallana,Pass (Live),Tariq Lamptey,Pass (Live),Manchester Utd
11,Marcus Rashford,Manchester Utd,0.05,,Blocked,11.0,Left Foot,,Sergio Reguilón,Pass (Live),Marcus Rashford,Pass (Live),Brighton
20,Danny Welbeck,Brighton,0.52,0.35,Goal,9.0,Left Foot,,Simon Adingra,Pass (Live),Danny Welbeck,Pass (Live),Manchester Utd
25,Marcus Rashford,Manchester Utd,0.16,,Blocked,16.0,Right Foot,,Diogo Dalot,Pass (Live),Diogo Dalot,Take-On,Brighton
26,Marcus Rashford,Manchester Utd,0.03,,Blocked,25.0,Right Foot,,Diogo Dalot,Pass (Live),Casemiro,Pass (Live),Brighton
32,Danny Welbeck,Brighton,0.02,,Off Target,29.0,Right Foot,,Mahmoud Dahoud,Pass (Live),Pascal Groß,Pass (Live),Manchester Utd
34,Marcus Rashford,Manchester Utd,0.07,,Blocked,20.0,Right Foot,,Casemiro,Pass (Live),,,Brighton
45+1,Marcus Rashford,Manchester Utd,0.12,,Off Target,17.0,Right Foot,,Victor Lindelöf,Pass (Live),Christian Eriksen,Pass (Live),Brighton
48,Pascal Gross,Brighton,0.03,0.02,Saved,26.0,Right Foot,,Danny Welbeck,Pass (Live),Kaoru Mitoma,Pass (Live),Manchester Utd
51,Marcus Rashford,Manchester Utd,0.05,,Off Target,11.0,Left Foot,,Rasmus Højlund,Pass (Live),Diogo Dalot,Pass (Live),Brighton
53,Pascal Gross,Brighton,0.29,0.22,Goal,17.0,Right Foot,,Pascal Groß,Take-On,Tariq Lamptey,Pass (Live),Manchester Utd
57,Bruno Fernandes,Manchester Utd,0.02,0.02,Saved,29.0,Right Foot,,Victor Lindelöf,Pass (Live),Lisandro Martínez,Pass (Live),Brighton
58,Marcus Rashford,Manchester Utd,0.03,,Blocked,16.0,Right Foot,,Rasmus Højlund,Pass (Live),Bruno Fernandes,Pass (Live),Brighton
66,Marcus Rashford,Manchester Utd,0.05,0.27,Saved,31.0,Right Foot,Free kick,Hannibal Mejbri,Fouled,Victor Lindelöf,Pass (Live),Brighton
71,Joao Pedro,Brighton,0.09,0.19,Goal,17.0,Right Foot,,Tariq Lamptey,Pass (Live),Lewis Dunk,Pass (Live),Manchester Utd
73,Hannibal Mejbri,Manchester Utd,0.03,0.19,Goal,29.0,Right Foot,,Lisandro Martínez,Pass (Live),Bruno Fernandes,Pass (Live),Brighton
76,Victor Lindelof,Manchester Utd,0.15,,Off Target,7.0,Head,,Bruno Fernandes,Pass (Live),,,Brighton
79,Kaoru Mitoma,Brighton,0.14,0.61,Saved,5.0,Right Foot,,João Pedro,Pass (Live),,,Manchester Utd
87,Evan Ferguson,Brighton,0.08,0.09,Saved,14.0,Right Foot,,João Pedro,Pass (Live),Ansu Fati,Pass (Live),Manchester Utd
88,Ansu Fati,Brighton,0.09,0.12,Saved,17.0,Right Foot,,João Pedro,Pass (Live),Ansu Fati,Pass (Live),Manchester Utd
90+3,Ansu Fati,Brighton,0.41,0.86,Saved,12.0,Right Foot,,Billy Gilmour,Pass (Live),Kaoru Mitoma,Pass (Live),Manchester Utd
4,Aaron Hickey,Brentford,0.04,0.09,Saved,11.0,Right Foot,Deflected,Mathias Jensen,Pass (Live),Aaron Hickey,Pass (Live),Newcastle Utd
11,Christian Norgaard,Brentford,0.07,,Blocked,16.0,Right Foot,Volley,Yoane Wissa,Pass (Live),Rico Henry,Pass (Live),Newcastle Utd
28,Fabian Schar,Newcastle Utd,0.02,,Blocked,35.0,Right Foot,,Bruno Guimarães,Pass (Live),Elliot Anderson,Pass (Live),Brentford
28,Sven Botman,Newcastle Utd,0.08,,Off Target,9.0,Head,,Kieran Trippier,Pass (Dead),Fabian Schär,Shot,Brentford
28,Bruno Guimaraes,Newcastle Utd,0.27,0.03,Saved,3.0,Head,,Sven Botman,Shot,,,Brentford
31,Callum Wilson,Newcastle Utd,0.12,,Off Target,9.0,Head,,Sean Longstaff,Pass (Live),Kieran Trippier,Pass (Live),Brentford
37,Harvey Barnes,Newcastle Utd,0.01,,Blocked,32.0,Right Foot,Volley,,,,,Brentford
38,Callum Wilson,Newcastle Utd,0.09,,Off Target,12.0,Head,,Kieran Trippier,Pass (Live),Fabian Schär,Pass (Live),Brentford
43,Kieran Trippier,Newcastle Utd,0.01,,Off Target,23.0,Right Foot,Volley,Harvey Barnes,Fouled,Dan Burn,Pass (Live),Brentford
45+1,Yoane Wissa,Brentford,0.03,,Blocked,18.0,Right Foot,,Vitaly Janelt,Pass (Live),Christian Nørgaard,Pass (Live),Newcastle Utd
45+3,Bryan Mbeumo,Brentford,0.04,,Off Target,7.0,Head,,Mathias Jensen,Pass (Dead),Yoane Wissa,Shot,Newcastle Utd
50,Yoane Wissa,Brentford,0.02,,Blocked,21.0,Right Foot,,Yoane Wissa,Take-On,Vitaly Janelt,Pass (Live),Newcastle Utd
64,Callum Wilson (pen),Newcastle Utd,0.79,1.0,Goal,13.0,Right Foot,,Anthony Gordon,Fouled,,,Brentford
65,Christian Norgaard,Brentford,0.02,,Off Target,32.0,Right Foot,,,,,,Newcastle Utd
68,Harvey Barnes,Newcastle Utd,0.05,,Off Target,25.0,Right Foot,,Harvey Barnes,Take-On,Dan Burn,Pass (Live),Brentford
72,Yoane Wissa,Brentford,0.04,,Off Target,16.0,Right Foot,,Mads Roerslev,Interception,,,Newcastle Utd
79,Neal Maupay,Brentford,0.01,,Blocked,15.0,Head,,Mads Roerslev,Pass (Live),Bryan Mbeumo,Pass (Live),Newcastle Utd
83,Keane Lewis-Potter,Brentford,0.02,,Blocked,23.0,Right Foot,,Yoane Wissa,Pass (Live),Keane Lewis-Potter,Pass (Live),Newcastle Utd
84,Yoane Wissa,Brentford,0.11,0.54,Saved,9.0,Head,,Keane Lewis-Potter,Pass (Live),Keane Lewis-Potter,Take-On,Newcastle Utd
90+3,Yoane Wissa,Brentford,0.1,,Off Target,5.0,Head,,Mathias Jensen,Pass (Dead),Yoane Wissa,Fouled,Newcastle Utd
9,Pape Matar Sarr,Tottenham,0.02,0.09,Saved,28.0,Right Foot,,Pedro Porro,Pass (Live),James Maddison,Pass (Live),Sheffield Utd
11,Oliver McBurnie,Sheffield Utd,0.11,,Blocked,16.0,Right Foot,,Gustavo Hamer,Pass (Live),Cameron Archer,Pass (Live),Tottenham
17,Pape Matar Sarr,Tottenham,0.19,0.11,Saved,8.0,Head,,Dejan Kulusevski,Pass (Live),James Maddison,Pass (Live),Sheffield Utd
18,Cristian Romero,Tottenham,0.04,,Off Target,11.0,Head,,James Maddison,Pass (Dead),,,Sheffield Utd
19,Yves Bissouma,Tottenham,0.44,0.8,Saved,6.0,Left Foot,,Yves Bissouma,Take-On,Dejan Kulusevski,Pass (Live),Sheffield Utd
21,Son Heung-min,Tottenham,0.03,0.35,Saved,24.0,Right Foot,,Manor Solomon,Pass (Live),James Maddison,Pass (Live),Sheffield Utd
23,James Mcatee,Sheffield Utd,0.24,0.22,Saved,16.0,Right Foot,,Jayden Bogle,Pass (Live),Anel Ahmedhodžić,Pass (Live),Tottenham
24,James Maddison,Tottenham,0.08,0.06,Saved,26.0,Right Foot,,Cristian Romero,Pass (Dead),James Maddison,Fouled,Sheffield Utd
27,Manor Solomon,Tottenham,0.06,0.18,Saved,22.0,Right Foot,,Destiny Udogie,Pass (Live),James Maddison,Pass (Live),Sheffield Utd
34,James Maddison,Tottenham,0.04,0.03,Saved,22.0,Left Foot,,Pape Matar Sarr,Pass (Live),Yves Bissouma,Pass (Live),Sheffield Utd
39,Son Heung-min,Tottenham,0.09,,Off Target,9.0,Head,,Manor Solomon,Pass (Live),Micky van de Ven,Pass (Live),Sheffield Utd
40,James Maddison,Tottenham,0.03,,Off Target,13.0,Left Foot,Volley,Manor Solomon,Pass (Live),Pape Matar Sarr,Pass (Live),Sheffield Utd
42,Dejan Kulusevski,Tottenham,0.04,,Blocked,14.0,Right Foot,,Pedro Porro,Pass (Live),Yves Bissouma,Pass (Live),Sheffield Utd
45+1,Dejan Kulusevski,Tottenham,0.02,,Blocked,16.0,Left Foot,,James Maddison,Pass (Dead),,Fouled,Sheffield Utd
45+4,Oliver McBurnie,Sheffield Utd,0.06,0.14,Saved,12.0,Head,,Gustavo Hamer,Pass (Dead),,,Tottenham
47,Pape Matar Sarr,Tottenham,0.07,,Blocked,22.0,Right Foot,,Manor Solomon,Pass (Live),Destiny Udogie,Pass (Live),Sheffield Utd
56,Son Heung-min,Tottenham,0.04,,Blocked,15.0,Left Foot,,James Maddison,Pass (Dead),Manor Solomon,Fouled,Sheffield Utd
57,Dejan Kulusevski,Tottenham,0.05,,Blocked,11.0,Right Foot,,Pedro Porro,Pass (Live),Dejan Kulusevski,Pass (Live),Sheffield Utd
61,Cristian Romero,Tottenham,0.02,,Off Target,15.0,Head,,Yves Bissouma,Pass (Live),Destiny Udogie,Pass (Live),Sheffield Utd
61,Manor Solomon,Tottenham,0.03,,Off Target,20.0,Right Foot,,James Maddison,Pass (Live),Destiny Udogie,Pass (Live),Sheffield Utd
66,Manor Solomon,Tottenham,0.14,,Off Target,12.0,Left Foot,,Dejan Kulusevski,Pass (Live),Pedro Porro,Pass (Live),Sheffield Utd
67,James Mcatee,Sheffield Utd,0.06,0.02,Saved,16.0,Left Foot,Deflected,Cameron Archer,Pass (Live),Oliver McBurnie,Pass (Live),Tottenham
67,Dejan Kulusevski,Tottenham,0.03,,Blocked,19.0,Left Foot,,Yves Bissouma,Pass (Live),Guglielmo Vicario,Pass (Live),Sheffield Utd
