Player,Position,Team,GW,FPTS,Ghost Points,Negative Fpts,Ros Rank,RKOV,RKPOS,Ros RankPOS,Started,GP,Home,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,ROS %,MIN,FP/G,Overperformance
Gustavo Hamer,M,SHU,7,9.0,9.0,0.0,76,64,23,27,True,1,False,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,55,78,9.0,-4
Sean Longstaff,M,NEW,7,9.0,8.0,-0.5,200,87,31,51,True,1,True,0,1,0,0,2,1,0,0,1,1,1,0,2,1,0,0,0,0,1,41,90,9.0,-20
Phil Foden,M,MCI,7,8.5,8.5,-0.5,7,17,9,4,True,1,False,0,3,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,2,0,100,90,8.5,5
Ethan Pinnock,D,BRF,7,8.5,8.5,-2.0,37,61,13,5,True,1,False,0,0,0,1,0,0,0,0,0,1,2,0,1,6,0,0,0,1,0,97,90,8.5,8
Antonee Robinson,D,FUL,7,8.5,8.5,-4.5,200,167,39,29,True,1,True,0,1,0,0,3,1,0,0,1,6,0,1,0,0,0,0,0,2,0,54,90,8.5,10
Marc Cucurella,D,CHE,7,8.5,2.5,-2.0,200,307,78,29,True,1,False,0,0,0,0,1,0,1,0,0,1,6,0,0,1,0,0,0,0,1,30,90,8.5,49
Marvelous Nakamba,M,LUT,7,8.5,8.5,-2.0,200,131,44,51,True,2,False,0,1,0,0,4,0,1,0,0,2,1,1,1,1,0,0,0,3,0,29,180,4.25,-7
Luca Koleosho,F,BUR,7,8.5,8.5,-0.5,200,121,33,44,True,2,False,0,2,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,1,1,26,131,4.25,-11
Oscar Bobb,M,MCI,7,8.5,2.5,-0.5,200,293,86,51,False,1,False,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,45,8.5,35
James Tarkowski,D,EVE,7,8.25,8.25,-4.0,60,60,12,12,True,1,True,0,2,0,0,1,0,0,0,0,0,5,1,2,3,0,0,0,2,0,93,90,8.25,0
Nathan Collins,D,BRF,7,8.25,8.25,-2.0,200,119,27,29,True,1,False,0,0,0,0,0,0,0,0,0,4,1,0,0,6,0,0,0,1,0,36,90,8.25,-2
William Saliba,D,ARS,7,8.0,2.0,0.0,117,100,22,19,True,1,False,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,98,90,8.0,3
Conor Gallagher,M,CHE,7,8.0,7.0,-0.5,146,91,32,49,True,1,False,0,1,0,0,3,1,0,0,0,1,0,1,0,1,0,0,0,0,1,77,90,8.0,-17
Elliot Anderson,M,NEW,7,8.0,7.0,-0.5,200,114,40,51,True,1,True,0,0,0,2,0,1,0,0,1,0,2,2,0,1,0,0,0,0,1,28,63,8.0,-11
Jack Robinson,D,SHU,7,8.0,8.0,-4.0,200,292,74,29,True,1,False,0,2,0,0,3,0,0,0,0,0,8,0,1,2,0,0,0,2,0,2,90,8.0,45
Andrew Robertson,D,LIV,7,7.5,7.5,-6.0,43,31,4,8,True,1,False,0,4,0,1,1,0,1,0,0,1,2,1,0,0,0,0,0,2,0,100,90,7.5,-4
Rasmus Hojlund,F,MUN,7,7.5,7.5,-1.5,70,272,58,24,True,1,True,0,1,0,2,0,3,0,0,0,0,1,3,0,0,0,0,0,1,0,87,90,7.5,34
Raphael Varane,D,MUN,7,7.5,7.5,-2.5,200,172,41,29,True,1,True,0,1,0,0,3,1,0,0,0,0,4,0,0,4,0,0,0,1,0,75,86,7.5,12
Ryan Christie,M,BOU,7,7.5,7.5,-1.0,128,81,30,45,True,1,True,0,1,0,1,1,2,0,0,0,1,0,2,0,1,0,0,0,3,0,34,82,7.5,-15
Willy Boly,D,NOT,7,7.25,7.25,-2.0,103,43,7,17,True,1,True,0,0,0,0,1,0,0,0,0,0,5,0,4,3,0,0,0,1,0,73,90,7.25,-10
Declan Rice,M,ARS,7,7.0,6.0,0.0,74,72,25,25,True,1,False,0,1,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,1,98,80,7.0,0
Mason Mount,M,MUN,7,7.0,7.0,-3.5,62,259,78,21,True,1,True,0,1,0,0,4,3,1,0,0,1,0,3,0,1,0,0,0,1,0,96,76,7.0,57
Pape Sarr,M,TOT,7,7.0,7.0,-1.0,121,69,24,44,True,1,True,0,0,0,1,2,2,0,0,0,1,1,1,1,2,0,0,0,1,0,76,82,7.0,-20
Jack Harrison,M,EVE,7,7.0,7.0,0.0,98,316,90,36,False,1,True,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,30,45,7.0,54
Jack Hinshelwood,M,BHA,7,7.0,7.0,0.0,200,317,91,51,True,1,False,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,1,85,7.0,40
Iyenoma Destiny Udogie,D,TOT,7,6.75,6.75,-4.0,42,78,18,7,True,1,True,0,3,0,0,1,0,1,0,0,2,3,1,0,0,0,0,0,1,0,98,82,6.75,11
Manuel Akanji,D,MCI,7,6.5,6.5,-4.0,200,110,25,29,True,1,False,0,1,0,1,3,0,0,0,0,0,2,1,1,1,0,0,0,2,0,97,90,6.5,-4
Diogo Dalot,D,MUN,7,6.5,6.5,-2.5,53,204,51,10,True,1,True,0,2,0,0,1,1,0,0,1,0,0,2,1,0,0,0,0,1,0,84,90,6.5,41
Moises Caicedo,M,CHE,7,6.5,5.5,-0.5,200,220,68,51,True,1,False,0,0,0,0,2,1,0,0,0,1,0,2,1,0,0,0,0,0,1,69,88,6.5,17
Billy Gilmour,M,BHA,7,6.5,6.5,0.0,200,74,26,51,True,1,False,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,6,0,49,90,6.5,-25
Cheick Doucoure,M,CRY,7,6.5,5.5,-2.0,200,104,35,51,True,1,False,0,0,0,0,1,4,0,0,0,5,2,1,0,1,0,0,0,0,1,33,90,6.5,-16
Teden Mengi,D,LUT,7,6.25,6.25,-4.5,200,324,82,29,False,2,False,0,0,0,0,1,1,0,0,0,5,3,0,1,3,0,0,0,2,0,0,123,3.12,53
Dominic Solanke,F,BOU,7,6.0,6.0,-1.0,56,37,12,19,True,1,True,0,2,0,0,1,2,0,0,0,0,0,1,0,2,0,0,0,4,0,94,90,6.0,-7
Yoane Wissa,F,BRF,7,6.0,6.0,-0.5,54,38,13,18,True,1,False,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,93,90,6.0,-5
Chiedozie Ogbene,F,LUT,7,6.0,6.0,-1.0,200,236,51,44,True,2,False,0,1,0,0,1,2,0,0,0,0,2,3,0,2,0,0,0,3,0,6,180,3.0,7
