Player,Team,Position,GW,FPts,started,Opponent,Home,FP/G,ROS Rank,RkOv,G,KP,AT,SOT,TkW,DIS,YC,RC,ACNC,Int,CLR,CoS,BS,AER,PKM,PKD,OG,GAO,CS,Team_long,Ros %,GP,Min
James Ward-Prowse,WHU,M,1,19.5,,,,19.5,17,13,9,4,0,4,0,-0.5,0,0,0,2,0.0,0,1,0.0,0,0,0,0,0,,85%,1,90
Kieran Trippier,NEW,D,1,19.0,,AVL,True,19.0,7,5,0,4,0,0,1,-0.5,0,0,1,1,0.5,1,0,5.0,0,0,0,0,6,Newcastle Utd,100%,1,90
Joao Pedro,BHA,F,1,19.0,,LUT,True,19.0,51,43,9,6,0,2,1,-0.0,0,0,0,1,0.0,0,0,0.0,0,0,0,0,0,Brighton,95%,1,25
Gustavo Hamer,SHU,M,1,18.5,,,,18.5,81,60,9,6,0,2,0,-0.5,0,0,1,0,0.0,0,0,0.0,0,0,0,0,1,,55%,1,80
Lucas Digne,AVL,D,1,18.0,,NEW,False,18.0,118,35,0,4,7,0,1,-1.5,0,0,4,1,0.5,0,0,4.0,0,0,0,-2,0,Aston Villa,90%,1,90
Richarlison,TOT,F,1,18.0,,BRF,False,18.0,80,93,9,2,6,2,0,-0.5,-2,0,0,0,0.0,0,0,1.5,0,0,0,0,0,Tottenham,86%,1,9
Odsonne Edouard,CRY,F,1,18.0,,SHU,False,18.0,97,25,9,4,0,2,2,-1.0,0,0,0,1,0.0,0,0,1.0,0,0,0,0,0,Crystal Palace,80%,1,88
Fabian Schar,NEW,D,1,16.0,,AVL,True,16.0,47,127,0,0,0,0,1,-0.0,0,0,0,1,1.0,0,2,5.0,0,0,0,0,6,Newcastle Utd,93%,1,90
Danny Welbeck,BHA,F,1,16.0,,LUT,True,16.0,200,186,9,2,0,2,2,-0.0,0,0,0,1,0.0,0,0,0.0,0,0,0,0,0,Brighton,37%,1,63
Tariq Lamptey,BHA,D,1,16.0,,,,16.0,200,261,0,4,14,0,1,-0.0,-2,0,0,0,0.0,1,0,0.0,0,0,0,-2,0,,15%,1,76
Willian,FUL,F,1,15.5,,EVE,False,15.5,78,204,0,6,6,0,1,-0.5,0,0,0,2,0.0,1,0,0.0,0,0,0,0,0,Fulham,54%,1,88
Simon Adingra,BHA,F,1,15.5,,LUT,True,15.5,200,111,0,2,6,0,2,-0.0,0,0,2,2,0.0,1,0,0.5,0,0,0,0,0,Brighton,36%,1,84
Lewis Cook,BOU,M,1,15.5,,,,15.5,200,149,0,2,0,2,3,-0.0,0,0,0,5,0.0,2,0,0.5,0,0,0,0,1,,2%,1,90
Ben White,ARS,D,1,15.25,,NOT,True,15.25,116,27,0,2,0,2,1,-0.0,0,0,2,0,0.25,1,0,1.0,0,0,0,0,6,Arsenal,98%,1,90
James Maddison,TOT,M,1,14.5,,BRF,False,14.5,5,4,0,8,0,4,2,-0.5,-2,0,0,0,0.0,3,0,0.0,0,0,0,0,0,Tottenham,100%,1,90
Dan Burn,NEW,D,1,14.5,,AVL,True,14.5,93,62,0,2,0,0,1,-0.5,0,0,0,3,1.0,0,0,2.0,0,0,0,0,6,Newcastle Utd,95%,1,90
Pascal Gross,BHA,M,1,14.0,,LUT,True,14.0,26,24,9,0,0,4,0,-0.0,0,0,0,0,0.0,1,0,0.0,0,0,0,0,0,Brighton,100%,1,90
Timothy Castagne,FUL,D,1,14.0,,,,14.0,144,180,0,2,0,0,3,-0.5,-2,0,1,2,0.5,1,1,0.0,0,0,0,0,6,,42%,1,90
