Player,Team,Position,GW,FPts,started,Opponent,Home,FP/G,ROS Rank,RkOv,G,KP,AT,SOT,TkW,DIS,YC,RC,ACNC,Int,CLR,CoS,BS,AER,PKM,PKD,OG,GAO,CS,Team_long,Ros %,GP,Min,FPts/Start
Axel Disasi,CHE,D,1,9.0,1.0,LIV,True,9.0,128,94,0,0,0,0,0,0,1,0,0,0,4,0,4,0,0,0,0,0,1,Chelsea,79%,1,90,7.9
Eberechi Eze,CRY,M,1,8.5,1.0,SHU,False,8.5,6,12,0,0,0,2,1,4,1,0,0,0,0,7,0,1,0,0,0,3,0,Crystal Palace,100%,1,90,14.7
Marvelous Nakamba,LUT,M,1,8.5,1.0,BHA,False,8.5,200,122,0,0,0,0,5,0,0,0,0,1,1,0,2,1,0,0,0,1,0,Luton Town,29%,1,90,5.0
Milos Kerkez,BOU,D,1,8.5,1.0,WHU,True,8.5,200,247,0,0,0,0,1,0,1,0,1,2,2,0,0,0,0,0,0,0,1,Bournemouth,27%,1,72,3.1
Ibrahim Sangare,NOT,M,1,8.5,,,,8.5,200,274,0,0,0,0,4,0,0,0,0,3,1,0,1,1,0,0,0,1,0,,10%,1,90,inf
Illia Zabarnyi,BOU,D,1,8.5,1.0,WHU,True,8.5,200,213,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,Bournemouth,7%,1,90,4.0
Pedro Porro,TOT,D,1,8.0,,,,8.0,38,50,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,,99%,1,88,inf
Vinicius de Souza Costa,SHU,M,1,8.0,,,,8.0,200,157,0,0,0,0,1,0,0,0,0,4,4,1,1,2,0,0,0,2,0,,3%,1,90,inf
Kyle Walker,MCI,D,1,7.5,1.0,BUR,False,7.5,200,79,0,2,0,0,2,2,0,0,1,1,2,0,0,2,0,0,0,1,0,Manchester City,96%,1,90,8.7
Conor Gallagher,CHE,M,1,7.5,1.0,LIV,True,7.5,150,108,0,1,0,1,0,2,0,0,0,2,1,0,1,1,0,0,0,0,1,Chelsea,77%,1,90,7.1
Vitaly Janelt,BRF,M,1,7.5,1.0,TOT,True,7.5,200,130,0,2,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,1,0,Brentford,10%,1,71,5.5
Thiago Silva,CHE,D,1,7.25,1.0,LIV,True,7.25,95,90,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,Chelsea,91%,1,90,8.1
Joel Veltman,BHA,D,1,7.25,0.0,LUT,True,7.25,200,217,0,0,0,0,3,0,0,0,0,1,5,1,2,1,0,0,0,1,0,Brighton,25%,1,90,inf
Reece Burke,LUT,D,1,7.25,,,,7.25,200,241,0,0,0,0,2,1,0,0,0,0,3,0,2,5,0,0,0,1,0,,3%,1,80,inf
Luis Diaz,LIV,F,1,7.0,1.0,CHE,False,7.0,30,86,0,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Liverpool,100%,1,45,8.0
Elliot Anderson,NEW,M,1,7.0,0.0,AVL,True,7.0,200,110,0,0,0,0,2,1,0,0,0,0,1,3,0,3,0,0,0,0,1,Newcastle Utd,28%,1,90,inf
Ivan Perisic,TOT,M,1,7.0,0.0,BRF,False,7.0,200,194,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,Tottenham,23%,1,9,inf
Jean-Philippe Mateta,CRY,F,1,7.0,,,,7.0,200,179,0,1,1,0,1,4,0,0,0,0,1,0,0,0,0,0,0,3,0,,8%,1,64,inf
Idrissa Gueye,EVE,M,1,7.0,,,,7.0,200,171,0,1,0,1,1,2,0,0,1,2,0,0,0,0,0,0,0,1,0,,7%,1,90,inf
James Tarkowski,EVE,D,1,6.75,1.0,FUL,True,6.75,62,57,0,0,0,0,1,0,0,0,0,1,3,0,3,3,0,0,0,1,0,Everton,93%,1,90,8.7
Mads Roerslev,BRF,D,1,6.75,0.0,TOT,True,6.75,200,249,0,2,0,0,1,0,0,0,1,1,3,1,0,0,0,0,0,1,0,Brentford,4%,1,47,inf
Bruno Fernandes,MUN,M,1,6.5,1.0,WOL,True,6.5,2,14,0,2,0,1,0,1,1,0,1,0,0,2,0,0,0,0,0,3,0,Manchester Utd,100%,1,90,14.9
Phil Foden,MCI,M,1,6.5,1.0,BUR,False,6.5,9,17,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Manchester City,100%,1,66,13.7
Raheem Sterling,CHE,F,1,6.5,1.0,LIV,True,6.5,34,52,0,3,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,1,Chelsea,100%,1,90,10.6
Ruben Dias,MCI,D,1,6.5,,,,6.5,200,176,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,0,0,1,0,,96%,1,90,inf
Philip Billing,BOU,M,1,6.5,1.0,WHU,True,6.5,139,107,0,1,0,0,1,0,0,0,0,1,4,1,0,1,0,0,0,0,1,Bournemouth,72%,1,90,6.8
Luca Koleosho,BUR,F,1,6.5,1.0,MCI,True,6.5,200,136,0,2,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,1,0,Burnley,26%,1,75,5.3
Mario Lemina,WOL,M,1,6.5,1.0,MUN,False,6.5,200,147,0,0,0,0,4,0,0,0,0,2,1,0,0,1,0,0,0,1,0,Wolves,12%,1,77,5.8
Harvey Elliott,LIV,M,1,6.5,0.0,CHE,False,6.5,200,291,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Liverpool,7%,1,33,inf
James Mcatee,SHU,M,1,6.5,0.0,BUR,False,6.5,200,295,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,Manchester City,6%,1,69,inf
Will Hughes,CRY,M,1,6.5,,,,6.5,200,222,0,0,0,0,2,1,1,0,0,1,3,2,4,0,0,0,0,3,0,,2%,1,90,inf
Ethan Pinnock,BRF,D,1,6.25,1.0,TOT,True,6.25,40,58,0,1,0,0,0,0,0,0,0,1,9,0,0,3,0,0,0,1,0,Brentford,97%,1,90,8.6
Jarell Quansah,LIV,D,1,6.25,,,,6.25,200,311,0,0,0,0,3,0,0,0,0,2,5,0,0,2,0,0,0,1,0,,2%,1,82,inf
Dominik Szoboszlai,LIV,M,1,6.0,1.0,CHE,False,6.0,27,26,0,1,0,1,2,1,0,0,0,0,2,0,0,1,0,0,0,1,0,Liverpool,100%,1,90,10.8
Bruno Guimaraes,NEW,M,1,6.0,1.0,AVL,True,6.0,114,34,0,1,0,1,0,1,1,0,0,0,0,2,1,1,0,0,0,0,1,Newcastle Utd,98%,1,90,8.2
Tomas Soucek,WHU,M,1,6.0,1.0,BOU,False,6.0,104,39,0,1,0,0,0,0,1,0,0,0,4,0,3,6,0,0,0,3,0,West Ham,85%,1,86,8.3
Matheus Cunha,WOL,F,1,6.0,1.0,MUN,False,6.0,131,64,0,0,0,1,1,1,0,0,0,0,0,3,0,1,0,0,0,1,0,Wolves,57%,1,60,7.1
Sean Longstaff,NEW,M,1,6.0,0.0,AVL,True,6.0,200,82,0,1,0,0,2,2,0,0,1,0,1,0,1,0,0,0,0,0,1,Newcastle Utd,42%,1,90,inf
Fabio Vieira,ARS,M,1,6.0,,,,6.0,147,137,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,1,,41%,1,79,inf
Dango Ouattara,BOU,F,1,6.0,,,,6.0,119,273,0,0,0,1,2,0,0,0,0,1,2,1,0,0,0,0,0,0,1,,27%,1,62,inf
Manuel Akanji,MCI,D,1,5.75,1.0,BUR,False,5.75,200,106,0,2,0,0,1,1,0,0,0,2,1,0,1,0,0,0,0,1,0,Manchester City,97%,1,90,6.2
