"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*04abb*","Phil Foden","MCI","M","18","XXX","BHA 1<br/>@MCI 2 F","7.5","7.5","100%","16.45","100%","0%","1","90","0","3","0","0","0","2","0","0","0","1","0","1","0","1","0","0","0","1","0"
"*05ylj*","Bruno Guimaraes","NEW","M","56","Kish123","CRY 0<br/>@NEW 4 F","7.5","7.5","100%","39.32","99%","0%","1","68","0","0","0","1","1","0","0","0","0","0","0","3","0","1","0","0","0","0","1"
"*068ym*","Enzo Fernandez","CHE","M","101","avitek","ARS 2<br/>@CHE 2 F","7.5","7.5","99%","73.23","94%","-2.6%","1","90","0","1","0","1","1","1","0","0","0","0","0","1","1","2","0","0","0","2","0"
"*062p5*","Levi Colwill","CHE","D","59","Maddihat","ARS 2<br/>@CHE 2 F","7.5","7.5","82%","119.31","93%","-1.8%","1","90","0","0","0","0","0","1","0","0","0","3","8","0","1","6","0","0","0","2","0"
"*049tq*","Dominic Calvert-Lewin","EVE","F","138","XXX","EVE 0<br/>@LIV 2 F","7.5","7.5","82%","115.08","82%","-1.6%","1","60","0","1","0","1","1","0","0","0","0","0","2","0","0","5","0","0","0","0","1"
"*06c6a*","Alfie Doughty","LUT","M","40","Vroom","LUT 2<br/>@NOT 2 F","7.5","7.5","48%","142.27","74%","+10%","1","90","0","0","0","0","2","0","0","0","2","1","1","1","0","3","0","0","0","2","0"
"*058vb*","Cameron Archer","SHU","F","200","W (Thu)","MUN 2<br/>@SHU 1 F","7.5","7.5","1%","1149.05","10%","-1.8%","1","90","0","1","0","2","0","1","0","0","0","1","0","1","0","0","0","0","0","2","0"
"*05tr9*","Mathias Jensen","BRF","M","16","Pancake","BUR 0<br/>@BRF 3 F","7","7","83%","116.69","98%","+0.5%","1","75","0","2","0","0","1","0","1","0","1","0","1","2","0","0","0","0","0","0","1"
"*05l27*","Jarrad Branthwaite","EVE","D","143","W (Thu)","EVE 0<br/>@LIV 2 F","7","7","1%","1123.02","10%","-1.6%","1","90","0","1","0","0","2","0","0","0","0","3","8","0","1","1","0","0","0","2","0"
"*04rh9*","David Brooks","BOU","M","187","W (Thu)","WOL 2<br/>@BOU 1 F","7","7","10%","296.64","9%","+3.8%","1","56","0","1","0","1","2","0","0","0","0","1","0","0","0","0","0","0","0","1","0"
"*06fwi*","Carlos Baleba","BHA","M","292","W (Thu)","BHA 1<br/>@MCI 2 F","7","7","0%","-","5%","+1.5%","1","65","0","1","0","0","1","0","0","0","0","3","2","0","0","2","0","0","0","2","0"
"*02lp7*","Andros Townsend","LUT","M","340","W (Thu)","LUT 2<br/>@NOT 2 F","7","7","0%","-","2%","+1.7%","1","17","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"*04p0d*","Dwight McNeil","EVE","M","134","deceptiv","EVE 0<br/>@LIV 2 F","6.5","6.5","96%","76.4","83%","+1%","1","45","0","1","0","0","0","1","0","0","1","1","1","3","0","0","0","0","0","0","0"
"*03sgc*","Jordan Ayew","CRY","F","78","W (Thu)","CRY 0<br/>@NEW 4 F","6.5","6.5","58%","131.25","70%","-5.2%","1","90","0","0","0","0","2","3","0","0","0","2","1","4","0","0","0","0","0","4","0"
"*037mo*","Willian","FUL","F","94","W (Thu)","FUL 0<br/>@TOT 2 F","6.5","6.5","85%","107.68","64%","+5.3%","1","90","0","3","0","0","0","5","0","0","1","1","0","1","0","0","0","0","0","2","0"
"*0435s*","Joel Matip","LIV","D","189","W (Thu)","EVE 0<br/>@LIV 2 F","6.5","6.5","3%","375.82","21%","-5.1%","1","23","0","0","0","0","0","0","0","0","0","0","2","0","0","6","0","0","0","0","0"
"*05ue7*","Frank Onyeka","BRF","M","221","W (Thu)","BUR 0<br/>@BRF 3 F","6.5","6.5","0%","-","1%","+0.6%","1","83","0","0","0","1","2","0","1","0","0","2","1","1","0","1","0","0","0","0","1"
"*05r9b*","Martin Odegaard","ARS","M","21","avitek","ARS 2<br/>@CHE 2 F","6","6","100%","8.53","100%","0%","1","77","0","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","2","0"
"*052h5*","Gabriel Martinelli","ARS","M","88","4b. DcbB","ARS 2<br/>@CHE 2 F","6","6","100%","12.84","100%","+0.2%","1","77","0","2","0","0","1","2","0","0","0","1","0","1","0","0","0","0","0","2","0"
"*02lkp*","Raheem Sterling","CHE","F","25","4b. DcbB","ARS 2<br/>@CHE 2 F","6","6","100%","57.78","100%","+0.3%","1","83","0","1","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","1","0"
"*04kj7*","Serge Aurier","NOT","D","156","W (Thu)","LUT 2<br/>@NOT 2 F","6","6","25%","156.68","58%","+1.2%","1","87","0","1","0","0","2","0","0","0","1","1","0","0","1","1","0","0","0","1","0"
"*05ybq*","Vitalii Mykolenko","EVE","D","166","avitek","EVE 0<br/>@LIV 2 F","6","6","4%","386.04","22%","-4.7%","1","87","0","0","0","0","3","1","0","0","0","3","2","0","2","0","0","0","0","1","0"
"*06fvn*","Beto","EVE","F","213","W (Thu)","EVE 0<br/>@LIV 2 F","6","6","0%","-","22%","-8.3%","1","28","0","1","0","0","2","1","0","0","0","0","0","1","0","3","0","0","0","2","0"
"*06exa*","Matheus Franca","CRY","F","347","XXX","CRY 0<br/>@NEW 4 F","6","6","9%","312.21","10%","+3.1%","1","19","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04f6o*","Will Hughes","CRY","M","229","W (Thu)","CRY 0<br/>@NEW 4 F","6","6","0%","-","3%","-2.1%","1","69","0","2","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","4","0"
"*0647t*","Lucas Paqueta","WHU","M","55","deceptiv","WHU 1<br/>@AVL 4 F","5.5","5.5","100%","51.96","100%","-0.1%","1","85","0","1","0","0","1","3","0","0","0","0","0","3","0","2","0","0","0","3","0"
"*06ex4*","Josko Gvardiol","MCI","D","136","W (Thu)","BHA 1<br/>@MCI 2 F","5.5","5.5","79%","73.7","83%","+1.2%","1","90","0","0","0","1","0","0","0","0","0","4","2","1","0","0","0","0","0","1","0"
"*0639x*","Marcus Tavernier","BOU","M","142","4b. DcbB","WOL 2<br/>@BOU 1 F","5.5","5.5","34%","147.53","57%","+3.6%","1","74","0","1","0","0","2","2","0","0","0","0","1","2","0","1","0","0","0","1","0"
"*04tzt*","Jefferson Lerma","CRY","M","152","avitek","CRY 0<br/>@NEW 4 F","5.5","5.5","13%","288.05","47%","+4.5%","1","86","0","1","0","0","0","0","0","0","0","2","1","1","0","1","0","0","0","4","0"
"*06fy7*","Nicolas Dominguez","NOT","M","212","Kish123","LUT 2<br/>@NOT 2 F","5.5","5.5","0%","-","25%","+13.4%","1","77","0","0","0","1","2","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"*06dn2*","Zeki Amdouni","BUR","F","124","W (Thu)","BUR 0<br/>@BRF 3 F","5.5","5.5","8%","324.93","15%","-0.2%","1","75","0","0","0","1","0","1","0","0","0","2","0","1","1","0","0","0","0","2","0"
"*0637b*","Orel Mangala","NOT","M","238","W (Thu)","LUT 2<br/>@NOT 2 F","5.5","5.5","0%","-","2%","+0.8%","1","90","0","1","0","0","0","0","0","0","0","1","1","2","0","1","0","0","0","2","0"
"*03rzp*","Antonee Robinson","FUL","D","157","Vroom","FUL 0<br/>@TOT 2 F","5.25","5.25","83%","116.11","60%","-11.1%","1","90","0","0","0","0","1","0","0","0","0","5","1","3","0","0","0","0","0","2","0"
"*06c4o*","Lyle Foster","BUR","F","84","avitek","BUR 0<br/>@BRF 3 F","5","5","1%","1120.94","52%","+13.3%","1","90","0","2","0","0","0","1","0","0","0","0","1","0","0","3","0","0","0","3","0"
"*06fxf*","Sofyan Amrabat","MUN","M","291","Adam","MUN 2<br/>@SHU 1 F","5","5","0%","-","31%","-3%","1","90","0","0","0","0","3","1","0","0","0","1","1","0","0","3","0","0","0","1","0"
