team,position,player (nunique),fpts (mean),team (nunique),opponent (nunique),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean)
WHU,FW,2,4.7,1,4,0.2,0.6,0.2,0.2,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.8,0.0,0.0,0.0,0.8,0.4,1.4,0.2,0.0,1.7,-0.7,1.0
LUT,AM,3,4.67,1,1,0.0,1.0,0.0,0.33,0.67,1.33,0.67,0.0,1.0,0.33,0.33,1.0,0.33,1.33,0.0,0.0,0.0,1.33,0.0,3.0,0.67,0.0,4.67,-2.0,1.0
BRF,LB,2,4.62,1,4,0.0,1.25,0.25,0.0,0.5,1.25,0.0,0.0,0.5,0.75,1.0,1.5,0.75,0.75,0.0,0.0,0.0,2.0,0.25,1.0,0.0,0.0,2.88,-4.62,1.0
SHU,FW,4,4.56,1,4,0.11,0.44,0.22,0.33,0.11,1.67,0.22,0.0,0.22,0.22,0.33,0.67,0.22,1.0,0.0,0.0,0.0,2.44,0.22,1.89,0.56,0.0,2.22,-1.28,1.0
BHA,CB,4,4.55,1,5,0.09,0.45,0.0,0.27,0.64,0.0,0.09,0.0,0.09,0.73,2.55,0.09,1.0,2.09,0.0,0.0,0.0,1.45,0.09,0.73,0.0,0.0,3.64,-3.09,1.0
MUN,RM,3,4.5,1,2,0.0,1.0,0.0,0.33,0.33,0.67,0.0,0.0,0.0,0.33,0.67,1.33,0.0,0.33,0.0,0.0,0.0,1.0,0.0,0.33,0.0,0.0,4.5,-0.33,1.0
WOL,DM,4,4.5,1,1,0.0,0.5,0.0,0.0,2.25,0.25,0.0,0.0,0.0,1.0,1.0,0.25,0.0,0.25,0.0,0.0,0.0,2.0,0.0,0.75,0.0,0.0,4.5,-0.12,1.0
WOL,AM,1,4.5,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.5,0.0,1.0
BOU,AM,6,4.5,1,4,0.0,1.12,0.0,0.25,0.25,0.75,0.0,0.0,0.38,0.5,0.38,0.5,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.62,0.0,0.0,4.38,-0.38,1.0
ARS,CM,4,4.44,1,5,0.12,0.0,0.0,0.62,1.0,0.62,0.12,0.0,0.0,0.75,0.75,0.12,0.12,1.0,0.0,0.0,0.0,0.75,0.12,0.75,0.12,0.0,3.19,-0.56,1.0
FUL,RB,3,4.4,1,4,0.0,0.2,0.0,0.0,0.6,0.6,0.0,0.0,0.8,1.0,1.6,1.2,0.0,1.2,0.0,0.0,0.0,1.2,0.0,1.0,0.0,0.0,3.2,-2.3,1.0
ARS,CB,3,4.34,1,5,0.0,0.36,0.09,0.0,0.36,0.09,0.09,0.0,0.09,1.27,1.18,0.09,0.64,1.55,0.0,0.0,0.0,1.09,0.09,0.64,0.0,0.0,2.61,-2.41,1.0
MUN,CM,3,4.33,1,1,0.0,1.0,0.0,0.0,0.67,0.67,0.0,0.0,0.33,0.67,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,3.67,-0.33,1.0
FUL,LM,4,4.31,1,4,0.0,1.0,0.25,0.12,0.0,1.0,0.12,0.0,0.12,0.25,0.5,0.62,0.0,0.38,0.0,0.0,0.0,0.75,0.12,0.75,0.0,0.0,2.69,-0.75,1.0
CRY,CM,4,4.31,1,2,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,1.5,1.0,0.5,0.25,0.5,0.0,0.0,0.0,0.5,0.0,1.25,0.0,0.0,3.81,-0.5,1.0
BUR,FW,6,4.21,1,5,0.17,0.42,0.08,0.42,0.33,0.5,0.0,0.08,0.0,0.08,0.42,0.42,0.25,0.58,0.0,0.0,0.0,1.92,0.25,1.33,0.5,0.0,2.21,-0.83,1.0
BHA,AM,4,4.14,1,5,0.09,0.91,0.0,0.18,0.36,1.09,0.0,0.0,0.09,0.27,0.45,0.45,0.0,0.64,0.0,0.09,0.0,0.64,0.09,0.45,0.09,0.09,3.32,-0.55,1.0
MUN,CB,7,4.08,1,5,0.07,0.67,0.13,0.07,0.67,0.33,0.07,0.0,0.07,0.4,1.27,0.2,0.2,0.93,0.0,0.0,0.0,0.93,0.2,0.73,0.07,0.0,2.08,-2.17,1.0
BRF,CB,5,4.08,1,4,0.0,0.33,0.08,0.0,0.92,0.33,0.0,0.0,0.08,1.08,3.67,0.25,0.42,2.67,0.0,0.0,0.0,1.67,0.08,0.08,0.0,0.0,3.5,-3.5,1.0
BOU,RW,5,4.0,1,4,0.0,0.5,0.12,0.38,0.5,0.62,0.0,0.0,0.12,0.12,0.0,0.88,0.0,0.12,0.0,0.0,0.0,0.88,0.0,0.75,0.0,0.0,3.12,-0.31,1.0
BRF,LM,2,4.0,1,3,0.0,0.25,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.25,0.5,0.25,0.0,2.5,0.0,1.0
EVE,RW,1,4.0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
CHE,CM,4,3.88,1,3,0.0,0.75,0.0,0.12,0.62,0.25,0.38,0.0,0.12,0.75,0.62,0.62,0.38,0.5,0.0,0.0,0.0,0.5,0.0,2.38,0.0,0.0,3.62,-0.88,1.0
MUN,LB,5,3.85,1,5,0.0,0.6,0.0,0.0,1.0,0.8,0.4,0.0,0.0,1.6,3.2,0.4,0.6,0.8,0.0,0.0,0.0,1.4,0.0,3.4,0.2,0.0,2.65,-3.6,1.0
LUT,RB,4,3.81,1,2,0.0,0.75,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.5,1.5,0.5,0.25,0.75,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,3.81,-1.25,1.0
LUT,CM,6,3.77,1,4,0.0,1.0,0.0,0.08,0.85,0.77,0.15,0.0,0.31,0.46,0.69,0.38,0.08,0.46,0.0,0.0,0.0,1.08,0.0,1.77,0.0,0.0,3.77,-0.69,1.0
SHU,AM,2,3.75,1,1,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.5,0.0,0.0,3.75,-0.75,1.0
FUL,CM,2,3.7,1,4,0.0,0.2,0.0,0.0,1.4,0.8,0.4,0.0,0.0,1.4,0.6,0.6,0.2,1.4,0.0,0.0,0.0,1.4,0.0,2.6,0.2,0.0,3.5,-1.2,1.0
NOT,LB,4,3.62,1,2,0.0,0.5,0.25,0.0,0.75,0.0,0.0,0.25,0.25,0.0,2.5,0.5,0.25,0.75,0.0,0.0,0.0,0.25,0.25,2.5,0.0,0.0,1.88,-2.25,1.0
AVL,CB,3,3.57,1,3,0.0,0.0,0.0,0.0,0.71,0.0,0.14,0.0,0.0,0.29,2.29,0.14,0.71,0.86,0.0,0.0,0.0,0.57,0.0,1.0,0.14,0.0,1.86,-1.43,1.0
CHE,LW,1,3.5,1,2,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
CRY,RB,3,3.45,1,4,0.0,0.2,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.2,2.2,0.4,0.2,0.2,0.0,0.0,0.0,0.6,0.0,1.0,0.0,0.0,1.05,-1.6,1.0
SHU,CM,6,3.38,1,4,0.0,0.57,0.0,0.36,0.79,0.79,0.21,0.0,0.14,0.5,1.43,0.14,0.36,1.0,0.0,0.0,0.0,2.36,0.0,1.36,0.0,0.0,3.38,-1.11,1.0
BUR,CM,5,3.38,1,5,0.08,0.67,0.08,0.08,0.75,0.58,0.33,0.0,0.08,0.17,0.25,0.08,0.33,0.33,0.0,0.0,0.0,2.25,0.17,1.92,0.0,0.0,2.12,-0.96,1.0
FUL,FW,3,3.31,1,4,0.12,0.62,0.0,0.38,0.12,1.5,0.0,0.0,0.0,0.12,0.62,0.25,0.0,0.88,0.0,0.0,0.0,0.75,0.12,0.38,0.5,0.0,2.19,-0.75,1.0
CHE,RW,2,3.25,1,1,0.0,1.0,0.0,0.5,0.5,3.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.25,-1.5,1.0
BOU,CB,4,3.12,1,4,0.0,0.2,0.0,0.0,0.7,0.1,0.2,0.0,0.0,0.6,1.9,0.8,1.0,1.2,0.0,0.0,0.0,1.4,0.0,1.2,0.0,0.0,1.92,-3.25,1.0
FUL,RM,3,3.07,1,4,0.0,1.14,0.0,0.0,0.57,0.71,0.14,0.0,0.14,0.0,0.29,0.0,0.29,0.57,0.0,0.0,0.0,0.71,0.0,1.0,0.0,0.0,2.93,-0.64,1.0
BUR,RW,4,3.0,1,2,0.0,0.2,0.0,0.4,0.4,0.8,0.0,0.0,0.2,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.0,0.0,3.0,-0.4,1.0
LUT,RW,2,3.0,1,1,0.0,1.0,0.0,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,3.0,-0.75,1.0
EVE,RB,2,2.96,1,5,0.0,0.43,0.0,0.0,1.0,0.29,0.29,0.0,0.43,0.86,1.0,0.43,0.0,0.43,0.0,0.0,0.0,0.71,0.0,1.29,0.0,0.0,2.11,-2.14,1.0
NOT,DM,4,2.9,1,2,0.0,0.2,0.0,0.0,1.0,0.2,0.2,0.0,0.0,1.0,0.8,0.2,0.4,0.8,0.0,0.0,0.0,0.4,0.0,2.2,0.2,0.0,2.9,-0.5,1.0
BUR,RM,7,2.88,1,5,0.0,0.62,0.0,0.12,0.62,0.62,0.12,0.0,0.25,0.12,0.5,0.5,0.0,0.88,0.0,0.0,0.0,1.75,0.0,1.5,0.0,0.0,2.88,-0.56,1.0
SHU,WB,5,2.84,1,3,0.12,0.38,0.0,0.38,0.5,0.62,0.12,0.0,0.25,0.62,1.75,0.88,0.38,0.38,0.0,0.0,0.0,1.38,0.12,1.0,0.0,0.0,1.59,-3.31,1.0
LIV,CM,2,2.83,1,3,0.0,0.33,0.17,0.0,0.83,0.33,0.0,0.17,0.0,0.33,0.67,0.83,0.0,0.67,0.0,0.0,0.0,0.33,0.17,2.5,0.0,0.0,1.67,-1.33,1.0
EVE,DM,2,2.75,1,1,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,2.75,-0.75,1.0
WOL,LM,5,2.75,1,3,0.14,0.29,0.0,0.14,0.14,0.29,0.14,0.14,0.0,0.43,0.71,1.29,0.43,0.14,0.0,0.0,0.0,0.86,0.14,2.29,0.29,0.0,1.46,-2.0,1.0
LIV,LM,4,2.7,1,3,0.0,0.2,0.0,0.2,1.0,0.8,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.8,0.0,0.0,0.0,0.4,0.0,0.4,0.2,0.0,2.5,-0.4,1.0
MUN,LM,3,2.67,1,2,0.0,0.33,0.0,0.0,0.67,0.67,0.0,0.0,0.0,0.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.33,-0.33,1.0
BOU,LW,4,2.62,1,4,0.0,0.25,0.0,0.25,0.5,0.62,0.0,0.0,0.0,0.5,0.38,0.88,0.0,0.12,0.0,0.0,0.0,0.88,0.0,1.0,0.38,0.0,2.62,-0.31,1.0
MCI,DM,5,2.56,1,3,0.0,0.25,0.12,0.0,0.75,0.38,0.25,0.12,0.12,0.25,1.25,1.0,0.12,0.5,0.0,0.0,0.0,0.25,0.12,3.0,0.0,0.0,1.44,-1.56,1.0
BOU,RB,2,2.5,1,4,0.0,0.8,0.0,0.0,0.6,1.0,0.0,0.0,0.4,0.6,0.8,0.8,0.2,0.2,0.0,0.0,0.0,1.4,0.0,1.4,0.2,0.0,1.3,-3.3,1.0
ARS,LB,4,2.42,1,5,0.0,0.44,0.0,0.22,0.78,0.0,0.11,0.0,0.0,0.44,0.78,0.0,0.11,0.67,0.0,0.0,0.0,0.78,0.0,0.67,0.11,0.0,1.75,-1.78,1.0
BHA,RB,2,2.29,1,5,0.0,0.14,0.14,0.14,1.14,0.29,0.14,0.0,0.0,0.71,1.29,0.0,0.0,0.43,0.0,0.0,0.0,1.14,0.14,1.57,0.0,0.0,1.14,-1.86,1.0
SHU,RW,2,2.25,1,1,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.5,0.0,0.0,2.25,-0.25,1.0
NOT,RW,3,2.25,1,3,0.0,0.25,0.0,0.25,0.25,0.5,0.0,0.0,0.25,0.0,0.25,0.75,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,2.25,-0.25,1.0
FUL,CB,3,2.25,1,4,0.0,0.0,0.0,0.1,1.3,0.5,0.1,0.1,0.0,0.6,2.0,0.1,0.1,1.6,0.0,0.0,0.0,1.1,0.0,1.6,0.0,0.0,1.05,-3.35,1.0
BOU,LB,2,2.2,1,4,0.0,0.2,0.0,0.0,0.8,0.6,0.2,0.0,0.4,0.4,2.0,0.8,0.2,1.0,0.0,0.0,0.0,1.4,0.0,1.6,0.0,0.0,1.0,-3.5,1.0
BRF,WB,1,2.0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,-2.0,1.0
SHU,RB,1,2.0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,-2.0,1.0
WHU,LW,2,1.93,1,4,0.0,0.29,0.0,0.14,0.43,1.57,0.29,0.0,0.29,0.43,0.43,0.71,0.0,0.86,0.0,0.0,0.0,1.14,0.0,1.71,0.29,0.0,1.79,-1.36,1.0
LUT,RM,3,1.83,1,2,0.0,0.0,0.33,0.0,0.33,1.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,1.33,0.33,0.0,-0.5,-1.17,1.0
WOL,CM,3,1.81,1,3,0.0,0.12,0.0,0.12,0.75,0.75,0.12,0.12,0.12,0.88,0.88,0.5,0.38,0.38,0.0,0.0,0.0,1.5,0.0,3.0,0.0,0.0,1.81,-1.5,1.0
BRF,RB,3,1.33,1,4,0.0,0.33,0.0,0.17,1.17,0.5,0.17,0.0,0.0,0.17,1.0,0.67,0.17,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.33,-2.58,1.0
WOL,CB,3,0.57,1,4,0.0,0.27,0.0,0.09,0.45,0.27,0.27,0.0,0.0,0.73,3.91,0.18,0.91,0.91,0.0,0.0,0.0,1.82,0.0,1.91,0.18,0.0,0.57,-4.32,1.0
CHE,RM,1,0.5,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,1.0
WOL,RB,1,0.5,1,2,0.0,0.0,0.0,0.0,1.5,1.0,0.5,0.0,1.5,1.0,2.0,3.5,0.5,0.5,0.0,0.0,0.0,3.5,0.0,2.5,0.0,0.0,0.5,-8.5,1.0
CHE,LM,1,0.5,1,2,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,-1.5,1.0
BUR,CB,4,0.32,1,5,0.0,0.29,0.0,0.14,1.14,0.14,0.21,0.0,0.07,1.57,1.86,0.21,0.93,1.64,0.0,0.0,0.07,2.86,0.0,1.29,0.0,0.0,0.32,-6.57,1.0
AVL,CM,1,0.25,1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,-0.25,1.0
SHU,RM,2,0.25,1,1,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.25,-1.75,1.0
BUR,AM,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
WHU,RM,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SHU,LW,2,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BHA,RM,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EVE,LW,2,-0.25,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,-0.25,-0.5,1.0
NOT,RB,2,-0.25,1,2,0.0,0.0,0.0,0.0,1.5,1.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,-0.25,-3.5,1.0
MCI,CM,2,-0.75,1,1,0.0,0.0,0.0,0.0,0.5,1.5,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-0.75,-1.75,1.0
SHU,CB,4,-0.75,1,4,0.0,0.0,0.0,0.08,0.62,0.31,0.46,0.0,0.0,1.54,5.62,0.23,1.0,1.38,0.0,0.0,0.0,3.0,0.0,2.46,0.0,0.0,-0.75,-7.08,1.0
WOL,LB,2,-0.88,1,2,0.0,0.25,0.0,0.0,1.5,1.25,0.0,0.0,0.0,0.75,1.0,0.75,0.25,0.5,0.0,0.0,0.25,1.75,0.0,0.5,0.0,0.0,-0.88,-5.38,1.0
BHA,LM,1,-1.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,-1.0,-2.0,1.0
BHA,CM,1,-2.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,-2.0,-2.0,1.0
BUR,LB,3,-2.06,1,4,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.75,1.25,0.25,0.5,0.75,0.0,0.0,0.0,3.25,0.0,1.0,0.0,0.0,-2.06,-6.62,1.0
BUR,RB,3,-2.25,1,5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.17,0.83,1.33,0.0,0.33,0.17,0.0,0.0,0.0,2.67,0.0,0.67,0.0,0.0,-2.25,-5.58,1.0
SHU,LB,2,-3.5,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,1.5,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-3.5,-8.0,1.0
