Player,Team,Position,FPTS,MIN,GS,LiveRkOv,G,A,PTS,S,SOT,FC,FS,YC,RC,DPT,OFF,PKG,CS,90s,FPts/90
Donny van de Beek,MUN,M,2.0,1,0,378.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.01,200.0
Douglas Luiz,AVL,M,70.0,669,8,49.12,3,0,3,16,4,9,13,4,0,21,0,2,2,7.43,9.42
Dwight McNeil,EVE,M,39.5,364,4,206.6,0,1,1,11,2,3,6,0,0,3,1,0,1,4.04,9.78
Eberechi Eze,CRY,M,104.0,627,7,12.0,1,0,1,27,8,7,13,1,0,10,1,0,3,6.97,14.92
Eddie Nketiah,ARS,F,63.0,567,7,57.5,2,0,2,18,3,8,11,1,0,11,5,0,4,6.3,10.0
Edson Alvarez,WHU,M,20.0,499,6,245.71,0,0,0,3,1,12,3,4,0,24,0,0,1,5.54,3.61
Elijah Adebayo,LUT,F,29.5,325,4,194.0,1,0,1,5,1,9,3,0,0,9,3,0,0,3.61,8.17
Elliot Anderson,NEW,M,46.5,392,4,113.88,0,1,1,7,3,5,7,0,0,5,0,0,3,4.36,10.67
Emerson,WHU,D,46.5,720,8,122.75,0,1,1,3,0,9,10,4,0,21,0,0,1,8.0,5.81
Emerson Royal,TOT,D,11.25,108,1,302.2,1,0,1,1,1,2,3,0,0,2,0,0,0,1.2,9.38
Emile Smith Rowe,ARS,M,5.5,9,0,333.0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.1,55.0
Enzo Fernandez,CHE,M,49.5,685,8,104.88,0,0,0,16,5,8,13,3,0,17,1,0,3,7.61,6.5
Erling Haaland,MCI,F,136.0,707,8,2.38,8,1,9,32,18,5,5,0,0,5,1,1,3,7.86,17.3
Ethan Pinnock,BRF,D,69.25,720,8,60.0,0,0,0,6,1,0,2,0,0,0,0,0,1,8.0,8.66
Evan Ferguson,BHA,F,65.5,356,5,54.12,4,0,4,16,11,9,10,0,0,9,4,0,0,3.96,16.54
Ezri Konsa,AVL,D,29.5,720,8,199.38,0,0,0,3,1,5,12,1,0,8,0,0,2,8.0,3.69
Fabian Schar,NEW,D,40.75,720,8,132.75,0,0,0,5,1,10,4,1,0,13,0,0,3,8.0,5.09
Fabio Silva,WOL,F,19.0,246,3,239.0,0,0,0,7,3,5,4,1,0,8,4,0,1,2.73,6.96
Fabio Vieira,ARS,M,35.5,182,2,141.0,0,2,2,5,1,5,7,0,0,5,1,0,1,2.02,17.57
Facundo Buonanotte,BHA,M,2.5,45,1,364.0,0,0,0,1,1,2,4,0,0,2,0,0,0,0.5,5.0
Facundo Pellistri,MUN,M,5.5,80,1,332.0,0,0,0,1,0,1,5,0,0,1,0,0,0,0.89,6.18
Frank Onyeka,BRF,M,22.5,120,0,233.17,0,0,0,5,1,4,8,1,0,7,0,0,0,1.33,16.92
Gabriel Jesus,ARS,F,41.5,293,3,135.0,1,0,1,7,3,11,9,2,0,17,2,0,2,3.26,12.73
Gabriel Magalhaes,ARS,D,44.0,472,5,151.29,0,0,0,1,0,6,6,1,0,9,0,0,3,5.24,8.4
Gabriel Martinelli,ARS,M,55.5,400,5,126.17,1,2,3,11,5,4,4,0,0,4,1,0,1,4.44,12.5
George Baldock,SHU,D,8.25,250,3,308.0,0,0,0,0,0,5,4,1,0,8,0,0,0,2.78,2.97
Giovani Lo Celso,TOT,M,2.0,15,0,377.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.17,11.76
Gonzalo Montiel,NOT,D,5.25,164,1,351.25,0,0,0,2,0,5,0,2,0,11,1,0,0,1.82,2.88
Gustavo Hamer,SHU,M,63.0,558,7,64.43,2,0,2,10,5,8,3,1,0,11,0,0,0,6.2,10.16
Hamed Traore,BOU,M,10.0,41,0,301.0,0,0,0,3,2,0,0,0,0,0,0,0,0,0.46,21.74
Hannes Delcroix,BUR,D,-0.25,228,2,429.8,0,0,0,4,2,3,0,1,0,6,0,0,0,2.53,-0.1
Hannibal Mejbri,MUN,M,19.0,115,1,236.0,1,0,1,1,1,2,3,1,0,5,1,0,1,1.28,14.84
Harrison Reed,FUL,M,34.5,490,6,151.75,0,1,1,1,0,6,5,1,0,9,0,0,3,5.44,6.34
Harry Maguire,MUN,D,11.0,114,1,578.33,0,1,1,0,0,2,1,0,0,2,1,0,0,1.27,8.66
Harry Toffolo,NOT,D,26.25,119,1,247.0,0,1,1,1,1,0,0,0,0,0,0,0,1,1.32,19.89
Harry Wilson,FUL,M,25.5,484,6,208.62,0,0,0,8,3,5,14,0,0,5,0,0,2,5.38,4.74
Harvey Barnes,NEW,M,24.5,179,2,201.0,1,1,2,6,2,1,7,1,0,4,0,0,1,1.99,12.31
Harvey Elliott,LIV,M,11.5,159,1,294.17,0,0,0,4,0,0,1,1,0,3,0,0,0,1.77,6.5
Hugo Bueno,WOL,D,6.75,135,1,319.0,0,0,0,3,0,1,1,0,0,1,0,0,1,1.5,4.5
Hwang Hee-Chan,WOL,F,72.5,408,5,73.5,5,0,5,12,5,4,7,2,0,10,2,0,0,4.53,16.0
Ian Maatsen,CHE,D,4.25,79,0,342.33,0,0,0,3,0,2,1,1,0,5,0,0,0,0.88,4.83
Ibrahim Sangare,NOT,M,16.5,296,4,276.25,0,0,0,2,0,5,2,2,0,11,1,0,1,3.29,5.02
Ibrahima Konate,LIV,D,11.5,217,2,271.2,0,0,0,1,0,3,2,0,0,3,0,0,0,2.41,4.77
Idrissa Gueye,EVE,M,29.0,538,7,177.0,0,0,0,6,1,8,11,1,0,11,0,0,0,5.98,4.85
Igor Julio dos Santos de Paulo,BHA,D,2.5,62,1,379.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.69,3.62
Illia Zabarnyi,BOU,D,28.5,720,8,216.88,0,0,0,2,1,4,7,1,0,7,0,0,1,8.0,3.56
Issa Diop,FUL,D,27.5,700,8,226.5,0,0,0,3,1,8,4,2,0,14,0,0,3,7.78,3.53
Issa Kabore,LUT,D,32.25,475,6,159.0,0,0,0,4,0,9,6,2,0,15,0,0,0,5.28,6.11
Ivan Perisic,TOT,M,24.5,93,0,202.0,0,1,1,2,0,2,1,2,0,8,0,0,0,1.03,23.79
