Player,Team,Position,GW,FPTS,Ghost Points,Overperformance,HeatStreak,Negative Fpts,Ros Rank,LiveRkOv,LiveRkOvByPos,Ros RankByPos,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,ROS %,MIN
Christian Norgaard,BRF,M,8,3.0,3.0,-21,29.5,-2.0,200,63,22,1,1,1,0,0,0,1,1,0,1,0,0,2,4,0,0,0,0,0,0,2,0,67%,90
Leon Bailey,AVL,F,8,3.0,3.0,-34,18.0,0.0,200,126,35,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,57%,7
Callum Hudson-Odoi,NOT,F,8,3.0,3.0,-42,7.0,0.0,200,198,43,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,38%,65
Mario Lemina,WOL,M,8,3.0,3.0,-50,5.0,-7.0,200,157,51,1,1,1,0,0,0,1,2,0,0,1,0,3,0,1,1,2,0,0,0,1,0,11%,88
Jan-Paul van Hecke,BHA,D,8,3.0,3.0,-60,9.25,0.0,200,252,61,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,7%,26
Connor Roberts,BUR,D,8,3.0,3.0,-94,12.5,-4.0,200,719,95,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7%,28
Frank Onyeka,BRF,M,8,3.0,3.0,-71,6.0,0.0,200,234,72,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0%,19
Jamaal Lascelles,NEW,D,8,2.75,2.75,-64,15.25,-4.0,200,268,65,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,2,0,15%,90
Craig Dawson,WOL,D,8,2.75,2.75,-46,9.25,-4.0,200,191,47,1,1,1,0,1,0,0,0,0,1,0,0,0,7,0,1,2,0,0,0,1,0,14%,90
Pascal Gross,BHA,M,8,2.5,2.5,-12,25.0,0.0,200,32,13,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,100%,90
Lucas Paqueta,WHU,M,8,2.5,2.5,-18,16.0,-3.5,200,52,19,1,1,1,0,0,0,0,2,3,1,0,0,1,1,0,0,6,0,0,0,2,0,100%,90
Moussa Diaby,AVL,F,8,2.5,2.5,-9,27.0,-0.5,200,27,10,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,97%,61
Dominic Solanke,BOU,F,8,2.5,2.5,-15,21.0,-4.5,200,51,16,1,1,1,0,1,0,1,0,5,1,0,1,0,2,1,1,0,0,0,0,3,0,96%,90
Kyle Walker,MCI,D,8,2.5,2.5,-19,19.0,-2.0,200,92,20,1,1,1,0,0,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,1,0,95%,90
Boubacar Kamara,AVL,M,8,2.5,2.5,-35,24.0,-2.0,200,118,36,1,1,1,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,20%,81
Nelson Semedo,WOL,D,8,2.5,2.5,-55,7.5,-4.0,200,223,56,1,1,1,0,0,0,1,0,0,1,0,0,0,2,3,0,1,0,0,0,1,0,20%,90
Rayan Ait-Nouri,WOL,D,8,2.5,2.5,-62,8.0,0.0,200,257,63,1,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4%,45
Chris Wood,NOT,F,8,2.5,2.5,-51,4.5,-1.5,200,245,52,1,1,1,0,1,0,0,1,3,0,0,0,0,1,0,0,2,0,0,0,0,1,3%,75
Igor Julio dos Santos de Paulo,BHA,D,8,2.5,2.5,-89,0.0,-4.0,200,379,90,1,1,1,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,2,0,2%,62
Chris Basham,SHU,D,8,2.5,2.5,-65,6.75,0.0,200,272,66,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0%,34
Teden Mengi,LUT,D,8,2.5,2.5,-76,0.0,0.0,200,316,77,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0%,30
Fabian Schar,NEW,D,8,2.25,2.25,-30,23.75,-4.0,200,138,31,1,1,1,0,0,0,0,1,0,0,0,0,1,9,0,0,2,0,0,0,2,0,95%,90
Mads Roerslev,BRF,D,8,2.25,2.25,-63,9.0,-4.5,200,258,64,1,1,1,0,1,0,0,2,1,0,0,1,0,3,0,0,1,0,0,0,2,0,4%,90
Evan Ferguson,BHA,F,8,2.0,2.0,-18,5.0,-1.5,200,62,19,1,1,1,0,1,0,0,1,3,0,0,0,0,2,0,0,1,0,0,0,2,0,98%,59
Levi Colwill,CHE,D,8,2.0,2.0,-11,31.5,-2.0,200,59,12,1,1,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,94%,90
Odsonne Edouard,CRY,F,8,2.0,2.0,-12,21.5,-1.5,200,38,13,1,1,1,0,1,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0,1,81%,90
Axel Disasi,CHE,D,8,2.0,2.0,-16,14.5,-3.0,200,80,17,1,1,1,0,0,0,0,0,2,0,0,0,0,4,1,1,2,0,0,0,1,0,81%,90
Matheus Cunha,WOL,F,8,2.0,2.0,-22,18.5,0.0,200,79,23,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,66%,75
Harry Wilson,FUL,M,8,2.0,2.0,-68,6.0,0.0,200,220,69,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,44%,11
Joseph Gomez,LIV,D,8,2.0,2.0,-37,12.25,-2.0,200,156,38,1,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25%,9
Jean-Philippe Mateta,CRY,F,8,2.0,2.0,-43,6.5,-1.5,200,199,44,1,1,1,0,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,10%,90
Jacob Murphy,NEW,M,8,2.0,2.0,-82,14.0,0.0,200,277,83,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6%,7
David Brooks,BOU,M,8,2.0,2.0,-64,5.0,0.0,200,204,65,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5%,22
James Mcatee,SHU,M,8,2.0,2.0,-87,5.5,0.0,200,293,88,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4%,23
Calvin Bassey,FUL,D,8,2.0,2.0,-99,-5.5,0.0,200,731,100,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1%,18
Boubacar Traore,WOL,M,8,2.0,2.0,-97,4.0,0.0,200,352,98,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0%,20
Rodrigo Muniz,FUL,F,8,2.0,2.0,-66,1.0,-1.0,200,393,67,1,0,1,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0%,11
Saman Ghoddos,BRF,F,8,2.0,2.0,-62,7.0,0.0,200,329,63,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0%,6
Emerson Royal,TOT,D,8,1.75,1.75,-71,1.0,0.0,200,299,72,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,17%,13
Victor Lindelof,MUN,D,8,1.75,1.75,-66,7.25,-2.5,200,275,67,1,1,1,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,11%,70
Gonzalo Montiel,NOT,D,8,1.75,1.75,-83,5.0,0.0,200,346,84,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2%,45
Virgil van Dijk,LIV,D,8,1.5,1.5,-22,42.75,-4.0,200,97,23,1,1,1,0,0,0,0,0,0,0,0,0,0,6,0,2,2,0,0,0,2,0,100%,90
Bernardo Silva,MCI,M,8,1.5,1.5,-46,26.0,-2.5,200,143,47,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,1,0,99%,90
Mason Mount,MUN,M,8,1.5,1.5,-80,14.5,-1.0,200,264,81,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,96%,62
Leandro Trossard,ARS,M,8,1.5,1.5,-56,30.0,-0.5,200,172,57,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94%,45
Rasmus Hojlund,MUN,F,8,1.5,1.5,-58,10.5,-1.5,200,276,59,1,1,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,88%,90
Jordan Ayew,CRY,F,8,1.5,1.5,-21,14.0,-2.0,200,78,22,1,1,1,0,0,0,1,0,4,0,0,0,0,0,1,0,1,0,0,0,0,1,75%,90
Matheus Nunes,MCI,M,8,1.5,1.5,-63,14.5,-0.5,200,193,64,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,67%,21
Beto,EVE,F,8,1.5,1.5,-47,13.5,0.0,200,225,48,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,31%,6
Anthony Martial,MUN,F,8,1.5,1.5,-54,8.0,-0.5,200,263,55,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12%,18
Aaron Ramsey,BUR,M,8,1.5,1.5,-89,10.5,-0.5,200,304,90,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3%,28
Mike Tresor,BUR,F,8,1.5,1.5,-63,6.0,-0.5,200,341,64,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2%,60
Joe Rothwell,BOU,M,8,1.5,1.5,-83,4.5,-0.5,200,278,84,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1%,45
Jacob Bruun Larsen,BUR,F,8,1.5,1.5,-49,17.0,-0.5,200,236,50,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,10
Cheikhou Kouyate,NOT,M,8,1.5,1.5,-93,4.5,0.0,200,325,94,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0%,6
Ben Davies,TOT,D,8,1.25,1.25,-69,2.25,0.0,200,291,70,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8%,7
Jeffrey Schlupp,CRY,M,8,1.0,1.0,-43,5.5,0.0,200,136,44,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31%,25
Pierre-Emile Hojbjerg,TOT,M,8,1.0,1.0,-100,1.0,-2.0,200,384,101,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,15%,45
Harvey Elliott,LIV,M,8,1.0,1.0,-88,7.5,-1.0,200,295,89,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,14%,45
Will Hughes,CRY,M,8,1.0,0.0,-73,13.0,-1.0,200,240,74,1,1,1,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,1,5%,90
Sasa Kalajdzic,WOL,F,8,1.0,1.0,-53,13.0,-2.0,200,259,54,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2%,13
Trent Alexander-Arnold,LIV,D,8,0.75,0.75,-27,27.25,-4.0,200,131,28,1,1,1,0,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,2,0,100%,79
Anel Ahmedhodzic,SHU,D,8,0.75,0.75,-80,-10.25,-6.0,200,333,81,1,1,1,0,0,0,0,2,0,0,0,0,3,3,0,0,1,0,0,0,3,0,12%,90
Nathan Ake,MCI,D,8,0.5,0.5,-31,3.5,-2.0,200,147,32,1,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,89%,90
Eddie Nketiah,ARS,F,8,0.5,0.5,-19,18.0,-0.5,200,68,20,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,83%,74
Michail Antonio,WHU,F,8,0.5,0.5,-30,12.0,-2.0,200,103,31,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,2,0,74%,74
Armando Broja,CHE,F,8,0.5,0.5,-59,13.5,-0.5,200,284,60,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,42%,45
Harrison Reed,FUL,M,8,0.5,0.5,-55,12.0,0.0,200,171,56,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8%,10
Toti,WOL,D,8,0.5,0.5,-85,2.0,-2.0,200,353,86,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,1%,90
Matt Doherty,WOL,D,8,0.25,0.25,-90,2.75,-2.0,200,380,91,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,17%,45
Callum Wilson,NEW,F,8,0.0,0.0,-24,27.0,0.0,200,82,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,96%,3
Antony,MUN,F,8,0.0,0.0,-39,17.5,0.0,200,189,40,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77%,26
Ansu Fati,BHA,F,8,0.0,0.0,-56,11.5,0.0,200,269,57,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69%,1
Said Benrahma,WHU,M,8,0.0,0.0,-51,4.0,0.0,200,159,52,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65%,14
Ryan Christie,BOU,M,8,0.0,0.0,-27,14.0,-1.0,200,94,28,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,2,0,41%,45
Thomas Partey,ARS,M,8,0.0,0.0,-67,18.0,0.0,200,212,68,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40%,14
Anthony Elanga,NOT,F,8,0.0,0.0,-33,8.0,0.0,200,123,34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39%,23
Youri Tielemans,AVL,M,8,0.0,0.0,-98,-0.5,0.0,200,377,99,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32%,7
Danny Welbeck,BHA,F,8,0.0,0.0,-45,1.5,0.0,200,216,46,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29%,29
Josh Cullen,BUR,M,8,0.0,0.0,-52,19.0,-2.0,200,161,53,1,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,8%,60
Ross Barkley,LUT,M,8,0.0,0.0,-85,13.5,-0.5,200,283,86,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7%,8
Ian Maatsen,CHE,D,8,0.0,0.0,-86,2.75,0.0,200,354,87,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6%,3
Max Aarons,BOU,D,8,0.0,0.0,-73,-9.75,0.0,200,306,74,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6%,3
Takehiro Tomiyasu,ARS,D,8,0.0,0.0,-81,1.5,0.0,200,335,82,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4%,14
Nathan Patterson,EVE,D,8,0.0,0.0,-59,5.5,0.0,200,243,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4%,11
Fabio Silva,WOL,F,8,0.0,0.0,-52,0.0,0.0,200,251,53,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3%,3
Matt Targett,NEW,D,8,0.0,0.0,-101,-7.5,0.0,200,733,102,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1%,1
Alejo Veliz,TOT,F,8,0.0,0.0,-69,0.0,0.0,200,724,70,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1%,1
Rhian Brewster,SHU,F,8,0.0,0.0,-65,0.0,0.0,200,382,66,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1%,10
Youssef Ramalho Chermiti,EVE,F,8,0.0,0.0,-68,-1.0,0.0,200,718,69,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1
Luke Berry,LUT,M,8,0.0,0.0,-101,0.0,0.0,200,435,102,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,23
Luke Thomas,SHU,D,8,-0.25,-0.25,-95,-4.0,-2.5,200,723,96,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,3%,65
Julian Alvarez,MCI,F,8,-0.5,-0.5,-4,22.0,-0.5,200,9,5,1,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,100%,67
Thiago Silva,CHE,D,8,-0.5,-0.5,-17,16.75,-4.0,200,83,18,1,1,1,0,0,0,0,1,0,1,0,0,0,2,0,0,2,0,0,0,1,0,92%,90
Mykhailo Mudryk,CHE,M,8,-0.5,-0.5,-59,17.5,-0.5,200,180,60,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,82%,6
Nicolo Zaniolo,AVL,M,8,-0.5,-0.5,-79,7.0,-0.5,200,262,80,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29%,27
Jorginho,ARS,M,8,-0.5,-1.5,-99,0.5,-2.5,200,383,100,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,8%,74
Sander Berge,BUR,M,8,-0.5,-0.5,-58,19.5,-1.0,200,179,59,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,0,6%,90
Divock Origi,NOT,F,8,-0.5,-0.5,-67,-0.5,-0.5,200,715,68,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3%,13
Neal Maupay,BRF,F,8,-0.5,-0.5,-61,2.0,-2.5,200,303,62,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2%,19
Oliver Skipp,TOT,M,8,-0.5,-0.5,-102,-0.5,-0.5,200,720,103,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1%,13
Ruben Dias,MCI,D,8,-0.75,-0.75,-48,6.75,-2.0,200,196,49,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,94%,90
Diego Carlos,AVL,D,8,-0.75,-0.75,-77,1.5,-2.0,200,321,78,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,5%,90
Mateo Kovacic,MCI,M,8,-1.0,-2.0,-72,4.5,-3.0,200,238,73,1,1,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,71%,67
Joao Gomes,WOL,M,8,-1.0,-1.0,-60,6.0,-1.0,200,182,61,1,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,9%,68
Jacob Brown,LUT,F,8,-1.0,-1.0,-37,13.5,-1.0,200,183,38,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4%,65
Adam Smith,BOU,D,8,-1.0,-1.0,-96,0.0,-6.5,200,726,97,1,1,1,0,1,0,0,0,1,0,0,2,0,2,0,1,0,0,0,0,3,0,0%,85
Marcos Senesi,BOU,D,8,-1.25,-1.25,-74,-4.5,-6.0,200,311,75,1,1,1,0,0,0,0,1,0,0,0,0,0,3,1,0,2,0,0,0,3,0,2%,90
Jack Robinson,SHU,D,8,-1.25,-1.25,-75,-6.25,-6.0,200,314,76,1,0,1,0,0,0,0,2,0,0,0,0,0,3,0,1,1,0,0,0,3,0,2%,54
Milos Kerkez,BOU,D,8,-1.75,-1.75,-68,-12.25,-7.0,200,282,69,1,1,1,0,0,0,0,1,2,0,0,0,1,1,1,1,1,0,0,0,3,0,25%,66
Miguel Almiron,NEW,M,8,-2.0,-2.0,-36,27.5,-2.0,200,120,37,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,98%,81
John Stones,MCI,D,8,-2.0,-2.0,-92,0.0,-2.0,200,680,93,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,82%,21
Ibrahima Konate,LIV,D,8,-2.0,-2.0,-70,1.25,-2.0,200,296,71,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64%,16
Ryan Yates,NOT,M,8,-2.0,-2.0,-84,5.5,-2.0,200,280,85,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1%,13
Bruno Guimaraes,NEW,M,8,-2.5,-2.5,-20,50.0,-3.5,200,58,21,1,1,1,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,2,0,99%,90
Dara O'Shea,BUR,D,8,-2.75,-2.75,-87,3.75,-6.0,200,368,88,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,3,0,2%,45
Sean Longstaff,NEW,M,8,-3.0,-3.0,-33,24.5,-3.0,200,110,34,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,56%,90
Nayef Aguerd,WHU,D,8,-3.0,-3.0,-28,18.0,-4.0,200,134,29,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,36%,90
Joel Veltman,BHA,D,8,-3.0,-3.0,-61,0.0,-4.5,200,256,62,1,1,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2,0,21%,90
Vitinho,BUR,D,8,-3.0,-3.0,-97,-3.75,-4.5,200,729,98,1,1,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2,0,1%,60
Hannes Delcroix,BUR,D,8,-3.25,-3.25,-93,-3.25,-8.5,200,713,94,1,1,1,0,0,0,0,2,1,0,0,0,0,1,0,1,2,0,0,0,4,0,1%,90
Charlie Taylor,BUR,D,8,-4.0,-4.0,-82,3.5,-8.5,200,338,83,1,1,1,0,1,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,4,0,1%,90
Yasser Larouci,SHU,D,8,-4.25,-4.25,-91,-3.5,-4.5,200,573,92,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1%,23
Yves Bissouma,TOT,M,8,-5.0,-5.0,-32,-2.0,-7.0,200,109,33,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,81%,45
Ameen Al Dakhil,BUR,D,8,-5.0,-5.0,-100,1.25,-7.0,200,732,101,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1%,45
Aaron Hickey,BRF,D,8,-6.25,-6.25,-98,-16.25,-6.5,200,730,99,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,8%,90
