Player,Team,Position,LiveRkOv,Opponent,FPTS,FP/G,ROS %,GP,MIN,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,GW,ros,GS,PTS,DPT,OFF,PKG,Ghost Points,Negative Fpts
Ryan Christie,BOU,M,97,ARS,7.5,7.5,,1,82,0,1,0,1,1,2,0,0,0,1,0,2,0,1,0,0,0,3,0,7,41%,1,0,2,0,0,7.5,-1.0
Lewis Cook,BOU,M,148,ARS,5.5,5.5,,1,90,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,4,0,7,4%,1,0,2,0,0,5.5,0.0
Milos Kerkez,BOU,D,282,ARS,-3.0,-3.0,,1,82,0,0,0,0,1,1,0,0,0,0,2,1,0,1,0,0,0,3,0,7,25%,1,0,1,0,0,-3.0,-6.5
Justin Kluivert,BOU,M,250,ARS,1.0,1.0,,1,58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,7,24%,1,0,0,1,0,1.0,0.0
Dango Ouattara,BOU,F,269,ARS,2.0,2.0,,1,30,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,29%,0,0,0,0,0,2.0,0.0
Joe Rothwell,BOU,M,278,ARS,0.0,0.0,,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1%,0,0,0,0,0,0.0,0.0
Antoine Semenyo,BOU,F,191,ARS,0.0,0.0,,1,6,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,7,12%,0,0,0,0,0,0.0,-1.0
Marcos Senesi,BOU,D,312,ARS,-3.75,-3.75,,1,90,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,4,0,7,2%,1,0,1,0,0,-3.75,-8.0
Luis Sinisterra,BOU,F,290,ARS,6.0,6.0,,1,30,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,7,6%,0,0,1,0,0,6.0,0.0
Adam Smith,BOU,D,727,ARS,-2.0,-2.0,,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0%,0,0,0,0,0,-2.0,-2.0
Dominic Solanke,BOU,F,51,ARS,6.0,6.0,,1,90,0,2,0,0,1,2,0,0,0,0,0,1,0,2,0,0,0,4,0,7,96%,1,0,0,0,0,6.0,-1.0
Marcus Tavernier,BOU,M,144,ARS,3.5,3.5,,1,58,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,7,53%,1,0,0,0,0,3.5,-0.5
Illia Zabarnyi,BOU,D,201,ARS,-2.25,-2.25,,1,90,0,0,0,0,2,0,0,0,0,0,3,1,2,0,0,0,0,4,0,7,7%,1,0,0,0,0,-2.25,-8.0
Marcus Tavernier,BOU,M,142,EVE,9.0,9.0,53%,1,90,0,1,0,1,0,6,0,0,1,0,1,7,0,0,0,0,0,3,0,8,,1,0,1,0,0,9.0,-3.0
Illia Zabarnyi,BOU,D,202,EVE,6.5,6.5,7%,1,90,0,0,0,1,1,0,0,0,0,1,10,0,0,6,0,0,0,3,0,8,,1,0,0,0,0,6.5,-6.0
Luis Sinisterra,BOU,F,289,EVE,6.5,6.5,6%,1,32,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,8,,0,0,1,0,0,6.5,0.0
Lewis Cook,BOU,M,146,EVE,5.5,5.5,4%,1,65,0,1,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,3,0,8,,1,0,0,0,0,5.5,-0.5
Philip Billing,BOU,M,108,EVE,5.0,5.0,71%,1,90,0,1,0,0,2,3,0,0,0,0,3,0,1,3,0,0,0,3,0,8,,1,0,2,0,0,5.0,-1.5
Kieffer Moore,BOU,F,342,EVE,4.5,4.5,0%,1,23,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,8,,0,0,1,0,0,4.5,-0.5
Dango Ouattara,BOU,F,270,EVE,3.5,3.5,29%,1,56,0,1,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,2,0,8,,1,0,1,0,0,3.5,-0.5
Dominic Solanke,BOU,F,51,EVE,2.5,2.5,96%,1,90,0,1,0,1,0,5,1,0,1,0,2,1,1,0,0,0,0,3,0,8,,1,0,4,0,0,2.5,-4.5
David Brooks,BOU,M,204,EVE,2.0,2.0,5%,1,22,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,,0,0,1,0,0,2.0,0.0
Joe Rothwell,BOU,M,278,EVE,1.5,1.5,1%,1,45,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,,0,0,2,0,0,1.5,-0.5
Ryan Christie,BOU,M,94,EVE,0.0,0.0,41%,1,45,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,2,0,8,,1,0,1,0,0,0.0,-1.0
Max Aarons,BOU,D,306,EVE,0.0,0.0,6%,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,0,0,0,0,0,0.0,0.0
Adam Smith,BOU,D,726,EVE,-1.0,-1.0,0%,1,85,0,1,0,0,0,1,0,0,2,0,2,0,1,0,0,0,0,3,0,8,,1,0,1,0,0,-1.0,-6.5
Marcos Senesi,BOU,D,311,EVE,-1.25,-1.25,2%,1,90,0,0,0,0,1,0,0,0,0,0,3,1,0,2,0,0,0,3,0,8,,1,0,1,0,0,-1.25,-6.0
Milos Kerkez,BOU,D,282,EVE,-1.75,-1.75,25%,1,66,0,0,0,0,1,2,0,0,0,1,1,1,1,1,0,0,0,3,0,8,,1,0,2,0,0,-1.75,-7.0
Yoane Wissa,BRF,F,37,TOT,20.0,20.0,93%,1,71,1,2,0,2,1,2,0,0,0,1,1,1,1,0,0,0,0,2,0,1,,1,1,1,1,0,11.0,-1.0
Rico Henry,BRF,D,142,TOT,14.5,14.5,30%,1,90,0,3,1,0,0,2,0,0,1,1,2,3,0,1,0,0,0,2,0,1,,1,1,2,0,0,7.5,-5.0
Bryan Mbeumo,BRF,F,22,TOT,13.5,13.5,100%,1,90,1,0,0,2,0,3,0,0,0,1,0,0,0,2,0,0,0,2,0,1,,1,1,3,0,1,4.5,-1.5
Mathias Jensen,BRF,M,21,TOT,8.5,8.5,97%,1,48,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,,1,0,1,0,0,2.5,-0.5
Neal Maupay,BRF,F,283,TOT,7.0,7.0,3%,1,71,0,1,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,,1,0,1,2,0,7.0,-1.0
Ethan Pinnock,BRF,D,58,TOT,5.5,5.5,97%,1,90,0,0,0,0,2,0,0,0,0,2,10,0,0,3,0,0,0,2,0,1,,1,0,0,0,0,5.5,-4.0
Vitaly Janelt,BRF,M,130,TOT,5.0,5.0,10%,1,90,0,1,0,1,0,2,0,0,0,0,2,0,1,2,0,0,0,2,0,1,,1,0,1,0,0,5.0,-1.0
Zanka,BRF,D,337,TOT,4.0,4.0,0%,1,5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,0,4.0,0.0
Mikkel Damsgaard,BRF,M,353,TOT,3.0,3.0,2%,1,40,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,0,0,1,0,0,3.0,0.0
Christian Norgaard,BRF,M,56,TOT,2.5,2.5,55%,1,71,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,2,0,1,,1,0,0,0,0,2.5,0.0
Nathan Collins,BRF,D,116,TOT,2.0,2.0,37%,1,90,0,0,0,0,2,0,0,0,0,0,8,0,0,2,0,0,0,2,0,1,,1,0,0,0,0,2.0,-4.0
Kristoffer Ajer,BRF,D,238,TOT,2.0,2.0,2%,1,83,0,0,0,0,0,1,0,0,0,1,6,0,1,3,0,0,0,2,0,1,,1,0,1,0,0,2.0,-4.5
Mads Roerslev,BRF,D,249,TOT,1.0,1.0,4%,1,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,1.0,0.0
Kevin Schade,BRF,M,140,TOT,0.5,0.5,33%,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,0,0,0,0,0,0.5,0.0
Shandon Baptiste,BRF,M,419,TOT,0.0,0.0,0%,1,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0.0,0.0
Aaron Hickey,BRF,D,384,TOT,-1.0,-1.0,10%,1,71,0,1,0,0,2,1,1,0,0,0,2,1,0,0,0,0,0,2,0,1,,1,0,5,0,0,-1.0,-6.5
Bryan Mbeumo,BRF,F,22,FUL,26.5,26.5,100%,1,90,2,1,0,3,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,2,,1,2,0,0,1,8.5,-1.0
Yoane Wissa,BRF,F,37,FUL,24.5,24.5,93%,1,78,1,0,1,3,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,2,,1,1,1,1,0,9.5,0.0
Ethan Pinnock,BRF,D,58,FUL,22.5,22.5,97%,1,90,0,2,0,0,0,0,0,0,0,2,6,1,2,6,0,0,0,0,1,2,,1,0,0,0,0,16.5,0.0
Mathias Jensen,BRF,M,21,FUL,20.0,20.0,97%,1,90,0,4,0,1,3,0,0,0,2,2,3,2,0,0,0,0,0,0,1,2,,1,0,1,0,0,19.0,0.0
Nathan Collins,BRF,D,116,FUL,10.75,10.75,37%,1,90,0,0,0,0,0,0,0,0,0,0,7,2,0,1,0,0,0,0,1,2,,1,0,0,0,0,4.75,0.0
Kristoffer Ajer,BRF,D,238,FUL,8.5,8.5,2%,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,1,0,0,0,1.5,-0.5
Rico Henry,BRF,D,142,FUL,8.0,8.0,30%,1,90,0,0,0,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,1,2,,1,0,4,2,0,2.0,-2.5
Christian Norgaard,BRF,M,56,FUL,7.0,7.0,55%,1,78,0,0,0,0,3,0,0,0,0,1,1,0,1,2,0,0,0,0,1,2,,1,0,2,0,0,6.0,0.0
Aaron Hickey,BRF,D,384,FUL,6.0,6.0,10%,1,77,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,,1,0,5,0,0,0.0,-2.0
Vitaly Janelt,BRF,M,130,FUL,5.0,5.0,10%,1,90,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,,1,0,0,0,0,4.0,0.0
Keane Lewis-Potter,BRF,F,300,FUL,2.0,2.0,2%,1,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,2.0,0.0
Neal Maupay,BRF,F,283,FUL,1.5,1.5,3%,1,39,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,,0,0,0,0,0,1.5,-0.5
Kevin Schade,BRF,M,140,FUL,1.0,1.0,33%,1,70,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,2,,1,0,3,1,0,0.0,-0.5
Mads Roerslev,BRF,D,249,FUL,1.0,1.0,4%,1,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,1.0,0.0
Mikkel Damsgaard,BRF,M,353,FUL,0.0,0.0,2%,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,,0,0,2,0,0,0.0,0.0
Josh Dasilva,BRF,M,473,FUL,0.0,0.0,0%,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0.0,0.0
Kevin Schade,BRF,M,140,CRY,16.0,16.0,33%,1,79,1,1,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,3,,1,1,1,0,0,7.0,0.0
Christian Norgaard,BRF,M,56,CRY,12.5,12.5,55%,1,90,0,3,1,0,2,3,0,0,0,0,2,0,0,0,0,0,0,1,0,3,,1,1,2,0,0,6.5,-1.5
Rico Henry,BRF,D,142,CRY,7.75,7.75,30%,1,90,0,1,0,0,1,3,0,0,1,0,1,2,3,2,0,0,0,1,0,3,,1,0,1,0,0,7.75,-3.5
Mathias Jensen,BRF,M,21,CRY,7.5,7.5,97%,1,70,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,,1,0,1,0,0,6.5,0.0
Bryan Mbeumo,BRF,F,22,CRY,6.0,6.0,100%,1,90,0,2,0,0,1,1,0,0,1,0,2,0,0,1,0,0,0,1,0,3,,1,0,2,0,0,6.0,-0.5
Ethan Pinnock,BRF,D,58,CRY,5.5,5.5,97%,1,90,0,0,0,0,0,0,0,0,0,2,2,0,1,4,0,0,0,1,0,3,,1,0,0,0,0,5.5,-2.0
Nathan Collins,BRF,D,116,CRY,4.0,4.0,37%,1,90,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,1,0,3,,1,0,0,0,0,4.0,-2.0
Frank Onyeka,BRF,M,227,CRY,2.5,2.5,0%,1,18,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,,0,0,0,0,0,2.5,-0.5
Yoane Wissa,BRF,F,37,CRY,2.0,2.0,93%,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,3,,1,0,1,1,0,2.0,0.0
Vitaly Janelt,BRF,M,130,CRY,1.5,1.5,10%,1,90,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,3,,1,0,1,1,0,1.5,0.0
Aaron Hickey,BRF,D,384,CRY,0.75,0.75,10%,1,90,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,3,,1,0,0,0,0,0.75,-2.5
Keane Lewis-Potter,BRF,F,300,CRY,0.0,0.0,2%,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,0,0,0,0,0,0.0,0.0
Bryan Mbeumo,BRF,F,22,BOU,18.5,18.5,100%,1,90,1,2,0,1,1,2,0,0,3,0,0,0,0,1,0,0,0,2,0,4,,1,1,1,0,0,9.5,-1.0
Kevin Schade,BRF,M,140,BOU,18.0,18.0,33%,1,70,0,2,1,1,1,1,0,0,2,1,1,0,0,5,0,0,0,1,0,4,,1,0,3,0,0,12.0,-0.5
Mathias Jensen,BRF,M,21,BOU,15.0,15.0,97%,1,80,1,2,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,2,0,4,,1,1,4,0,0,6.0,-2.5
Christian Norgaard,BRF,M,56,BOU,12.0,12.0,55%,1,90,0,2,0,1,3,1,0,0,1,2,0,0,0,1,0,0,0,2,0,4,,1,0,0,0,0,12.0,-0.5
Frank Onyeka,BRF,M,227,BOU,11.0,11.0,0%,1,18,0,3,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4,,0,0,0,0,0,11.0,0.0
Nathan Collins,BRF,D,116,BOU,10.25,10.25,37%,1,8,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,,0,1,0,0,0,3.25,0.0
Ethan Pinnock,BRF,D,58,BOU,6.25,6.25,97%,1,90,0,0,0,0,1,0,0,0,0,1,5,0,1,6,0,0,0,2,0,4,,1,0,0,0,0,6.25,-4.0
Aaron Hickey,BRF,D,384,BOU,3.5,3.5,10%,1,81,0,0,0,0,3,0,0,0,0,0,2,2,0,2,0,0,0,2,0,4,,1,0,0,0,0,3.5,-4.0
Yoane Wissa,BRF,F,37,BOU,2.0,2.0,93%,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,,1,0,1,1,0,2.0,0.0
Rico Henry,BRF,D,142,BOU,2.0,2.0,30%,1,90,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,2,0,4,,1,0,0,0,0,2.0,-4.0
Vitaly Janelt,BRF,M,130,BOU,2.0,2.0,10%,1,70,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,4,,1,0,0,0,0,2.0,0.0
Kristoffer Ajer,BRF,D,238,BOU,2.0,2.0,2%,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,0,0,0,0,0,2.0,0.0
Ben Mee,BRF,D,338,BOU,1.75,1.75,58%,1,80,0,1,0,0,2,2,0,0,0,0,3,0,1,1,0,0,0,2,0,4,,1,0,0,0,0,1.75,-5.0
Keane Lewis-Potter,BRF,F,300,BOU,1.0,1.0,2%,1,18,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,4,,0,0,0,0,0,1.0,-0.5
Michael Olakigbe,BRF,F,364,BOU,0.5,0.5,0%,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,,0,0,0,0,0,0.5,0.0
Mathias Jensen,BRF,M,21,NEW,12.5,12.5,97%,1,90,0,3,0,0,2,1,0,0,1,3,1,0,1,0,0,0,0,1,0,5,,1,0,2,0,0,12.5,-0.5
Yoane Wissa,BRF,F,37,NEW,11.0,11.0,93%,1,90,0,1,0,1,1,2,1,0,1,0,0,4,1,6,0,0,0,1,0,5,,1,0,6,1,0,11.0,-3.0
Vitaly Janelt,BRF,M,130,NEW,7.5,7.5,10%,1,71,0,2,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,1,0,5,,1,0,0,0,0,7.5,0.0
Mads Roerslev,BRF,D,249,NEW,6.75,6.75,4%,1,47,0,2,0,0,1,0,0,0,1,1,3,1,0,0,0,0,0,1,0,5,,0,0,0,0,0,6.75,-2.0
Ethan Pinnock,BRF,D,58,NEW,6.25,6.25,97%,1,90,0,1,0,0,0,0,0,0,0,1,9,0,0,3,0,0,0,1,0,5,,1,0,0,0,0,6.25,-2.0
Keane Lewis-Potter,BRF,F,300,NEW,4.0,4.0,2%,1,7,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,,0,0,0,0,0,4.0,0.0
Nathan Collins,BRF,D,116,NEW,3.25,3.25,37%,1,90,0,0,0,0,0,0,1,0,0,2,5,1,0,3,0,0,0,1,0,5,,1,0,4,0,0,3.25,-4.0
Frank Onyeka,BRF,M,227,NEW,3.0,3.0,0%,1,17,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,,0,0,0,0,0,3.0,0.0
Bryan Mbeumo,BRF,F,22,NEW,2.5,2.5,100%,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,5,,1,0,0,0,0,2.5,0.0
Rico Henry,BRF,D,142,NEW,2.5,2.5,30%,1,41,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,,1,0,0,0,0,2.5,-0.5
Ben Mee,BRF,D,338,NEW,2.25,2.25,58%,1,71,0,0,0,0,3,2,0,0,0,1,1,0,0,1,0,0,0,1,0,5,,1,0,1,0,0,2.25,-3.0
Aaron Hickey,BRF,D,384,NEW,1.75,1.75,10%,1,81,0,0,0,1,3,1,1,0,0,0,1,1,0,0,0,0,0,1,0,5,,1,0,6,0,0,1.75,-4.5
Christian Norgaard,BRF,M,56,NEW,1.5,1.5,55%,1,71,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,1,0,5,,1,0,4,0,0,1.5,-2.0
Neal Maupay,BRF,F,283,NEW,0.5,0.5,3%,1,17,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,,0,0,0,0,0,0.5,0.0
Kevin Schade,BRF,M,140,NEW,-0.5,-0.5,33%,1,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,0,0,0,0,0,-0.5,-0.5
Mathias Jensen,BRF,M,21,EVE,12.5,12.5,97%,1,90,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,6,,1,1,1,0,0,3.5,-0.5
Vitaly Janelt,BRF,M,130,EVE,12.0,12.0,10%,1,60,0,1,1,0,2,0,0,0,0,1,0,0,0,2,0,0,0,1,0,6,,1,1,1,0,0,6.0,0.0
Christian Norgaard,BRF,M,56,EVE,7.5,7.5,55%,1,90,0,0,0,0,4,0,0,0,0,1,1,0,1,3,0,0,0,3,0,6,,1,0,0,0,0,7.5,0.0
Bryan Mbeumo,BRF,F,22,EVE,7.0,7.0,100%,1,90,0,1,0,1,1,1,1,0,2,0,2,2,0,1,0,0,0,3,0,6,,1,0,6,0,0,7.0,-2.5
Ethan Pinnock,BRF,D,58,EVE,5.5,5.5,97%,1,90,0,0,0,0,1,0,0,0,0,3,6,0,0,6,0,0,0,3,0,6,,1,0,0,0,0,5.5,-6.0
Nathan Collins,BRF,D,116,EVE,2.25,2.25,37%,1,90,0,1,0,0,2,1,0,0,0,2,3,1,0,1,0,0,0,3,0,6,,1,0,0,0,0,2.25,-6.5
Yoane Wissa,BRF,F,37,EVE,2.0,2.0,93%,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,,1,0,0,0,0,2.0,0.0
Saman Ghoddos,BRF,F,329,EVE,2.0,2.0,0%,1,16,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,,0,0,4,1,0,2.0,-2.0
Mads Roerslev,BRF,D,249,EVE,1.75,1.75,4%,1,60,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,6,,1,0,1,0,0,1.75,-2.5
Frank Onyeka,BRF,M,227,EVE,1.5,1.5,0%,1,28,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,0,6,,0,0,1,0,0,1.5,-0.5
Keane Lewis-Potter,BRF,F,300,EVE,0.5,0.5,2%,1,88,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,6,,1,0,0,1,0,0.5,-0.5
Kristoffer Ajer,BRF,D,238,EVE,0.0,0.0,2%,1,28,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,2,0,6,,0,0,0,0,0,0.0,-4.0
Michael Olakigbe,BRF,F,364,EVE,0.0,0.0,0%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,0,0,0,1,0,0.0,0.0
Aaron Hickey,BRF,D,384,EVE,-5.75,-5.75,10%,1,72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,6,,1,0,1,0,0,-5.75,-6.0
Kristoffer Ajer,BRF,D,242,NOT,4.75,4.75,,1,88,0,0,0,0,2,1,0,0,0,1,1,0,0,4,0,0,0,1,0,7,2%,1,0,2,0,0,4.75,-2.5
Nathan Collins,BRF,D,117,NOT,8.25,8.25,,1,90,0,0,0,0,0,0,0,0,0,4,1,0,0,6,0,0,0,1,0,7,37%,1,0,1,0,0,8.25,-2.0
Saman Ghoddos,BRF,F,330,NOT,3.0,3.0,,1,20,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0%,0,0,1,0,0,3.0,0.0
Aaron Hickey,BRF,D,731,NOT,-4.25,-4.25,,1,68,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,7,8%,1,0,4,0,0,-4.25,-4.5
Vitaly Janelt,BRF,M,129,NOT,4.0,4.0,,1,88,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,7,10%,1,0,0,0,0,4.0,0.0
Mathias Jensen,BRF,M,14,NOT,10.5,10.5,,1,68,0,2,1,0,1,3,0,0,0,1,2,0,0,0,0,0,0,1,0,7,97%,1,1,0,0,0,4.5,-1.5
Keane Lewis-Potter,BRF,F,314,NOT,2.0,2.0,,1,74,0,0,0,0,0,2,0,0,0,1,2,2,0,0,0,0,0,1,0,7,1%,1,0,1,0,0,2.0,-1.0
Neal Maupay,BRF,F,304,NOT,2.0,2.0,,1,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2%,0,0,0,0,0,2.0,0.0
Bryan Mbeumo,BRF,F,23,NOT,11.5,11.5,,1,90,0,4,0,0,0,2,0,0,1,0,0,3,0,1,0,0,0,1,0,7,100%,1,0,0,0,0,11.5,-1.0
Christian Norgaard,BRF,M,64,NOT,19.0,19.0,,1,90,1,2,0,1,0,0,0,0,1,1,0,0,0,4,0,0,0,1,0,7,67%,1,1,2,1,0,10.0,0.0
Michael Olakigbe,BRF,F,377,NOT,2.0,2.0,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0%,0,0,0,0,0,2.0,0.0
Frank Onyeka,BRF,M,234,NOT,1.5,1.5,,1,20,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0%,0,0,5,0,0,1.5,-2.0
Ethan Pinnock,BRF,D,53,NOT,8.5,8.5,,1,90,0,0,0,1,0,0,0,0,0,1,2,0,1,6,0,0,0,1,0,7,96%,1,0,0,0,0,8.5,-2.0
Mads Roerslev,BRF,D,258,NOT,5.0,5.0,,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,4%,0,0,0,0,0,5.0,0.0
Yoane Wissa,BRF,F,35,NOT,6.0,6.0,,1,90,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,7,92%,1,0,0,0,0,6.0,-0.5
Mathias Jensen,BRF,M,14,MUN,19.0,19.0,97%,1,82,1,2,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,8,,1,1,1,0,0,9.0,0.0
Yoane Wissa,BRF,F,34,MUN,13.0,13.0,92%,1,69,0,1,1,0,1,0,0,0,0,2,2,2,0,0,0,0,0,0,1,8,,1,1,2,0,0,7.0,0.0
Ethan Pinnock,BRF,D,53,MUN,9.25,9.25,96%,1,90,0,0,0,0,1,0,0,0,0,3,17,0,3,2,0,0,0,2,0,8,,1,0,0,0,0,9.25,-4.0
Bryan Mbeumo,BRF,F,23,MUN,7.5,7.5,100%,1,90,0,2,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,2,0,8,,1,0,1,0,0,7.5,0.0
Vitaly Janelt,BRF,M,128,MUN,6.0,6.0,10%,1,69,0,2,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,1,8,,1,0,5,0,0,5.0,-2.0
Nathan Collins,BRF,D,116,MUN,4.5,4.5,37%,1,90,0,0,0,0,1,0,1,0,0,2,6,1,1,4,0,0,0,2,0,8,,1,0,4,0,0,4.5,-6.0
Kristoffer Ajer,BRF,D,242,MUN,3.5,3.5,2%,1,90,0,1,0,0,2,0,0,0,0,0,6,1,0,1,0,0,0,2,0,8,,1,0,2,0,0,3.5,-4.0
Christian Norgaard,BRF,M,63,MUN,3.0,3.0,67%,1,90,0,0,0,1,1,0,1,0,0,2,4,0,0,0,0,0,0,2,0,8,,1,0,7,0,0,3.0,-2.0
Frank Onyeka,BRF,M,234,MUN,3.0,3.0,0%,1,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,8,,0,0,1,0,0,3.0,0.0
Mads Roerslev,BRF,D,258,MUN,2.25,2.25,4%,1,90,0,1,0,0,2,1,0,0,1,0,3,0,0,1,0,0,0,2,0,8,,1,0,0,0,0,2.25,-4.5
Saman Ghoddos,BRF,F,329,MUN,2.0,2.0,0%,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,,0,0,1,0,0,2.0,0.0
Neal Maupay,BRF,F,303,MUN,-0.5,-0.5,2%,1,19,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,8,,0,0,4,0,0,-0.5,-2.5
Aaron Hickey,BRF,D,730,MUN,-6.25,-6.25,8%,1,90,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,8,,1,0,4,0,0,-6.25,-6.5
