Player,Team,Position,LiveRkOv,Status (Pilot),Opponent,FPTS,FP/G,GP,GS,MIN,G,KP,AT,SOT,TKW,YC,RC,PEN,ACNC,INT,CLR,BS,DW,DL,LBA,PKM,PKD,OG,GAO,CS,GW,Ghost Points,Negative Fpts,PTS,DPT,OFF,PKG,GPR,Default FPTS,Default Ghosts,Default Negative FPTS,Status (Default),Delta,Delta Ghosts,Delta Negative FPTS
Callum Wilson,NEW,F,36,chukdave,NEW 2<br/>@WHU 2 F,-0.75,-0.75,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,8,0.0,-0.75,0,2,0,0,-0.0,0.0,0.0,0.0,dsb_ff,-0.75,0.0,-0.75
Miguel Almiron,NEW,M,156,xxx,NEW 2<br/>@WHU 2 F,-0.75,-0.75,1,1,81,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,8,0.5,-1.25,0,4,0,0,-0.67,-2.0,0.0,-2.0,Pancake,1.25,0.5,0.75
Sean Longstaff,NEW,M,72,ZB,NEW 2<br/>@WHU 2 F,-0.75,-0.75,1,1,90,0,0,0,0,0,1,0,0,0,0,0,0,3,6,1,0,0,0,2,0,8,1.75,-2.5,0,5,1,0,-2.33,-3.0,0.0,-3.0,dsb_ff,2.25,1.75,0.5
Vitinho,BUR,D,731,FA,CHE 4<br/>@BUR 1 F,-1.25,-1.25,1,1,60,0,0,0,0,0,0,0,1,0,1,2,0,2,3,0,0,0,0,2,0,8,2.5,-1.75,0,1,0,0,-2.0,-3.0,1.5,-4.5,W (Thu),1.75,1.0,2.75
Ryan Yates,NOT,M,256,FA,NOT 0<br/>@CRY 0 F,-1.25,-1.25,1,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0.0,-1.25,0,4,0,0,-0.0,-2.0,0.0,-2.0,W (Thu),0.75,0.0,0.75
Jacob Brown,LUT,F,217,FA,TOT 1<br/>@LUT 0 F,-1.75,-1.75,1,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,8,0.0,-1.75,0,3,1,0,-0.0,-1.0,0.0,-1.0,W (Thu),-0.75,0.0,-0.75
Hannes Delcroix,BUR,D,373,FA,CHE 4<br/>@BUR 1 F,-1.75,-1.75,1,1,90,0,0,0,0,2,0,0,0,0,0,1,1,5,3,1,0,0,0,4,0,8,5.0,-0.75,0,2,0,0,-2.86,-3.25,5.25,-8.5,W (Thu),1.5,-0.25,7.75
Aaron Hickey,BRF,D,240,FA,BRF 1<br/>@MUN 2 F,-2.25,-2.25,1,1,90,0,0,0,0,0,1,0,0,0,0,1,0,2,3,1,0,0,0,2,0,8,1.5,-1.75,0,4,0,0,-0.67,-6.25,0.25,-6.5,W (Thu),4.0,1.25,4.75
Dara O'Shea,BUR,D,232,FA,CHE 4<br/>@BUR 1 F,-2.25,-2.25,1,0,45,0,0,0,0,0,0,0,0,0,1,1,0,2,3,1,0,0,0,3,0,8,2.5,-0.75,0,0,0,0,-1.11,-2.75,3.25,-6.0,W (Thu),0.5,-0.75,5.25
Yasser Larouci,SHU,D,357,FA,SHU 1<br/>@FUL 3 F,-2.25,-2.25,1,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,8,0.25,-0.5,0,1,0,0,-0.11,-4.25,0.25,-4.5,W (Thu),2.0,0.0,4.0
Charlie Taylor,BUR,D,271,FA,CHE 4<br/>@BUR 1 F,-2.75,-2.75,1,1,90,0,1,0,0,0,0,0,0,0,0,2,0,4,3,2,0,0,0,4,0,8,4.0,-0.75,0,2,0,0,-1.45,-4.0,4.5,-8.5,W (Thu),1.25,-0.5,7.75
Ameen Al Dakhil,BUR,D,433,FA,CHE 4<br/>@BUR 1 F,-3.0,-3.0,1,1,45,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,8,2.0,-5.0,0,0,0,0,-0.67,-5.0,2.0,-7.0,W (Thu),2.0,0.0,2.0
Yves Bissouma,TOT,M,104,Bfred,TOT 1<br/>@LUT 0 F,-5.5,-5.5,1,1,45,0,0,0,0,1,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,8,1.75,-7.25,0,8,0,0,-0.32,-5.0,2.0,-7.0,Adam,-0.5,-0.25,-0.25
Jeremy Doku,MCI,F,21,ZB,BOU 1<br/>@MCI 6 F,49.5,49.5,1,1,90,1,5,4,1,2,0,0,0,1,0,0,0,7,2,2,0,0,0,1,0,11,13.0,-0.5,5,0,0,0,0.26,52.0,20.0,-1.0,Kish123,-2.5,-7.0,0.5
Nicolas Jackson,CHE,F,45,Sean,CHE 4<br/>@TOT 1 F,36.0,36.0,1,1,90,3,0,0,5,0,1,0,0,0,0,0,0,3,7,1,0,0,0,1,0,11,11.75,-2.75,3,5,1,0,0.33,36.5,13.0,-3.5,XXX,-0.5,-1.25,0.75
Bernardo Silva,MCI,M,60,Boss,BOU 1<br/>@MCI 6 F,27.0,27.0,1,1,84,2,3,0,2,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,11,9.0,0.0,2,0,0,0,0.33,30.0,12.0,0.0,Vroom,-3.0,-3.0,0.0
Harry Toffolo,NOT,D,134,W (Thu),AVL 0<br/>@NOT 2 F,25.75,25.75,1,1,70,0,2,2,0,2,0,0,0,0,0,2,1,3,3,2,0,0,0,0,1,11,6.5,-0.75,2,1,0,0,0.25,27.5,7.5,0.0,W (Thu),-1.75,-1.0,-0.75
Mohammed Kudus,WHU,M,170,KFC,WHU 2<br/>@BRF 3 F,24.75,24.75,1,1,90,1,2,1,1,2,0,0,0,0,0,1,0,9,6,2,0,0,0,3,0,11,10.25,-1.5,1,2,0,0,0.41,23.5,9.5,-1.0,XXX,1.25,0.75,-0.5
Cole Palmer,CHE,M,54,Boss,CHE 4<br/>@TOT 1 F,24.5,24.5,1,1,90,1,1,1,1,1,0,0,0,0,2,0,0,6,3,3,0,0,0,1,0,11,9.25,-0.75,2,2,0,1,0.38,26.0,11.0,0.0,Kish123,-1.5,-1.75,-0.75
Ola Aina,NOT,D,197,W (Thu),AVL 0<br/>@NOT 2 F,22.5,22.5,1,1,85,1,1,0,1,2,0,0,0,0,0,4,0,7,4,0,0,0,0,0,1,11,8.5,-1.0,1,0,0,0,0.38,24.5,9.0,-0.5,W (Thu),-2.0,-0.5,-0.5
Bruno Fernandes,MUN,M,8,ZB,MUN 1<br/>@FUL 0 F,20.75,20.75,1,1,90,1,1,0,3,1,0,0,0,0,0,0,0,8,6,3,0,0,0,0,1,11,12.25,-1.5,1,1,0,0,0.59,21.0,11.5,-0.5,4b. DcbB,-0.25,0.75,-1.0
Tyrick Mitchell,CRY,D,66,W (Thu),CRY 2<br/>@BUR 0 F,20.0,20.0,1,1,90,1,0,0,1,1,0,0,0,0,0,5,1,1,2,1,0,0,0,0,1,11,5.5,-0.5,1,0,0,0,0.28,21.25,5.25,0.0,Pancake,-1.25,0.25,-0.5
Vitalii Mykolenko,EVE,D,78,chukdave,BHA 1<br/>@EVE 1 F,18.25,18.25,1,1,90,1,0,0,2,1,0,0,0,1,2,3,0,3,3,1,0,0,0,1,0,11,10.0,-0.75,1,0,0,0,0.55,17.75,9.75,-2.0,avitek,0.5,0.25,1.25
Conor Gallagher,CHE,M,30,Boss,CHE 4<br/>@TOT 1 F,17.5,17.5,1,1,90,0,5,1,0,2,0,0,0,0,2,0,0,6,5,3,0,0,0,1,0,11,11.75,-1.25,1,1,0,0,0.67,21.0,15.0,0.0,Maddihat,-3.5,-3.25,-1.25
Joachim Andersen,CRY,D,7,TranzOTF,CRY 2<br/>@BUR 0 F,16.25,16.25,1,1,90,0,0,0,1,2,1,0,0,0,3,8,1,4,4,5,0,0,0,0,1,11,12.25,-2.0,0,5,0,0,0.75,16.0,12.0,-2.0,deceptiv,0.25,0.25,0.0
Harry Maguire,MUN,D,196,KFC,MUN 1<br/>@FUL 0 F,16.0,16.0,1,1,90,0,0,0,0,0,0,0,0,0,0,9,2,10,3,6,0,0,0,0,1,11,10.75,-0.75,0,0,1,0,0.67,18.25,12.25,0.0,W (Thu),-2.25,-1.5,-0.75
Rodri,MCI,M,24,TranzOTF,BOU 1<br/>@MCI 6 F,15.75,15.75,1,1,70,0,2,1,1,0,0,0,0,0,1,0,1,0,1,8,0,0,0,0,1,11,8.0,-0.25,1,0,0,0,0.51,15.0,8.0,0.0,Vroom,0.75,0.0,-0.25
Joelinton,NEW,M,172,TranzOTF,ARS 0<br/>@NEW 1 F,15.75,15.75,1,1,90,0,2,1,1,2,0,0,0,0,2,2,0,5,10,1,0,0,0,0,1,11,10.25,-2.5,1,2,0,0,0.65,18.0,12.5,-1.5,4b. DcbB,-2.25,-2.25,-1.0
Oliver Norwood,SHU,M,90,W (Thu),WOL 1<br/>@SHU 2 F,15.75,15.75,1,1,90,1,1,0,1,1,0,0,0,1,0,2,0,3,2,3,0,0,0,1,0,11,7.25,-0.5,1,1,0,1,0.46,15.5,6.5,0.0,W (Thu),0.25,0.75,-0.5
Tahith Chong,LUT,M,215,W (Thu),LIV 1<br/>@LUT 1 F,15.75,15.75,1,0,28,1,0,0,1,1,0,0,0,0,0,1,0,8,0,0,0,0,0,1,0,11,6.75,0.0,1,1,0,0,0.43,12.0,3.0,0.0,W (Thu),3.75,3.75,0.0
Orel Mangala,NOT,M,188,W (Thu),AVL 0<br/>@NOT 2 F,15.75,15.75,1,1,90,1,0,0,1,1,0,0,0,0,1,4,1,2,4,1,0,0,0,0,1,11,6.75,-1.0,1,0,0,0,0.43,15.0,6.0,-1.0,W (Thu),0.75,0.75,0.0
Moussa Niakhate,NOT,D,326,W (Thu),AVL 0<br/>@NOT 2 F,15.75,15.75,1,1,90,0,0,0,0,4,0,0,0,0,2,8,1,5,0,1,0,0,0,0,1,11,9.75,0.0,0,0,0,0,0.62,15.0,9.0,0.0,W (Thu),0.75,0.75,0.0
Issa Kabore,LUT,D,142,W (Thu),LIV 1<br/>@LUT 1 F,15.5,15.5,1,1,90,0,1,1,1,2,0,0,0,0,0,5,1,7,5,0,0,0,0,1,0,11,9.75,-1.25,1,0,0,0,0.63,15.25,10.25,-2.0,W (Thu),0.25,-0.5,0.75
Dejan Kulusevski,TOT,M,48,ZB,CHE 4<br/>@TOT 1 F,15.25,15.25,1,1,60,1,1,0,1,3,0,0,0,0,0,0,0,6,5,0,0,0,0,1,0,11,7.5,-1.25,1,1,0,0,0.49,16.0,8.0,-1.0,Vroom,-0.75,-0.5,-0.25
Frank Onyeka,BRF,M,195,W (Thu),WHU 2<br/>@BRF 3 F,15.25,15.25,1,1,90,0,2,1,1,1,0,0,0,0,1,1,0,6,4,2,0,0,0,2,0,11,9.25,-1.0,1,0,2,0,0.61,15.0,9.5,-0.5,W (Thu),0.25,-0.25,-0.5
Nathan Ake,MCI,D,145,W (Thu),BOU 1<br/>@MCI 6 F,15.0,15.0,1,1,90,1,2,0,1,0,0,0,0,0,0,4,0,2,2,2,0,0,0,1,0,11,6.5,-0.5,1,0,0,0,0.43,16.0,8.0,-2.0,W (Thu),-1.0,-1.5,1.5
Neal Maupay,BRF,F,178,W (Thu),WHU 2<br/>@BRF 3 F,14.75,14.75,1,1,90,1,1,0,1,2,0,0,0,0,0,0,0,6,6,1,0,0,0,2,0,11,7.25,-1.5,1,1,0,0,0.49,15.0,7.0,-1.0,W (Thu),-0.25,0.25,-0.5
Anthony Gordon,NEW,M,15,Bfred,ARS 0<br/>@NEW 1 F,14.25,14.25,1,1,90,1,1,0,1,2,1,0,0,0,0,0,0,4,3,0,0,0,0,0,1,11,6.0,-1.75,1,4,1,0,0.42,13.0,6.0,-3.0,4b. DcbB,1.25,0.0,1.25
Jean-Ricner Bellegarde,WOL,M,340,draft,WOL 1<br/>@SHU 2 F,14.25,14.25,1,0,28,1,1,0,1,0,0,0,0,0,1,1,0,3,2,0,0,0,0,2,0,11,5.75,-0.5,1,0,0,0,0.4,14.0,5.5,-0.5,W (Thu),0.25,0.25,0.0
Manuel Akanji,MCI,D,127,Sean,BOU 1<br/>@MCI 6 F,14.0,14.0,1,1,90,1,1,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,11,5.0,0.0,1,0,0,0,0.36,12.0,4.0,-2.0,W (Thu),2.0,1.0,2.0
Nathan Collins,BRF,D,52,draft,WHU 2<br/>@BRF 3 F,14.0,14.0,1,1,90,1,0,0,1,0,0,0,0,0,0,13,0,4,4,3,0,0,0,2,0,11,8.0,-1.0,1,0,0,0,0.57,14.75,9.25,-4.5,W (Thu),-0.75,-1.25,3.5
Diogo Dalot,MUN,D,83,xxx,MUN 1<br/>@FUL 0 F,13.75,13.75,1,1,90,0,2,0,0,2,1,0,0,2,0,5,1,2,2,4,0,0,0,0,1,11,9.25,-1.5,0,5,0,0,0.67,14.25,10.25,-2.0,4b. DcbB,-0.5,-1.0,0.5
Enzo Fernandez,CHE,M,86,draft,CHE 4<br/>@TOT 1 F,13.75,13.75,1,1,57,0,1,1,0,0,0,0,0,0,0,0,1,5,4,5,0,1,0,1,0,11,7.75,-1.0,0,2,1,0,0.56,10.5,5.0,-0.5,avitek,3.25,2.75,-0.5
Jordan Ayew,CRY,F,37,Badger12,CRY 2<br/>@BUR 0 F,13.75,13.75,1,1,90,0,1,1,0,2,1,0,0,1,0,3,0,11,6,0,0,0,0,0,1,11,9.25,-2.5,1,3,0,0,0.67,12.0,9.0,-3.0,Vroom,1.75,0.25,0.5
Michail Antonio,WHU,F,108,ZB,WHU 2<br/>@BRF 3 F,13.75,13.75,1,1,63,0,2,1,0,1,0,0,0,1,0,0,0,8,4,1,0,0,0,2,0,11,7.75,-1.0,1,1,0,0,0.56,14.5,8.5,0.0,Pancake,-0.75,-0.75,-1.0
Jeffrey Schlupp,CRY,M,155,W (Thu),CRY 2<br/>@BUR 0 F,13.75,13.75,1,1,69,1,0,0,1,2,0,0,0,0,0,1,0,4,6,0,0,0,0,0,1,11,5.25,-1.5,1,2,0,0,0.38,14.0,4.5,-0.5,W (Thu),-0.25,0.75,-1.0
Jamaal Lascelles,NEW,D,217,Badger12,ARS 0<br/>@NEW 1 F,12.25,12.25,1,1,90,0,0,0,0,1,0,0,0,0,0,6,3,4,3,0,0,0,0,0,1,11,7.0,-0.75,0,1,0,0,0.57,13.5,7.5,0.0,Adam,-1.25,-0.5,-0.75
Hwang Hee-Chan,WOL,F,23,Bfred,WOL 1<br/>@SHU 2 F,12.0,12.0,1,1,90,0,4,1,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,2,0,11,5.75,-0.75,1,0,0,0,0.48,16.0,10.0,0.0,dsb_ff,-4.0,-4.25,-0.75
Joseph Gomez,LIV,D,157,chukdave,LIV 1<br/>@LUT 1 F,12.0,12.0,1,1,66,0,2,0,0,2,0,0,0,0,0,1,0,7,3,0,0,0,0,0,1,11,6.75,-0.75,0,1,0,0,0.56,12.75,7.25,-0.5,Pancake,-0.75,-0.5,-0.25
Bryan Mbeumo,BRF,F,9,tottiand,WHU 2<br/>@BRF 3 F,11.75,11.75,1,1,90,0,0,1,1,0,0,0,0,0,1,0,0,6,6,1,0,0,0,2,0,11,6.25,-1.5,0,1,0,0,0.53,10.5,4.5,0.0,XXX,1.25,1.75,-1.5
Phil Foden,MCI,M,17,Boss,BOU 1<br/>@MCI 6 F,11.75,11.75,1,0,45,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,11,2.75,0.0,1,0,0,0,0.23,11.0,2.0,0.0,XXX,0.75,0.75,0.0
James Mcatee,SHU,M,214,W (Thu),WOL 1<br/>@SHU 2 F,11.75,11.75,1,0,45,0,2,1,0,1,0,0,0,0,0,0,0,6,4,1,0,0,0,1,0,11,5.75,-1.0,1,2,0,0,0.49,11.5,6.5,-1.0,W (Thu),0.25,-0.75,0.0
Luis Sinisterra,BOU,F,289,W (Thu),BOU 1<br/>@MCI 6 F,11.75,11.75,1,0,17,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,11,3.0,-0.25,1,1,0,0,0.26,12.0,3.0,0.0,W (Thu),-0.25,0.0,-0.25
Luis Diaz,LIV,F,104,ZB,LIV 1<br/>@LUT 1 F,11.5,11.5,1,0,6,1,0,0,1,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,11,3.5,-1.0,1,1,0,0,0.3,12.0,3.5,-0.5,Adam,-0.5,0.0,-0.5
Mathias Jensen,BRF,M,16,Bfred,WHU 2<br/>@BRF 3 F,11.5,11.5,1,1,77,0,2,1,0,0,0,0,0,1,0,0,0,3,5,5,0,0,0,2,0,11,5.75,-1.25,1,3,0,0,0.5,11.5,6.0,-0.5,Pancake,0.0,-0.25,-0.75
Aaron Wan-Bissaka,MUN,D,176,xxx,MUN 1<br/>@FUL 0 F,11.5,11.5,1,1,90,0,0,0,0,2,0,0,0,0,1,2,2,3,4,2,0,0,0,0,1,11,6.5,-1.0,0,0,0,0,0.57,12.0,6.5,-0.5,XXX,-0.5,0.0,-0.5
Jarrod Bowen,WHU,M,11,Badger12,WHU 2<br/>@BRF 3 F,11.25,11.25,1,1,90,1,2,0,1,0,0,0,0,0,0,1,0,1,10,0,0,0,0,3,0,11,4.75,-2.5,1,2,0,0,0.42,14.5,6.5,-1.0,dsb_ff,-3.25,-1.75,-1.5
Kaoru Mitoma,BHA,M,22,tottiand,BHA 1<br/>@EVE 1 F,11.25,11.25,1,1,90,0,0,1,1,0,0,0,0,0,0,0,0,6,4,1,0,0,0,1,0,11,5.25,-1.0,0,1,1,0,0.47,12.5,6.5,0.0,Kish123,-1.25,-1.25,-1.0
Raheem Sterling,CHE,F,27,Catts4En,CHE 4<br/>@TOT 1 F,11.25,11.25,1,1,88,0,2,1,1,0,0,0,0,0,0,0,0,6,11,0,0,0,0,1,0,11,7.0,-2.75,1,4,1,0,0.62,15.5,10.0,-0.5,4b. DcbB,-4.25,-3.0,-2.25
Lucas Digne,AVL,D,31,tottiand,AVL 0<br/>@NOT 2 F,11.25,11.25,1,1,90,0,4,0,0,1,0,0,0,4,1,1,0,10,6,0,0,0,0,2,0,11,14.75,-1.5,0,1,0,0,1.31,16.75,21.25,-4.5,Kish123,-5.5,-6.5,3.0
Kieran Trippier,NEW,D,5,Badger12,ARS 0<br/>@NEW 1 F,10.5,10.5,1,1,90,0,1,0,0,0,0,0,0,1,1,4,1,2,6,0,0,0,0,0,1,11,6.0,-1.5,0,3,0,0,0.57,13.0,7.0,0.0,deceptiv,-2.5,-1.0,-1.5
Gabriel Martinelli,ARS,M,84,KFC,ARS 0<br/>@NEW 1 F,10.5,10.5,1,1,90,0,5,0,1,1,0,0,0,2,0,0,0,6,8,0,0,0,0,1,0,11,12.5,-2.0,0,2,1,0,1.19,18.0,18.5,-0.5,4b. DcbB,-7.5,-6.0,-1.5
Pape Sarr,TOT,M,70,Sean,CHE 4<br/>@TOT 1 F,10.5,10.5,1,1,60,0,2,1,0,2,1,0,0,0,0,0,0,4,2,0,0,0,0,1,0,11,5.0,-1.5,1,4,0,0,0.48,11.0,7.0,-2.0,4b. DcbB,-0.5,-2.0,0.5
Cameron Archer,SHU,F,200,W (Thu),WOL 1<br/>@SHU 2 F,10.5,10.5,1,1,90,1,1,0,1,0,0,0,0,0,0,0,0,2,10,0,0,0,0,1,0,11,4.0,-2.5,1,0,0,0,0.38,13.5,5.0,-0.5,W (Thu),-3.0,-1.0,-2.0
Harvey Elliott,LIV,M,262,W (Thu),LIV 1<br/>@LUT 1 F,10.25,10.25,1,0,23,0,2,1,0,0,0,0,0,2,0,0,0,0,4,1,0,0,0,1,0,11,4.25,-1.0,1,0,0,0,0.41,11.5,6.0,-0.5,W (Thu),-1.25,-1.75,-0.5
Jonny Evans,MUN,D,220,W (Thu),MUN 1<br/>@FUL 0 F,10.25,10.25,1,1,90,0,0,0,0,0,0,0,0,0,0,5,1,5,4,2,0,0,0,0,1,11,5.25,-1.0,0,2,0,0,0.51,12.25,6.25,0.0,W (Thu),-2.0,-1.0,-1.0
Joel Ward,CRY,D,199,W (Thu),CRY 2<br/>@BUR 0 F,10.0,10.0,1,1,69,0,0,0,0,2,0,0,0,0,0,4,0,5,3,1,0,0,0,0,1,11,4.75,-0.75,0,0,0,0,0.48,10.0,4.0,0.0,W (Thu),0.0,0.75,-0.75
Johann Gudmundsson,BUR,M,222,W (Thu),CRY 2<br/>@BUR 0 F,10.0,10.0,1,1,88,0,5,0,0,0,0,0,0,2,1,0,0,3,2,4,0,0,0,1,0,11,10.5,-0.5,0,1,0,0,1.05,14.5,14.5,0.0,W (Thu),-4.5,-4.0,-0.5
Oscar Bobb,MCI,M,285,W (Thu),BOU 1<br/>@MCI 6 F,10.0,10.0,1,0,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,3.0,0.0,1,0,0,0,0.3,11.0,5.0,0.0,W (Thu),-1.0,-2.0,0.0
Trent Alexander-Arnold,LIV,D,80,draft,LIV 1<br/>@LUT 1 F,9.75,9.75,1,1,90,0,6,0,0,0,0,0,0,1,2,1,0,0,9,11,0,0,0,1,0,11,12.0,-2.25,0,1,0,0,1.23,13.25,15.25,-2.0,XXX,-3.5,-3.25,-0.25
Andreas Pereira,FUL,M,124,KFC,MUN 1<br/>@FUL 0 F,9.75,9.75,1,1,80,0,6,0,0,0,0,0,0,0,0,0,1,4,2,1,0,0,0,0,1,11,9.25,-0.5,0,0,0,0,0.95,15.0,14.0,0.0,Pancake,-5.25,-4.75,-0.5
Facundo Pellistri,MUN,M,314,W (Thu),MUN 1<br/>@FUL 0 F,9.75,9.75,1,0,26,0,1,1,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,11,3.5,-0.75,1,2,0,0,0.36,10.5,4.5,0.0,W (Thu),-0.75,-1.0,-0.75
Fabian Schar,NEW,D,46,xxx,ARS 0<br/>@NEW 1 F,9.25,9.25,1,1,90,0,0,0,0,0,1,0,0,0,0,5,0,4,2,6,0,0,0,0,1,11,4.75,-1.5,0,3,0,0,0.51,9.25,5.25,-2.0,Maddihat,0.0,-0.5,0.5
Tom Lockyer,LUT,D,148,W (Thu),LIV 1<br/>@LUT 1 F,9.25,9.25,1,1,90,0,1,0,0,1,0,0,0,0,1,10,2,4,0,1,0,0,0,1,0,11,9.25,0.0,0,0,0,0,1.0,9.5,11.5,-2.0,W (Thu),-0.25,-2.25,2.0
Darwin Nunez,LIV,F,26,Sean,LIV 1<br/>@LUT 1 F,9.0,9.0,1,1,90,0,1,0,3,1,0,0,0,0,0,1,0,4,4,1,0,0,0,1,0,11,10.0,-1.0,0,0,0,0,1.11,9.5,10.0,-0.5,Pancake,-0.5,0.0,-0.5
George Baldock,SHU,D,299,W (Thu),WOL 1<br/>@SHU 2 F,9.0,9.0,1,1,90,0,0,1,0,0,1,0,0,0,0,0,0,4,5,1,0,1,0,1,0,11,4.25,-2.25,0,6,0,0,0.47,6.5,4.0,-4.5,W (Thu),2.5,0.25,2.25
Calvin Bassey,FUL,D,306,W (Thu),MUN 1<br/>@FUL 0 F,9.0,9.0,1,1,90,0,0,0,1,1,0,0,0,0,2,4,1,5,3,3,0,0,0,1,0,11,9.75,-0.75,0,1,0,0,1.08,8.0,10.0,-2.0,W (Thu),1.0,-0.25,1.25
Joao Palhinha,FUL,M,42,draft,MUN 1<br/>@FUL 0 F,8.75,8.75,1,1,90,0,1,0,1,2,1,0,0,0,0,3,0,13,8,2,0,0,0,1,0,11,11.75,-3.0,0,5,0,0,1.34,5.0,7.5,-2.5,Maddihat,3.75,4.25,-0.5
Nicolas Dominguez,NOT,M,166,Sean,AVL 0<br/>@NOT 2 F,8.75,8.75,1,1,86,0,0,0,1,4,0,0,0,0,0,1,0,10,8,2,0,0,0,0,1,11,9.75,-2.0,0,3,2,0,1.11,7.0,6.0,0.0,W (Thu),1.75,3.75,-2.0
Ross Barkley,LUT,M,242,Badger12,LIV 1<br/>@LUT 1 F,8.75,8.75,1,1,90,0,0,0,1,3,0,0,0,0,1,4,1,7,7,2,0,0,0,1,0,11,10.5,-1.75,0,1,0,0,1.2,10.0,10.0,0.0,W (Thu),-1.25,0.5,-1.75
Marc Guehi,CRY,D,67,Badger12,CRY 2<br/>@BUR 0 F,8.5,8.5,1,1,90,0,0,0,0,0,1,0,0,0,1,6,0,3,5,3,0,0,0,0,1,11,4.75,-2.25,0,4,0,0,0.56,9.5,5.5,-2.0,avitek,-1.0,-0.75,-0.25
Josh Brownhill,BUR,M,139,W (Thu),CRY 2<br/>@BUR 0 F,8.5,8.5,1,1,90,0,2,0,1,1,0,0,0,0,2,0,0,6,7,3,0,0,0,2,0,11,10.25,-1.75,0,2,0,0,1.21,11.0,11.0,0.0,W (Thu),-2.5,-0.75,-1.75
Alejandro Garnacho,MUN,M,259,tottiand,MUN 1<br/>@FUL 0 F,8.25,8.25,1,1,88,0,2,0,1,0,1,0,0,0,2,0,0,8,8,1,0,0,0,0,1,11,10.25,-3.0,0,5,1,0,1.24,10.5,11.5,-2.0,Kish123,-2.25,-1.25,-1.0
Eberechi Eze,CRY,M,51,Bfred,CRY 2<br/>@BUR 0 F,8.0,8.0,1,0,31,0,1,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,11,2.0,-1.0,1,3,0,0,0.25,9.5,3.5,0.0,XXX,-1.5,-1.5,-1.0
Moussa Diaby,AVL,F,20,KFC,AVL 0<br/>@NOT 2 F,7.75,7.75,1,1,90,0,4,0,1,0,0,0,0,1,1,0,0,2,5,0,0,0,0,2,0,11,9.0,-1.25,0,1,0,0,1.16,11.5,12.0,-0.5,Vroom,-3.75,-3.0,-0.75
John Stones,MCI,D,284,tottiand,BOU 1<br/>@MCI 6 F,7.75,7.75,1,1,70,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,11,1.75,0.0,0,0,0,0,0.23,7.5,1.5,0.0,4b. DcbB,0.25,0.25,0.0
Max Kilman,WOL,D,98,Bfred,WOL 1<br/>@SHU 2 F,7.75,7.75,1,1,90,0,1,0,0,1,0,0,0,0,2,4,0,7,1,8,0,0,0,2,0,11,10.0,-0.25,0,1,0,0,1.29,7.0,11.0,-4.0,Adam,0.75,-1.0,3.75
Reece James,CHE,D,304,TranzOTF,CHE 4<br/>@TOT 1 F,7.5,7.5,1,1,76,0,2,0,0,2,0,0,0,0,1,2,1,4,2,2,0,0,0,1,0,11,8.0,-0.5,0,0,1,0,1.07,7.5,9.5,-2.0,Maddihat,0.0,-1.5,1.5
Chiedozie Ogbene,LUT,F,159,W (Thu),LIV 1<br/>@LUT 1 F,7.5,7.5,1,1,78,0,0,0,1,0,0,0,0,1,0,0,0,10,2,0,0,0,0,0,1,11,8.0,-0.5,0,1,0,0,1.07,8.0,8.0,0.0,W (Thu),-0.5,0.0,-0.5
Dara O'Shea,BUR,D,218,W (Thu),CRY 2<br/>@BUR 0 F,7.5,7.5,1,1,90,0,1,0,1,0,0,0,0,1,2,2,0,6,2,2,0,0,0,2,0,11,10.0,-0.5,0,1,0,0,1.33,7.5,11.5,-4.0,W (Thu),0.0,-1.5,3.5
Teden Mengi,LUT,D,270,W (Thu),LIV 1<br/>@LUT 1 F,7.25,7.25,1,1,90,0,0,0,0,0,0,0,0,0,3,10,1,2,2,1,0,0,0,1,0,11,7.75,-0.5,0,0,0,0,1.07,5.5,7.5,-2.0,W (Thu),1.75,0.25,1.5
Virgil van Dijk,LIV,D,39,draft,LIV 1<br/>@LUT 1 F,7.0,7.0,1,1,90,0,0,0,0,1,0,0,0,0,0,5,0,7,2,9,0,0,0,1,0,11,7.5,-0.5,0,1,0,0,1.07,6.25,8.25,-2.0,Adam,0.75,-0.75,1.5
