,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
47,LUT,RM,3,9.33,0.33,0.67,0.33,0.33,1.0,0.0,0.0,0.0,0.33,1.33,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.33,0.33,0.0,0.0,0.0,0.67,1.0,20.58
81,WOL,RM,4,9.31,0.12,1.94,0.18,0.53,0.47,0.24,0.0,1.24,0.59,0.94,0.12,0.0,0.0,0.0,0.35,0.12,0.29,1.65,0.24,0.0,0.0,0.0,0.41,1.0,20.32
4,AVL,CM,2,9.17,0.22,1.67,0.06,0.33,1.83,0.28,0.0,0.22,0.44,0.72,0.44,0.0,0.0,0.0,0.0,0.06,0.28,1.94,0.0,0.11,0.0,0.0,0.33,1.0,26.43
34,EVE,LM,4,9.13,0.12,1.82,0.12,1.0,0.53,0.0,0.0,0.76,0.41,0.18,0.24,0.0,0.0,0.0,0.0,0.29,0.24,0.47,0.47,0.0,0.0,0.0,0.47,1.0,13.88
25,CHE,LM,1,9.0,0.0,0.5,0.0,1.0,2.0,0.5,0.0,0.0,1.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,19.62
74,WHU,DM,4,8.94,0.06,1.08,0.28,0.28,1.42,0.36,0.0,0.08,0.72,3.19,0.69,0.0,0.0,0.0,0.0,0.11,0.33,2.61,0.06,0.0,0.0,0.0,0.5,1.0,15.94
5,AVL,DM,2,8.93,0.3,0.9,0.0,0.4,1.6,0.4,0.0,0.1,0.9,0.6,0.3,0.0,0.0,0.0,0.0,0.4,0.3,3.1,0.0,0.2,0.0,0.0,0.6,1.0,16.05
38,FUL,DM,3,8.92,0.17,0.17,0.0,0.5,3.17,0.0,0.0,0.0,1.17,0.83,0.67,0.0,0.0,0.0,0.0,0.0,0.17,1.17,0.0,0.0,0.0,0.0,0.0,1.0,19.33
22,CHE,AM,5,8.88,0.21,1.58,0.21,0.53,0.89,0.11,0.0,0.68,0.26,0.32,0.11,0.0,0.11,0.0,0.0,0.32,0.32,1.05,0.32,0.0,0.0,0.0,0.79,1.0,21.37
19,BUR,DM,3,8.71,0.0,0.67,0.17,0.0,1.5,0.5,0.0,0.0,1.5,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.0,0.0,2.0,21.79
