Player,Team,Position,GW,FPTS,Default FPTS,Delta,Ghost Points,Default Ghosts,Delta Ghosts,Negative Fpts,Default Negative FPTS,Delta Negative FPTS,GPR,Overperformance,HeatStreak,Ros Rank,Ros RankByPos,LiveRkOv,LiveRkOvByPos,GS,GP,G,KP,AT,SOT,TKW,YC,RC,ACNC,INT,CLR,BS,DW,DL,LBA,PEN,PKM,PKD,OG,GAO,CS,PTS,DPT,OFF,PKG,MIN
Virgil van Dijk,LIV,D,11,7.0,6.25,0.75,7.5,8.25,-0.75,-0.5,-2.0,1.5,1.07,-5,40.0,29,3,39,8,1,1,0,0,0,0,1,0,0,0,0,5,0,7,2,9,0,0,0,0,1,0,0,1,0,0,90
James Tarkowski,EVE,D,11,7.0,7.5,-0.5,8.75,11.5,-2.75,-1.75,-4.0,2.25,1.25,5,23.0,55,10,29,5,1,1,0,1,0,1,0,1,0,0,1,2,1,5,3,3,0,0,0,0,1,0,0,4,0,0,90
Ryan Gravenberch,LIV,M,11,6.75,10.5,-3.75,8.0,10.5,-2.5,-1.25,0.0,-1.25,1.19,-25,17.0,150,46,271,71,1,1,0,2,0,1,0,0,0,0,2,0,0,4,5,0,0,0,0,0,1,0,0,1,0,0,82
Gabriel Magalhaes,ARS,D,11,6.75,4.5,2.25,7.25,6.5,0.75,-0.5,-2.0,1.5,1.07,-15,20.25,116,17,141,32,1,1,0,0,0,0,1,0,0,0,1,2,2,5,2,3,0,0,0,0,1,0,0,2,0,0,90
Ben White,ARS,D,11,6.5,4.75,1.75,7.0,7.25,-0.25,-0.5,-2.5,2.0,1.08,10,20.5,82,13,25,3,1,1,0,1,0,0,1,0,0,1,2,1,1,1,2,3,0,0,0,0,1,0,0,0,0,0,72
Lewis Dunk,BHA,D,11,6.5,4.0,2.5,8.5,8.0,0.5,-2.0,-4.0,2.0,1.31,-7,17.25,200,27,143,34,1,1,0,0,0,1,0,1,0,0,1,4,1,3,4,8,0,0,0,0,1,0,0,5,1,0,90
James Milner,BHA,M,11,6.5,8.0,-1.5,7.25,8.5,-1.25,-0.75,-0.5,-0.25,1.12,-25,13.75,200,47,292,72,1,1,0,2,0,0,1,0,0,1,1,2,0,3,3,3,0,0,0,0,1,0,0,1,1,0,78
James Garner,EVE,M,11,6.5,6.5,0.0,7.25,6.5,0.75,-0.75,0.0,-0.75,1.12,10,19.75,100,30,59,20,1,1,0,1,0,0,2,0,0,0,2,3,0,5,3,0,0,0,0,0,1,0,0,1,0,0,90
Yves Bissouma,TOT,M,11,6.25,4.5,1.75,7.25,5.0,2.25,-1.0,-0.5,-0.5,1.16,-6,19.0,87,26,100,32,1,1,0,0,0,0,1,0,0,0,2,1,0,8,4,2,0,0,0,0,4,0,0,2,0,0,90
Bruno Guimaraes,NEW,M,11,6.0,6.5,-0.5,7.25,8.0,-0.75,-2.25,-2.5,0.25,1.21,11,20.0,89,27,49,16,1,1,0,3,0,0,0,1,0,0,0,0,0,5,5,7,0,0,0,0,0,1,0,5,0,0,90
Diogo Jota,LIV,F,11,6.0,7.0,-1.0,7.0,7.5,-0.5,-1.0,-0.5,-0.5,1.17,-11,25.75,42,10,94,21,1,1,0,1,0,1,0,0,0,0,1,0,0,6,4,0,0,0,0,0,0,1,0,0,0,0,65
Alex Iwobi,FUL,M,11,6.0,8.0,-2.0,7.0,10.0,-3.0,-2.0,-3.0,1.0,1.17,-30,16.5,105,33,212,63,1,1,0,2,0,0,0,1,0,0,2,0,0,5,4,2,0,0,0,0,0,1,0,4,0,0,88
Murillo,NOT,M,11,6.0,3.5,2.5,5.25,2.5,2.75,-0.25,0.0,-0.25,0.88,-19,19.25,138,42,209,61,1,1,0,0,0,0,1,0,0,0,1,7,0,2,1,4,0,0,0,0,0,1,0,0,0,0,90
Vitaly Janelt,BRF,M,11,6.0,6.0,0.0,6.75,6.5,0.25,-0.75,-0.5,-0.25,1.12,6,14.25,200,47,138,41,1,1,0,2,0,0,0,0,0,1,1,3,0,2,3,4,0,0,0,0,2,0,0,1,0,0,88
Sander Berge,BUR,M,11,5.75,5.5,0.25,6.75,5.5,1.25,-1.0,0.0,-1.0,1.17,-11,7.75,200,47,190,58,1,1,0,1,0,0,0,0,0,0,1,0,1,6,4,3,0,0,0,0,2,0,0,1,0,0,90
Gabriel Osho,LUT,D,11,5.75,3.5,2.25,6.25,6.0,0.25,-0.5,-2.5,2.0,1.09,-45,0.0,200,27,375,72,1,1,0,0,0,0,1,0,0,0,2,8,0,3,2,1,0,0,0,0,1,0,0,0,0,0,90
Jay Rodriguez,BUR,F,11,5.75,7.5,-1.75,6.75,7.5,-0.75,-1.0,0.0,-1.0,1.17,-7,0.0,200,30,368,37,1,1,0,1,0,1,1,0,0,0,1,0,0,4,4,1,0,0,0,0,2,0,0,1,1,0,90
Alfie Doughty,LUT,M,11,5.75,7.5,-1.75,6.25,8.0,-1.75,-0.5,-0.5,0.0,1.09,-8,15.25,78,23,92,31,1,1,0,1,0,0,0,0,0,2,0,3,0,5,2,0,0,0,0,0,1,0,0,0,0,0,90
Tim Ream,FUL,D,11,5.75,4.75,1.0,5.75,6.75,-1.0,0.0,-2.0,2.0,1.0,1,18.5,200,27,114,26,1,1,0,0,0,0,0,0,0,0,2,7,0,3,0,2,0,0,0,0,1,0,0,0,0,0,90
Ethan Pinnock,BRF,D,11,5.75,7.0,-1.25,8.25,11.0,-2.75,-0.5,-4.0,3.5,1.43,1,41.25,37,5,28,4,1,1,0,0,0,0,0,0,0,0,1,4,0,10,2,5,0,0,0,0,2,0,0,0,0,0,90
Bukayo Saka,ARS,M,11,5.5,4.0,1.5,7.0,5.5,1.5,-1.5,-1.5,0.0,1.27,0,33.0,3,1,6,1,1,1,0,1,0,0,1,0,0,1,0,0,1,7,6,0,0,0,0,0,1,0,0,0,0,0,90
