,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
28,BOU,DM,3,47.83,0.0,10.0,0.0,0.0,12.0,0.67,0.0,1.33,10.0,12.67,5.33,0.0,0.0,0.0,32.0,0.0,0.0,8.67,0.0,0.0,62.17,-14.33,0.0,18.0,12.08,153.0,175.0,-22.0,-9.5,11.5,-21.0
98,LUT,CM,5,47.3,0.0,4.6,0.0,2.2,14.0,1.6,0.0,1.6,9.4,4.4,3.8,0.0,0.0,0.0,26.0,0.0,0.0,19.0,0.0,0.0,61.8,-14.5,0.0,23.0,9.05,211.0,254.5,-43.5,25.5,54.5,-29.0
44,BUR,CB,3,47.17,0.0,1.0,1.0,1.33,3.67,2.33,0.0,0.0,9.67,78.33,11.67,0.0,0.0,0.0,22.67,0.0,1.0,17.0,0.0,0.0,74.25,-14.08,0.0,19.0,2.83,92.75,229.75,-158.0,48.75,-7.0,115.75
137,NOT,WB,1,46.75,0.0,4.0,0.0,0.0,19.0,4.0,0.0,0.0,14.0,58.0,3.0,0.0,0.0,0.0,37.0,4.0,0.0,31.0,0.0,0.0,99.5,-32.75,0.0,19.0,24.5,47.5,111.5,-88.0,-0.75,-12.0,55.25
4,ARS,LM,2,46.0,2.0,2.0,0.0,2.0,7.0,5.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,29.0,0.0,2.0,40.0,-14.0,0.0,10.0,24.5,77.0,62.0,-25.0,15.0,18.0,-3.0
94,LIV,LW,2,46.0,2.0,5.0,0.0,3.0,14.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,22.0,6.0,0.0,47.5,-19.5,0.0,12.0,6.0,128.0,115.0,-23.0,-36.0,-20.0,-16.0
59,CHE,RB,3,43.33,0.0,2.67,0.0,0.0,12.0,2.67,0.0,1.33,7.33,16.0,2.0,0.0,0.0,0.0,4.67,2.67,0.0,14.67,0.67,0.0,38.33,-8.33,0.0,8.0,15.92,122.0,118.0,-44.0,8.0,-3.0,19.0
66,CRY,FW,1,41.0,0.0,12.0,4.0,0.0,8.0,4.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,24.0,4.0,4.0,24.0,4.0,0.0,43.0,-30.0,0.0,12.0,11.5,40.0,50.0,-34.0,1.0,-7.0,4.0
131,NOT,FW,4,40.81,1.0,5.0,1.0,3.75,3.75,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,13.25,2.0,2.0,8.0,3.5,0.0,34.12,-9.31,0.0,12.0,12.38,172.0,140.0,-28.0,-8.75,-3.5,-9.25
93,LIV,LM,2,40.5,2.0,4.0,0.0,2.0,4.0,2.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,14.0,0.0,0.0,34.0,-11.5,0.0,12.0,2.12,84.0,62.0,-14.0,-3.0,6.0,-9.0
