"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros %","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"*05opn*","Carlos Vinicius","FUL","F","255","FA","LUT 0<br/>@FUL 1 F","10.5","10.5","28%","152.72","9%","-1.1%","1","0","27","1","1.0","0","1","1","1","1","0","0","0","1","0","0","0"
"*03ybi*","Marcus Rashford","MUN","F","42","Maddihat","BHA 3<br/>@MUN 1 F","10","10","100%","7.82","100%","0%","1","1","90","0","0.0","0","0","9","2","0","0","0","0","0","0","0","0"
"*04sft*","Yves Bissouma","TOT","M","79","Adam","SHU 1<br/>@TOT 2 F","10","10","15%","237.89","81%","-0.7%","1","1","90","0","0.0","0","0","2","1","0","2","1","0","3","0","0","0"
"*02lkj*","Jack Robinson","SHU","D","292","FA","SHU 1<br/>@TOT 2 F","9.75","9.75","1%","1164.18","2%","-0.3%","1","1","90","0","0.0","1","1","0","0","0","1","1","0","3","0","0","0"
"*0558w*","William Saliba","ARS","D","101","avitek","ARS 1<br/>@EVE 0 F","9.5","9.5","99%","65.14","98%","-0.6%","1","1","90","0","0.0","0","0","0","0","0","0","0","0","0","0","0","1"
"*043c1*","Oleksandr Zinchenko","ARS","D","165","XXX","ARS 1<br/>@EVE 0 F","9.5","9.5","99%","76.57","95%","-0.6%","1","1","79","0","0.0","0","0","3","0","0","0","0","0","0","0","0","1"
"*05w7t*","Pape Sarr","TOT","M","69","4b. DcbB","SHU 1<br/>@TOT 2 F","9.5","9.5","2%","372.17","76%","-2.9%","1","1","79","0","0.0","0","0","3","2","1","0","0","0","1","0","0","0"
"*0639x*","Marcus Tavernier","BOU","M","170","4b. DcbB","CHE 0<br/>@BOU 0 F","9.5","9.5","34%","147.55","54%","+0.8%","1","1","72","0","0.0","0","0","2","1","0","3","0","0","0","0","0","1"
"*061y0*","Scott McKenna","NOT","D","142","FA","BUR 1<br/>@NOT 1 F","9.25","9.25","0%","1182.8","13%","-2.6%","1","1","90","0","0.0","0","0","1","0","1","0","0","0","1","0","0","0"
"*05o8o*","Jayden Bogle","SHU","D","240","FA","SHU 1<br/>@TOT 2 F","9.25","9.25","0%","1136.68","6%","-1.4%","1","1","85","0","0.0","0","0","0","0","2","0","0","0","2","1","0","0"
"*04agz*","Declan Rice","ARS","M","72","dsb_ff","ARS 1<br/>@EVE 0 F","9","9","99%","49.39","98%","-0.7%","1","1","90","0","0.0","0","0","1","0","1","1","0","0","1","0","0","1"
"*03r8x*","Callum Wilson","NEW","F","65","dsb_ff","BRF 0<br/>@NEW 1 F","9","9","100%","49.16","97%","+0.4%","1","1","90","1","1.0","0","1","3","1","1","1","1","0","4","0","1","1"
"*03yu2*","Abdoulaye Doucoure","EVE","M","23","XXX","ARS 1<br/>@EVE 0 F","9","9","38%","145.5","91%","+12.5%","1","1","79","0","0.0","0","0","0","0","2","0","0","0","2","0","0","0"
"*03jly*","Andreas Pereira","FUL","M","122","deceptiv","LUT 0<br/>@FUL 1 F","9","9","98%","75.6","89%","-2.9%","1","1","80","0","0.0","0","0","0","0","0","1","0","0","0","0","0","1"
